Date,iShares MSCI Global Gold Miners_etf_Open_average,iShares MSCI Global Gold Miners_etf_Open_max,iShares MSCI Global Gold Miners_etf_Open_min,iShares MSCI Global Gold Miners_etf_Open_volatility,iShares MSCI Global Gold Miners_etf_Open_change,iShares MSCI Global Gold Miners_etf_High_average,iShares MSCI Global Gold Miners_etf_High_max,iShares MSCI Global Gold Miners_etf_High_min,iShares MSCI Global Gold Miners_etf_High_volatility,iShares MSCI Global Gold Miners_etf_High_change,iShares MSCI Global Gold Miners_etf_Low_average,iShares MSCI Global Gold Miners_etf_Low_max,iShares MSCI Global Gold Miners_etf_Low_min,iShares MSCI Global Gold Miners_etf_Low_volatility,iShares MSCI Global Gold Miners_etf_Low_change,iShares MSCI Global Gold Miners_etf_Close_average,iShares MSCI Global Gold Miners_etf_Close_max,iShares MSCI Global Gold Miners_etf_Close_min,iShares MSCI Global Gold Miners_etf_Close_volatility,iShares MSCI Global Gold Miners_etf_Close_change
2016-01-03,12.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2016-01-10,11.2,11.2,11.2,0.0,0.0,11.22,11.22,11.22,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2016-01-17,10.82,10.82,10.82,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2016-01-24,11.76,11.76,11.76,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2016-01-31,13.46,13.46,13.46,0.0,0.0,14.28,14.28,14.28,0.0,0.0,13.08,13.08,13.08,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2016-02-07,15.26,15.26,15.26,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-02-14,15.72,15.72,15.72,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2016-02-21,16.22,16.22,16.22,0.0,0.0,16.38,16.38,16.38,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2016-02-28,17.04,17.04,17.04,0.0,0.0,17.78,17.78,17.78,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.74,16.74,16.74,0.0,0.0
2016-03-06,17.54,17.54,17.54,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-03-13,17.52,17.52,17.52,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2016-03-20,16.34,16.34,16.34,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.56,16.56,16.56,0.0,0.0
2016-03-27,16.7,16.7,16.7,0.0,0.0,17.32,17.32,17.32,0.0,0.0,16.57,16.57,16.57,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2016-04-03,17.92,17.92,17.92,0.0,0.0,18.66,18.66,18.66,0.0,0.0,17.92,17.92,17.92,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2016-04-10,18.68,18.68,18.68,0.0,0.0,19.2,19.2,19.2,0.0,0.0,18.52,18.52,18.52,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-04-17,19.68,19.68,19.68,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2016-04-24,21.48,21.48,21.48,0.0,0.0,22.32,22.32,22.32,0.0,0.0,21.2,21.2,21.2,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2016-05-01,21.42,21.42,21.42,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.76,21.76,21.76,0.0,0.0
2016-05-08,21.14,21.14,21.14,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2016-05-15,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2016-05-22,19.54,19.54,19.54,0.0,0.0,19.68,19.68,19.68,0.0,0.0,18.94,18.94,18.94,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2016-05-29,20.44,20.44,20.44,0.0,0.0,21.6,21.6,21.6,0.0,0.0,20.44,20.44,20.44,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2016-06-05,22.76,22.76,22.76,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2016-06-12,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0,21.64,21.64,21.64,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2016-06-19,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2016-06-26,24.26,24.26,24.26,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-07-03,25.44,25.44,25.44,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2016-07-10,25.3,25.3,25.3,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2016-07-17,24.16,24.16,24.16,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2016-07-24,25.56,25.56,25.56,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2016-07-31,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-08-07,26.48,26.48,26.48,0.0,0.0,26.62,26.62,26.62,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2016-08-14,25.32,25.32,25.32,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2016-08-21,23.26,23.26,23.26,0.0,0.0,23.78,23.78,23.78,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2016-08-28,22.4,22.4,22.4,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2016-09-04,22.9,22.9,22.9,0.0,0.0,22.9,22.9,22.9,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2016-09-11,21.76,21.76,21.76,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2016-09-18,23.08,23.08,23.08,0.0,0.0,23.18,23.18,23.18,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.6,22.6,22.6,0.0,0.0
2016-09-25,22.72,22.72,22.72,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.2,22.2,22.2,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2016-10-02,19.84,19.84,19.84,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.48,19.48,19.48,0.0,0.0
2016-10-09,19.78,19.78,19.78,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2016-10-16,20.88,20.88,20.88,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2016-10-23,19.88,19.88,19.88,0.0,0.0,20.4,20.4,20.4,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2016-10-30,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,20.92,20.92,20.92,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2016-11-06,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2016-11-13,17.62,17.62,17.62,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2016-11-20,17.15,17.15,17.15,0.0,0.0,17.4,17.4,17.4,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2016-11-27,17.35,17.35,17.35,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.77,17.77,17.77,0.0,0.0
2016-12-04,17.75,17.75,17.75,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2016-12-11,15.93,15.93,15.93,0.0,0.0,16.11,16.11,16.11,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2016-12-18,15.73,15.73,15.73,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2016-12-25,17.79,17.79,17.79,0.0,0.0,18.2,18.2,18.2,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2017-01-01,18.77,18.77,18.77,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.08,18.08,18.08,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2017-01-08,18.38,18.38,18.38,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2017-01-15,18.86,18.86,18.86,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.68,18.68,18.68,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2017-01-22,18.83,18.83,18.83,0.0,0.0,19.18,19.18,19.18,0.0,0.0,18.73,18.73,18.73,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2017-01-29,20.15,20.15,20.15,0.0,0.0,20.35,20.35,20.35,0.0,0.0,19.99,19.99,19.99,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2017-02-05,20.5,20.5,20.5,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2017-02-12,21.09,21.09,21.09,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2017-02-19,20.6,20.6,20.6,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2017-02-26,18.02,18.02,18.02,0.0,0.0,18.6,18.6,18.6,0.0,0.0,17.91,17.91,17.91,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2017-03-05,17.6,17.6,17.6,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2017-03-12,19.1,19.1,19.1,0.0,0.0,19.17,19.17,19.17,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2017-03-19,19.17,19.17,19.17,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2017-03-26,18.9,18.9,18.9,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2017-04-02,19.94,19.94,19.94,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2017-04-09,20.58,20.58,20.58,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.29,20.29,20.29,0.0,0.0
2017-04-16,19.52,19.52,19.52,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2017-04-23,17.95,17.95,17.95,0.0,0.0,18.42,18.42,18.42,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2017-04-30,17.42,17.42,17.42,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2017-05-07,18.7,18.7,18.7,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2017-05-14,18.81,18.81,18.81,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2017-05-21,18.6,18.6,18.6,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.48,18.48,18.48,0.0,0.0
2017-05-28,18.48,18.48,18.48,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2017-06-04,18.57,18.57,18.57,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2017-06-11,17.82,17.82,17.82,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2017-06-18,18.3,18.3,18.3,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.48,18.48,18.48,0.0,0.0
2017-06-25,17.64,17.64,17.64,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2017-07-02,17.23,17.23,17.23,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2017-07-09,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2017-07-16,18.15,18.15,18.15,0.0,0.0,18.15,18.15,18.15,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2017-07-23,18.34,18.34,18.34,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2017-07-30,18.33,18.33,18.33,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.11,18.11,18.11,0.0,0.0
2017-08-06,18.7,18.7,18.7,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2017-08-13,18.93,18.93,18.93,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2017-08-20,19.02,19.02,19.02,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.82,18.82,18.82,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2017-08-27,20.28,20.28,20.28,0.0,0.0,20.28,20.28,20.28,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2017-09-03,20.83,20.83,20.83,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2017-09-10,19.85,19.85,19.85,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2017-09-17,19.03,19.03,19.03,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2017-09-24,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2017-10-01,18.78,18.78,18.78,0.0,0.0,19.15,19.15,19.15,0.0,0.0,18.71,18.71,18.71,0.0,0.0,19.12,19.12,19.12,0.0,0.0
2017-10-08,19.35,19.35,19.35,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2017-10-15,18.78,18.78,18.78,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2017-10-22,17.8,17.8,17.8,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.98,17.98,17.98,0.0,0.0
2017-10-29,18.04,18.04,18.04,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.88,17.88,17.88,0.0,0.0
2017-11-05,18.23,18.23,18.23,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2017-11-12,18.08,18.08,18.08,0.0,0.0,18.29,18.29,18.29,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2017-11-19,18.34,18.34,18.34,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.29,18.29,18.29,0.0,0.0
2017-11-26,17.97,17.97,17.97,0.0,0.0,18.31,18.31,18.31,0.0,0.0,17.9,17.9,17.9,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2017-12-03,17.25,17.25,17.25,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.27,17.27,17.27,0.0,0.0
2017-12-10,17.77,17.77,17.77,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2017-12-17,18.32,18.32,18.32,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.29,18.29,18.29,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2017-12-24,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.8,18.8,18.8,0.0,0.0
