Date,Real Estate Select Sector SPDR_etf_Open_average,Real Estate Select Sector SPDR_etf_Open_max,Real Estate Select Sector SPDR_etf_Open_min,Real Estate Select Sector SPDR_etf_Open_volatility,Real Estate Select Sector SPDR_etf_Open_change,Real Estate Select Sector SPDR_etf_High_average,Real Estate Select Sector SPDR_etf_High_max,Real Estate Select Sector SPDR_etf_High_min,Real Estate Select Sector SPDR_etf_High_volatility,Real Estate Select Sector SPDR_etf_High_change,Real Estate Select Sector SPDR_etf_Low_average,Real Estate Select Sector SPDR_etf_Low_max,Real Estate Select Sector SPDR_etf_Low_min,Real Estate Select Sector SPDR_etf_Low_volatility,Real Estate Select Sector SPDR_etf_Low_change,Real Estate Select Sector SPDR_etf_Close_average,Real Estate Select Sector SPDR_etf_Close_max,Real Estate Select Sector SPDR_etf_Close_min,Real Estate Select Sector SPDR_etf_Close_volatility,Real Estate Select Sector SPDR_etf_Close_change
2016-01-03,30.51,30.51,30.51,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2016-01-10,29.15,29.15,29.15,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-01-17,29.46,29.46,29.46,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2016-01-24,29.01,29.01,29.01,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2016-01-31,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2016-02-07,27.22,27.22,27.22,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2016-02-14,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2016-02-21,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2016-02-28,30.5,30.5,30.5,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2016-03-06,30.78,30.78,30.78,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2016-03-13,31.69,31.69,31.69,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2016-03-20,31.01,31.01,31.01,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2016-03-27,32.02,32.02,32.02,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2016-04-03,32.19,32.19,32.19,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2016-04-10,31.89,31.89,31.89,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2016-04-17,31.39,31.39,31.39,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2016-04-24,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2016-05-01,32.26,32.26,32.26,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2016-05-08,32.43,32.43,32.43,0.0,0.0,32.99,32.99,32.99,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2016-05-15,31.25,31.25,31.25,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2016-05-22,31.99,31.99,31.99,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2016-05-29,31.91,31.91,31.91,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2016-06-05,32.12,32.12,32.12,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2016-06-12,32.02,32.02,32.02,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.9,31.9,31.9,0.0,0.0,32.17,32.17,32.17,0.0,0.0
