Date,iShares Treasury Floating Rate BondEtf_Open_average,iShares Treasury Floating Rate BondEtf_Open_max,iShares Treasury Floating Rate BondEtf_Open_min,iShares Treasury Floating Rate BondEtf_Open_volatility,iShares Treasury Floating Rate BondEtf_Open_change,iShares Treasury Floating Rate BondEtf_High_average,iShares Treasury Floating Rate BondEtf_High_max,iShares Treasury Floating Rate BondEtf_High_min,iShares Treasury Floating Rate BondEtf_High_volatility,iShares Treasury Floating Rate BondEtf_High_change,iShares Treasury Floating Rate BondEtf_Low_average,iShares Treasury Floating Rate BondEtf_Low_max,iShares Treasury Floating Rate BondEtf_Low_min,iShares Treasury Floating Rate BondEtf_Low_volatility,iShares Treasury Floating Rate BondEtf_Low_change,iShares Treasury Floating Rate BondEtf_Close_average,iShares Treasury Floating Rate BondEtf_Close_max,iShares Treasury Floating Rate BondEtf_Close_min,iShares Treasury Floating Rate BondEtf_Close_volatility,iShares Treasury Floating Rate BondEtf_Close_change
2016-01-03,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-01-10,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2016-01-17,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2016-01-24,50.08,50.08,50.08,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-01-31,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-02-07,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-02-14,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-02-21,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-02-28,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-03-06,50.1,50.1,50.1,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2016-03-13,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2016-03-20,50.12,50.12,50.12,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2016-03-27,50.17,50.17,50.17,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2016-04-03,50.26,50.26,50.26,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2016-04-10,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-04-17,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-04-24,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-05-01,50.07,50.07,50.07,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-05-08,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-05-15,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-05-22,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-05-29,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2016-06-05,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2016-06-12,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-06-19,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-06-26,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-07-03,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-07-10,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-07-17,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-07-24,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2016-07-31,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-08-07,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-08-14,50.13,50.13,50.13,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2016-08-21,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-08-28,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-09-04,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-09-11,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-09-18,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-09-25,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-10-02,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-10-09,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-10-16,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-10-23,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-10-30,50.11,50.11,50.11,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-11-06,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-11-13,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-11-20,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-11-27,50.13,50.13,50.13,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2016-12-04,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-12-11,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2016-12-18,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2016-12-25,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-01-01,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-01-08,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2017-01-15,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2017-01-22,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2017-01-29,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-02-05,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-02-12,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2017-02-19,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-02-26,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-03-05,50.14,50.14,50.14,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2017-03-12,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2017-03-19,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2017-03-26,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2017-04-02,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-04-09,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2017-04-16,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.2,50.2,50.2,0.0,0.0
