Date,ProShares UltraShort Basic Materials_etf_Open_average,ProShares UltraShort Basic Materials_etf_Open_max,ProShares UltraShort Basic Materials_etf_Open_min,ProShares UltraShort Basic Materials_etf_Open_volatility,ProShares UltraShort Basic Materials_etf_Open_change,ProShares UltraShort Basic Materials_etf_High_average,ProShares UltraShort Basic Materials_etf_High_max,ProShares UltraShort Basic Materials_etf_High_min,ProShares UltraShort Basic Materials_etf_High_volatility,ProShares UltraShort Basic Materials_etf_High_change,ProShares UltraShort Basic Materials_etf_Low_average,ProShares UltraShort Basic Materials_etf_Low_max,ProShares UltraShort Basic Materials_etf_Low_min,ProShares UltraShort Basic Materials_etf_Low_volatility,ProShares UltraShort Basic Materials_etf_Low_change,ProShares UltraShort Basic Materials_etf_Close_average,ProShares UltraShort Basic Materials_etf_Close_max,ProShares UltraShort Basic Materials_etf_Close_min,ProShares UltraShort Basic Materials_etf_Close_volatility,ProShares UltraShort Basic Materials_etf_Close_change
2016-01-03,77.94,77.94,77.94,0.0,0.0,80.89,80.89,80.89,0.0,0.0,77.92,77.92,77.92,0.0,0.0,80.89,80.89,80.89,0.0,0.0
2016-01-10,88.82,88.82,88.82,0.0,0.0,91.0,91.0,91.0,0.0,0.0,87.67,87.67,87.67,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2016-01-17,87.18,87.18,87.18,0.0,0.0,89.08,89.08,89.08,0.0,0.0,84.96,84.96,84.96,0.0,0.0,87.6,87.6,87.6,0.0,0.0
2016-01-24,88.64,88.64,88.64,0.0,0.0,88.84,88.84,88.84,0.0,0.0,84.16,84.16,84.16,0.0,0.0,84.28,84.28,84.28,0.0,0.0
2016-01-31,76.04,76.04,76.04,0.0,0.0,77.36,77.36,77.36,0.0,0.0,75.3,75.3,75.3,0.0,0.0,76.82,76.82,76.82,0.0,0.0
2016-02-07,83.2,83.2,83.2,0.0,0.0,83.66,83.66,83.66,0.0,0.0,79.66,79.66,79.66,0.0,0.0,79.74,79.74,79.74,0.0,0.0
2016-02-14,75.02,75.02,75.02,0.0,0.0,76.13,76.13,76.13,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.8,75.8,75.8,0.0,0.0
2016-02-21,72.12,72.12,72.12,0.0,0.0,72.12,72.12,72.12,0.0,0.0,70.58,70.58,70.58,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2016-02-28,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,64.86,64.86,64.86,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2016-03-06,63.86,63.86,63.86,0.0,0.0,63.86,63.86,63.86,0.0,0.0,62.2,62.2,62.2,0.0,0.0,62.6,62.6,62.6,0.0,0.0
2016-03-13,58.32,58.32,58.32,0.0,0.0,59.4,59.4,59.4,0.0,0.0,57.9,57.9,57.9,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2016-03-20,62.36,62.36,62.36,0.0,0.0,63.04,63.04,63.04,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2016-03-27,61.24,61.24,61.24,0.0,0.0,61.78,61.78,61.78,0.0,0.0,59.24,59.24,59.24,0.0,0.0,59.32,59.32,59.32,0.0,0.0
2016-04-03,60.48,60.48,60.48,0.0,0.0,61.0,61.0,61.0,0.0,0.0,59.7,59.7,59.7,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2016-04-10,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.22,56.22,56.22,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2016-04-17,53.29,53.29,53.29,0.0,0.0,53.88,53.88,53.88,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2016-04-24,52.62,52.62,52.62,0.0,0.0,53.8,53.8,53.8,0.0,0.0,52.32,52.32,52.32,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2016-05-01,57.16,57.16,57.16,0.0,0.0,57.16,57.16,57.16,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.82,55.82,55.82,0.0,0.0
2016-05-08,56.0,56.0,56.0,0.0,0.0,57.14,57.14,57.14,0.0,0.0,55.86,55.86,55.86,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2016-05-15,55.64,55.64,55.64,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.64,55.64,55.64,0.0,0.0,56.02,56.02,56.02,0.0,0.0
2016-05-22,53.42,53.42,53.42,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2016-05-29,52.84,52.84,52.84,0.0,0.0,53.14,53.14,53.14,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2016-06-05,51.7,51.7,51.7,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2016-06-12,52.28,52.28,52.28,0.0,0.0,52.76,52.76,52.76,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2016-06-19,53.16,53.16,53.16,0.0,0.0,55.06,55.06,55.06,0.0,0.0,52.6,52.6,52.6,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2016-06-26,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0,52.78,52.78,52.78,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2016-07-03,54.14,54.14,54.14,0.0,0.0,54.14,54.14,54.14,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2016-07-10,47.62,47.62,47.62,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2016-07-17,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2016-07-24,47.84,47.84,47.84,0.0,0.0,48.56,48.56,48.56,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2016-07-31,47.8,47.8,47.8,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2016-08-07,47.66,47.66,47.66,0.0,0.0,48.96,48.96,48.96,0.0,0.0,47.66,47.66,47.66,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2016-08-14,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2016-08-21,46.84,46.84,46.84,0.0,0.0,47.92,47.92,47.92,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2016-08-28,46.74,46.74,46.74,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2016-09-04,48.0,48.0,48.0,0.0,0.0,50.16,50.16,50.16,0.0,0.0,48.0,48.0,48.0,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-09-11,51.62,51.62,51.62,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2016-09-18,49.38,49.38,49.38,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2016-09-25,48.56,48.56,48.56,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2016-10-02,48.22,48.22,48.22,0.0,0.0,50.4,50.4,50.4,0.0,0.0,48.22,48.22,48.22,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2016-10-09,51.54,51.54,51.54,0.0,0.0,51.78,51.78,51.78,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2016-10-16,50.28,50.28,50.28,0.0,0.0,50.56,50.56,50.56,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2016-10-23,50.18,50.18,50.18,0.0,0.0,50.36,50.36,50.36,0.0,0.0,49.26,49.26,49.26,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2016-10-30,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.6,50.6,50.6,0.0,0.0
