Date,iShares MSCI Finland CappedEtf_Open_average,iShares MSCI Finland CappedEtf_Open_max,iShares MSCI Finland CappedEtf_Open_min,iShares MSCI Finland CappedEtf_Open_volatility,iShares MSCI Finland CappedEtf_Open_change,iShares MSCI Finland CappedEtf_High_average,iShares MSCI Finland CappedEtf_High_max,iShares MSCI Finland CappedEtf_High_min,iShares MSCI Finland CappedEtf_High_volatility,iShares MSCI Finland CappedEtf_High_change,iShares MSCI Finland CappedEtf_Low_average,iShares MSCI Finland CappedEtf_Low_max,iShares MSCI Finland CappedEtf_Low_min,iShares MSCI Finland CappedEtf_Low_volatility,iShares MSCI Finland CappedEtf_Low_change,iShares MSCI Finland CappedEtf_Close_average,iShares MSCI Finland CappedEtf_Close_max,iShares MSCI Finland CappedEtf_Close_min,iShares MSCI Finland CappedEtf_Close_volatility,iShares MSCI Finland CappedEtf_Close_change
2016-01-03,31.66,31.66,31.66,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2016-01-10,30.66,30.66,30.66,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2016-01-17,31.04,31.04,31.04,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2016-01-24,31.58,31.58,31.58,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.57,31.57,31.57,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2016-01-31,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2016-02-07,28.99,28.99,28.99,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.73,28.73,28.73,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2016-02-14,30.24,30.24,30.24,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2016-02-21,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2016-02-28,30.94,30.94,30.94,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2016-03-06,31.12,31.12,31.12,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2016-03-13,32.16,32.16,32.16,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2016-03-20,31.16,31.16,31.16,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2016-03-27,31.38,31.38,31.38,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2016-04-03,31.54,31.54,31.54,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2016-04-10,32.47,32.47,32.47,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2016-04-17,32.27,32.27,32.27,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2016-04-24,32.21,32.21,32.21,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2016-05-01,31.58,31.58,31.58,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2016-05-08,30.94,30.94,30.94,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2016-05-15,30.97,30.97,30.97,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2016-05-22,32.09,32.09,32.09,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2016-05-29,32.46,32.46,32.46,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2016-06-05,32.25,32.25,32.25,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0
