Date,WCMBNY Mellon Focused Growth ADR_etf_Open_average,WCMBNY Mellon Focused Growth ADR_etf_Open_max,WCMBNY Mellon Focused Growth ADR_etf_Open_min,WCMBNY Mellon Focused Growth ADR_etf_Open_volatility,WCMBNY Mellon Focused Growth ADR_etf_Open_change,WCMBNY Mellon Focused Growth ADR_etf_High_average,WCMBNY Mellon Focused Growth ADR_etf_High_max,WCMBNY Mellon Focused Growth ADR_etf_High_min,WCMBNY Mellon Focused Growth ADR_etf_High_volatility,WCMBNY Mellon Focused Growth ADR_etf_High_change,WCMBNY Mellon Focused Growth ADR_etf_Low_average,WCMBNY Mellon Focused Growth ADR_etf_Low_max,WCMBNY Mellon Focused Growth ADR_etf_Low_min,WCMBNY Mellon Focused Growth ADR_etf_Low_volatility,WCMBNY Mellon Focused Growth ADR_etf_Low_change,WCMBNY Mellon Focused Growth ADR_etf_Close_average,WCMBNY Mellon Focused Growth ADR_etf_Close_max,WCMBNY Mellon Focused Growth ADR_etf_Close_min,WCMBNY Mellon Focused Growth ADR_etf_Close_volatility,WCMBNY Mellon Focused Growth ADR_etf_Close_change
2016-01-03,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0,36.93,36.93,36.93,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2016-01-10,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2016-01-17,35.6,35.6,35.6,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2016-01-24,36.15,36.15,36.15,0.0,0.0,36.17,36.17,36.17,0.0,0.0,35.66,35.66,35.66,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2016-01-31,35.82,35.82,35.82,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2016-02-07,34.71,34.71,34.71,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2016-02-14,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2016-02-21,36.09,36.09,36.09,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2016-02-28,37.39,37.39,37.39,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2016-03-06,37.6,37.6,37.6,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-03-13,38.42,38.42,38.42,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2016-03-20,37.42,37.42,37.42,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.23,37.23,37.23,0.0,0.0
