Date,CGUSYStock_Open_average,CGUSYStock_Open_max,CGUSYStock_Open_min,CGUSYStock_Open_volatility,CGUSYStock_Open_change,CGUSYStock_High_average,CGUSYStock_High_max,CGUSYStock_High_min,CGUSYStock_High_volatility,CGUSYStock_High_change,CGUSYStock_Low_average,CGUSYStock_Low_max,CGUSYStock_Low_min,CGUSYStock_Low_volatility,CGUSYStock_Low_change,CGUSYStock_Close_average,CGUSYStock_Close_max,CGUSYStock_Close_min,CGUSYStock_Close_volatility,CGUSYStock_Close_change,CGUSYStock_Volume_average,CGUSYStock_Volume_max,CGUSYStock_Volume_min,CGUSYStock_Volume_volatility,CGUSYStock_Volume_change
2016-01-03,8.86,9.03,8.74,0.28999999999999915,0.08000000000000007,8.93,9.03,8.86,0.16999999999999993,0.019999999999999574,8.636,8.7,8.55,0.14999999999999858,0.129999999999999,8.73,8.82,8.65,0.16999999999999993,0.049999999999998934,11034,21986,2801,19185,-5468
2016-01-10,8.67,8.8,8.49,0.3100000000000005,-0.09999999999999964,8.84,8.88,8.76,0.120000000000001,0.030000000000001137,8.566,8.71,8.35,0.3600000000000012,-0.08000000000000007,8.774000000000001,8.85,8.71,0.1399999999999988,-0.10999999999999943,16987,40433,2003,38430,-23795
2016-01-17,7.9,8.29,7.54,0.7499999999999991,0.3099999999999987,7.965,8.29,7.79,0.4999999999999991,0.3099999999999987,7.73,8.13,7.49,0.6400000000000006,0.33000000000000096,7.885,8.19,7.67,0.5199999999999996,0.28999999999999915,19478,44245,7960,36285,-3894
2016-01-24,8.616,9.0,8.28,0.7200000000000006,0.7200000000000006,8.762,9.2,8.4,0.7999999999999989,0.7999999999999989,8.512,9.0,8.25,0.75,0.75,8.716,9.2,8.31,0.8899999999999988,0.8899999999999988,10108,30482,1824,28658,-8168
2016-01-31,9.006,9.46,8.67,0.7900000000000009,0.3600000000000012,9.204,9.56,8.8,0.7599999999999998,0.28000000000000114,8.998,9.46,8.67,0.7900000000000009,0.3600000000000012,9.174,9.56,8.69,0.870000000000001,0.28000000000000114,5060,15275,653,14622,-4101
2016-02-07,9.4175,9.75,8.98,0.7699999999999996,-0.7699999999999996,9.57,10.0,9.22,0.7799999999999994,-0.7799999999999994,9.2775,9.75,8.94,0.8100000000000005,-0.8100000000000005,9.5275,10.0,9.11,0.8900000000000006,-0.8900000000000006,5134,11474,1801,9673,879
2016-02-14,9.2875,9.42,9.12,0.3000000000000007,-0.27000000000000135,9.405000000000001,9.47,9.27,0.20000000000000107,-0.15000000000000036,9.217500000000001,9.34,9.1,0.2400000000000002,-0.2400000000000002,9.342500000000001,9.46,9.1,0.3600000000000012,-0.3200000000000003,5030,12242,1714,10528,425
2016-02-21,9.062,9.23,8.91,0.3200000000000003,0.20000000000000107,9.11,9.23,8.91,0.3200000000000003,0.08000000000000007,8.902,9.0,8.78,0.22000000000000064,-0.0600000000000005,9.006,9.16,8.81,0.34999999999999964,-0.16000000000000014,5262,15774,634,15140,-4142
2016-02-28,9.802,10.71,9.04,1.6700000000000017,1.6700000000000017,9.83,10.8,9.04,1.7600000000000016,1.7600000000000016,9.774000000000001,10.71,9.04,1.6700000000000017,1.6700000000000017,9.802,10.8,9.04,1.7600000000000016,1.7600000000000016,899,2588,378,2210,172
2016-03-06,10.5025,10.73,10.11,0.620000000000001,-0.620000000000001,10.557500000000001,10.91,10.11,0.8000000000000007,-0.8000000000000007,10.3925,10.56,10.11,0.45000000000000107,-0.370000000000001,10.4125,10.64,10.11,0.5300000000000011,-0.370000000000001,1254,1934,517,1417,-1174
