Date,BXC_stock_Open_average,BXC_stock_Open_max,BXC_stock_Open_min,BXC_stock_Open_volatility,BXC_stock_Open_change,BXC_stock_High_average,BXC_stock_High_max,BXC_stock_High_min,BXC_stock_High_volatility,BXC_stock_High_change,BXC_stock_Low_average,BXC_stock_Low_max,BXC_stock_Low_min,BXC_stock_Low_volatility,BXC_stock_Low_change,BXC_stock_Close_average,BXC_stock_Close_max,BXC_stock_Close_min,BXC_stock_Close_volatility,BXC_stock_Close_change,BXC_stock_Volume_average,BXC_stock_Volume_max,BXC_stock_Volume_min,BXC_stock_Volume_volatility,BXC_stock_Volume_change
2016-01-03,5.16,5.5,4.9,0.5999999999999996,-0.40000000000000036,5.42,5.7,5.1,0.6000000000000005,-0.6000000000000005,4.742,5.1,4.5,0.5999999999999996,-0.4899999999999993,4.978,5.29,4.87,0.41999999999999993,-0.41999999999999993,11338,24383,5515,18868,-12817
2016-01-10,4.326,5.0,3.53,1.4700000000000002,-1.2999999999999998,4.436,5.0,3.7,1.2999999999999998,-1.2999999999999998,3.596,4.5,3.0,1.5,-1.4900000000000002,4.006,4.7,3.35,1.35,-1.3199999999999998,20593,37676,6653,31023,12582
2016-01-17,3.705,4.0,3.5,0.5,0.2999999999999998,3.9074999999999998,4.0,3.87,0.1299999999999999,0.009999999999999787,3.4775,3.6,3.3,0.30000000000000027,0.30000000000000027,3.7375,3.88,3.49,0.3899999999999997,0.17999999999999972,12155,25534,902,24632,-24632
2016-01-24,3.82,3.9,3.75,0.1499999999999999,0.0,3.956,4.25,3.75,0.5,0.27,3.666,3.8,3.53,0.27,0.09999999999999964,3.788,4.0,3.59,0.41000000000000014,0.19999999999999973,5979,10905,1346,9559,3337
2016-01-31,4.244,4.6,4.0,0.5999999999999996,0.0,4.648,5.0,4.28,0.7199999999999998,-0.6399999999999997,4.008,4.14,3.9,0.23999999999999977,0.10000000000000009,4.222,4.5,4.0,0.5,-0.09999999999999964,5264,10607,1065,9542,-1997
2016-02-07,4.022,4.1,3.91,0.1899999999999995,0.1899999999999995,4.156,4.3,4.1,0.20000000000000018,0.20000000000000018,3.92,4.1,3.7,0.39999999999999947,0.19999999999999973,4.01,4.15,3.9,0.25000000000000044,0.25000000000000044,5845,8591,3161,5430,-1158
2016-02-14,4.115,4.28,3.9,0.38000000000000034,0.10999999999999988,4.342499999999999,4.5,4.1,0.40000000000000036,0.40000000000000036,3.9575,4.02,3.9,0.11999999999999966,0.10000000000000009,4.125,4.25,3.91,0.33999999999999986,0.15000000000000036,1887,4222,441,3781,1701
2016-02-21,4.19,4.5,4.0,0.5,-0.5,4.26,4.5,4.0,0.5,-0.20000000000000018,3.664,3.9,3.3,0.6000000000000001,-0.6000000000000001,4.054,4.25,3.92,0.33000000000000007,0.17999999999999972,5535,12130,1560,10570,7303
2016-02-28,4.04,4.1,4.0,0.09999999999999964,0.09999999999999964,4.22,4.5,4.0,0.5,0.5,3.876,3.95,3.7,0.25,0.25,3.968,4.17,3.74,0.4299999999999997,0.2599999999999998,6256,16633,1766,14867,-3602
2016-03-06,4.038,4.25,3.8,0.4500000000000002,-0.28000000000000025,4.452,4.5,4.38,0.1200000000000001,-0.1200000000000001,3.85,3.95,3.8,0.15000000000000036,0.10000000000000009,4.077999999999999,4.2,3.9,0.30000000000000027,0.10000000000000053,10980,21886,3083,18803,-15455
