Date,iShares GNMA BondEtf_Open_average,iShares GNMA BondEtf_Open_max,iShares GNMA BondEtf_Open_min,iShares GNMA BondEtf_Open_volatility,iShares GNMA BondEtf_Open_change,iShares GNMA BondEtf_High_average,iShares GNMA BondEtf_High_max,iShares GNMA BondEtf_High_min,iShares GNMA BondEtf_High_volatility,iShares GNMA BondEtf_High_change,iShares GNMA BondEtf_Low_average,iShares GNMA BondEtf_Low_max,iShares GNMA BondEtf_Low_min,iShares GNMA BondEtf_Low_volatility,iShares GNMA BondEtf_Low_change,iShares GNMA BondEtf_Close_average,iShares GNMA BondEtf_Close_max,iShares GNMA BondEtf_Close_min,iShares GNMA BondEtf_Close_volatility,iShares GNMA BondEtf_Close_change
2016-01-03,50.18,50.18,50.18,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2016-01-10,50.64,50.64,50.64,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2016-01-17,50.57,50.57,50.57,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2016-01-24,50.61,50.61,50.61,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2016-01-31,50.55,50.55,50.55,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2016-02-07,50.64,50.64,50.64,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.53,50.53,50.53,0.0,0.0
2016-02-14,50.87,50.87,50.87,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2016-02-21,50.7,50.7,50.7,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2016-02-28,50.61,50.61,50.61,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2016-03-06,50.59,50.59,50.59,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2016-03-13,50.68,50.68,50.68,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2016-03-20,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2016-03-27,50.65,50.65,50.65,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2016-04-03,50.6,50.6,50.6,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2016-04-10,50.66,50.66,50.66,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2016-04-17,50.62,50.62,50.62,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2016-04-24,50.68,50.68,50.68,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2016-05-01,50.81,50.81,50.81,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2016-05-08,50.82,50.82,50.82,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2016-05-15,50.98,50.98,50.98,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2016-05-22,50.96,50.96,50.96,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2016-05-29,50.7,50.7,50.7,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2016-06-05,50.92,50.92,50.92,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2016-06-12,51.09,51.09,51.09,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2016-06-19,51.22,51.22,51.22,0.0,0.0,51.24,51.24,51.24,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2016-06-26,51.09,51.09,51.09,0.0,0.0,51.15,51.15,51.15,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2016-07-03,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2016-07-10,50.98,50.98,50.98,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2016-07-17,51.07,51.07,51.07,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-07-24,51.23,51.23,51.23,0.0,0.0,51.23,51.23,51.23,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2016-07-31,51.01,51.01,51.01,0.0,0.0,51.11,51.11,51.11,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-08-07,51.12,51.12,51.12,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.11,51.11,51.11,0.0,0.0
