Date,PMEStock_Open_average,PMEStock_Open_max,PMEStock_Open_min,PMEStock_Open_volatility,PMEStock_Open_change,PMEStock_High_average,PMEStock_High_max,PMEStock_High_min,PMEStock_High_volatility,PMEStock_High_change,PMEStock_Low_average,PMEStock_Low_max,PMEStock_Low_min,PMEStock_Low_volatility,PMEStock_Low_change,PMEStock_Close_average,PMEStock_Close_max,PMEStock_Close_min,PMEStock_Close_volatility,PMEStock_Close_change,PMEStock_Volume_average,PMEStock_Volume_max,PMEStock_Volume_min,PMEStock_Volume_volatility,PMEStock_Volume_change
2016-01-03,1.4098,1.46,1.349,0.11099999999999999,0.07099999999999995,1.428,1.46,1.36,0.09999999999999987,0.08999999999999986,1.3848,1.42,1.34,0.07999999999999985,0.07099999999999995,1.4118,1.45,1.36,0.08999999999999986,0.08999999999999986,6213,14494,963,13531,13531
2016-01-10,1.3778,1.42,1.31,0.10999999999999988,-0.10999999999999988,1.3972,1.46,1.31,0.1499999999999999,-0.1499999999999999,1.3534,1.3980000000000001,1.298,0.10000000000000009,-0.10000000000000009,1.369,1.4569999999999999,1.3,0.1569999999999998,-0.09800000000000009,8584,27878,743,27135,20655
2016-01-17,1.2650000000000001,1.28,1.25,0.030000000000000027,-0.030000000000000027,1.275,1.3,1.26,0.040000000000000036,-0.040000000000000036,1.255,1.27,1.24,0.030000000000000027,-0.020000000000000018,1.2605,1.2819999999999998,1.24,0.041999999999999815,-0.021999999999999797,8037,18056,209,17847,-6658
2016-01-24,1.255,1.28,1.2,0.08000000000000007,0.020000000000000018,1.2675,1.3,1.2,0.10000000000000009,0.010000000000000009,1.2375,1.28,1.2,0.08000000000000007,0.020000000000000018,1.2475,1.29,1.2,0.09000000000000008,0.0,4418,11043,1,11042,6626
2016-01-31,1.33,1.35,1.3,0.050000000000000044,0.050000000000000044,1.3478,1.35,1.339,0.01100000000000012,0.01100000000000012,1.3176,1.349,1.3,0.04899999999999993,0.0,1.3184,1.349,1.3,0.04899999999999993,-0.0030000000000001137,11022,23560,1112,22448,-14392
2016-02-07,1.3326,1.483,1.27,0.21300000000000008,0.18300000000000005,1.4006,1.56,1.31,0.25,0.18300000000000005,1.318,1.46,1.23,0.22999999999999998,0.15999999999999992,1.3768,1.49,1.3,0.18999999999999995,0.15599999999999992,30358,92462,1587,90875,-4249
2016-02-14,1.4833333333333334,1.5,1.46,0.040000000000000036,-0.040000000000000036,1.4833333333333334,1.5,1.46,0.040000000000000036,-0.040000000000000036,1.4466666666666668,1.5,1.35,0.1499999999999999,-0.1499999999999999,1.4466666666666668,1.5,1.35,0.1499999999999999,-0.1499999999999999,339,500,100,400,81
2016-02-21,1.4042,1.45,1.35,0.09999999999999987,0.0020000000000000018,1.4042,1.45,1.35,0.09999999999999987,0.0020000000000000018,1.3546,1.393,1.34,0.052999999999999936,-0.020000000000000018,1.3546,1.393,1.34,0.052999999999999936,-0.020000000000000018,1520,3860,370,3490,305
2016-02-28,1.3808,1.42,1.36,0.05999999999999983,0.0040000000000000036,1.4062,1.44,1.3840000000000001,0.05599999999999983,-0.05599999999999983,1.3760000000000001,1.42,1.36,0.05999999999999983,0.0,1.3932,1.44,1.36,0.07999999999999985,-0.07999999999999985,4129,8210,195,8015,-1879
2016-03-06,1.398,1.44,1.36,0.07999999999999985,0.0,1.398,1.44,1.36,0.07999999999999985,0.0,1.386,1.44,1.34,0.09999999999999987,0.039999999999999813,1.39,1.44,1.36,0.07999999999999985,0.039999999999999813,2845,11505,5,11500,-11375
