Date,iShares 3-7 Year Treasury Bond_etf_Open_average,iShares 3-7 Year Treasury Bond_etf_Open_max,iShares 3-7 Year Treasury Bond_etf_Open_min,iShares 3-7 Year Treasury Bond_etf_Open_volatility,iShares 3-7 Year Treasury Bond_etf_Open_change,iShares 3-7 Year Treasury Bond_etf_High_average,iShares 3-7 Year Treasury Bond_etf_High_max,iShares 3-7 Year Treasury Bond_etf_High_min,iShares 3-7 Year Treasury Bond_etf_High_volatility,iShares 3-7 Year Treasury Bond_etf_High_change,iShares 3-7 Year Treasury Bond_etf_Low_average,iShares 3-7 Year Treasury Bond_etf_Low_max,iShares 3-7 Year Treasury Bond_etf_Low_min,iShares 3-7 Year Treasury Bond_etf_Low_volatility,iShares 3-7 Year Treasury Bond_etf_Low_change,iShares 3-7 Year Treasury Bond_etf_Close_average,iShares 3-7 Year Treasury Bond_etf_Close_max,iShares 3-7 Year Treasury Bond_etf_Close_min,iShares 3-7 Year Treasury Bond_etf_Close_volatility,iShares 3-7 Year Treasury Bond_etf_Close_change
2016-01-03,123.52,123.52,123.52,0.0,0.0,123.8,123.8,123.8,0.0,0.0,123.44,123.44,123.44,0.0,0.0,123.8,123.8,123.8,0.0,0.0
2016-01-10,124.63,124.63,124.63,0.0,0.0,124.63,124.63,124.63,0.0,0.0,124.36,124.36,124.36,0.0,0.0,124.44,124.44,124.44,0.0,0.0
2016-01-17,124.28,124.28,124.28,0.0,0.0,124.39,124.39,124.39,0.0,0.0,124.15,124.15,124.15,0.0,0.0,124.35,124.35,124.35,0.0,0.0
2016-01-24,125.15,125.15,125.15,0.0,0.0,125.25,125.25,125.25,0.0,0.0,124.98,124.98,124.98,0.0,0.0,125.24,125.24,125.24,0.0,0.0
2016-01-31,125.4,125.4,125.4,0.0,0.0,125.62,125.62,125.62,0.0,0.0,125.28,125.28,125.28,0.0,0.0,125.54,125.54,125.54,0.0,0.0
2016-02-07,126.12,126.12,126.12,0.0,0.0,126.22,126.22,126.22,0.0,0.0,125.79,125.79,125.79,0.0,0.0,125.9,125.9,125.9,0.0,0.0
2016-02-14,125.71,125.71,125.71,0.0,0.0,125.89,125.89,125.89,0.0,0.0,125.69,125.69,125.69,0.0,0.0,125.74,125.74,125.74,0.0,0.0
2016-02-21,125.78,125.78,125.78,0.0,0.0,125.8,125.8,125.8,0.0,0.0,125.55,125.55,125.55,0.0,0.0,125.73,125.73,125.73,0.0,0.0
2016-02-28,124.92,124.92,124.92,0.0,0.0,124.99,124.99,124.99,0.0,0.0,124.63,124.63,124.63,0.0,0.0,124.79,124.79,124.79,0.0,0.0
2016-03-06,124.45,124.45,124.45,0.0,0.0,124.45,124.45,124.45,0.0,0.0,124.18,124.18,124.18,0.0,0.0,124.28,124.28,124.28,0.0,0.0
2016-03-13,125.05,125.05,125.05,0.0,0.0,125.16,125.16,125.16,0.0,0.0,125.01,125.01,125.01,0.0,0.0,125.14,125.14,125.14,0.0,0.0
2016-03-20,125.13,125.13,125.13,0.0,0.0,125.16,125.16,125.16,0.0,0.0,124.82,124.82,124.82,0.0,0.0,124.96,124.96,124.96,0.0,0.0
2016-03-27,125.76,125.76,125.76,0.0,0.0,125.82,125.82,125.82,0.0,0.0,125.54,125.54,125.54,0.0,0.0,125.71,125.71,125.71,0.0,0.0
2016-04-03,126.14,126.14,126.14,0.0,0.0,126.25,126.25,126.25,0.0,0.0,126.05,126.05,126.05,0.0,0.0,126.19,126.19,126.19,0.0,0.0
2016-04-10,125.8,125.8,125.8,0.0,0.0,126.02,126.02,126.02,0.0,0.0,125.79,125.79,125.79,0.0,0.0,125.92,125.92,125.92,0.0,0.0
2016-04-17,125.25,125.25,125.25,0.0,0.0,125.29,125.29,125.29,0.0,0.0,125.12,125.12,125.12,0.0,0.0,125.22,125.22,125.22,0.0,0.0
2016-04-24,125.5,125.5,125.5,0.0,0.0,125.7,125.7,125.7,0.0,0.0,125.42,125.42,125.42,0.0,0.0,125.63,125.63,125.63,0.0,0.0
2016-05-01,125.98,125.98,125.98,0.0,0.0,126.09,126.09,126.09,0.0,0.0,125.81,125.81,125.81,0.0,0.0,125.88,125.88,125.88,0.0,0.0
2016-05-08,125.9,125.9,125.9,0.0,0.0,126.1,126.1,126.1,0.0,0.0,125.81,125.81,125.81,0.0,0.0,126.05,126.05,126.05,0.0,0.0
2016-05-15,125.19,125.19,125.19,0.0,0.0,125.28,125.28,125.28,0.0,0.0,125.12,125.12,125.12,0.0,0.0,125.25,125.25,125.25,0.0,0.0
2016-05-22,125.28,125.28,125.28,0.0,0.0,125.36,125.36,125.36,0.0,0.0,125.01,125.01,125.01,0.0,0.0,125.1,125.1,125.1,0.0,0.0
2016-05-29,125.85,125.85,125.85,0.0,0.0,126.0,126.0,126.0,0.0,0.0,125.81,125.81,125.81,0.0,0.0,125.94,125.94,125.94,0.0,0.0
2016-06-05,126.19,126.19,126.19,0.0,0.0,126.39,126.39,126.39,0.0,0.0,126.19,126.19,126.19,0.0,0.0,126.28,126.28,126.28,0.0,0.0
2016-06-12,126.76,126.76,126.76,0.0,0.0,126.76,126.76,126.76,0.0,0.0,126.58,126.58,126.58,0.0,0.0,126.67,126.67,126.67,0.0,0.0
2016-06-19,126.97,126.97,126.97,0.0,0.0,127.18,127.18,127.18,0.0,0.0,126.88,126.88,126.88,0.0,0.0,126.92,126.92,126.92,0.0,0.0
