Date,CEI_stock_Open_average,CEI_stock_Open_max,CEI_stock_Open_min,CEI_stock_Open_volatility,CEI_stock_Open_change,CEI_stock_High_average,CEI_stock_High_max,CEI_stock_High_min,CEI_stock_High_volatility,CEI_stock_High_change,CEI_stock_Low_average,CEI_stock_Low_max,CEI_stock_Low_min,CEI_stock_Low_volatility,CEI_stock_Low_change,CEI_stock_Close_average,CEI_stock_Close_max,CEI_stock_Close_min,CEI_stock_Close_volatility,CEI_stock_Close_change,CEI_stock_Volume_average,CEI_stock_Volume_max,CEI_stock_Volume_min,CEI_stock_Volume_volatility,CEI_stock_Volume_change
2016-01-03,5.766,7.11,4.51,2.6000000000000005,-1.5,6.73,8.43,4.76,3.67,-3.67,5.1502,6.861000000000001,3.67,3.1910000000000007,-2.1399999999999997,5.506,6.9,4.25,2.6500000000000004,-2.2799999999999994,227837,476482,66869,409613,-409613
2016-01-10,4.18,4.54,3.76,0.7800000000000002,-0.3000000000000007,4.874,5.34,4.54,0.7999999999999998,0.6200000000000001,3.9282,4.1,3.76,0.33999999999999986,-0.08899999999999997,4.372,4.85,3.89,0.9599999999999995,0.7299999999999995,46809,117332,6668,110664,65602
2016-01-17,4.5625,4.8,4.21,0.5899999999999999,-0.09999999999999964,4.9425,5.27,4.57,0.6999999999999993,-0.54,4.1,4.28,4.0,0.28000000000000025,-0.11000000000000032,4.515000000000001,4.82,4.14,0.6800000000000006,-0.5600000000000005,57269,77941,30000,47941,-25055
2016-01-24,3.4939999999999998,4.0,3.25,0.75,-0.75,3.75,4.0,3.55,0.4500000000000002,-0.4500000000000002,3.2399999999999998,3.34,3.1,0.23999999999999977,-0.020000000000000018,3.368,3.5,3.31,0.18999999999999995,-0.1499999999999999,15136,22297,4950,17347,-17347
2016-01-31,3.314,3.49,3.23,0.26000000000000023,-0.029999999999999805,3.34,3.49,3.25,0.2400000000000002,-0.08000000000000007,3.1362,3.221,3.04,0.18100000000000005,0.121,3.252,3.33,3.07,0.26000000000000023,-0.08000000000000007,5527,10205,2197,8008,546
2016-02-07,70.2,79.5,66.25,13.25,-10.5,72.9,79.5,68.5,11.0,-7.0,64.555,67.525,61.5,6.025000000000006,-0.2750000000000057,68.4,71.75,67.25,4.5,-4.5,204,384,40,344,-60
2016-02-14,71.1875,75.0,68.5,6.5,2.75,77.1875,80.0,71.25,8.75,7.5,68.25,69.75,66.25,3.5,0.0,74.0,77.5,71.25,6.25,3.25,497,1018,133,885,559
2016-02-21,76.85,79.5,74.75,4.75,-0.5,80.25,88.75,75.5,13.25,-1.5,74.1,75.0,72.5,2.5,0.0,76.45,79.5,75.0,4.5,-4.5,250,869,19,850,-43
2016-02-28,76.7,82.5,74.5,8.0,1.75,86.99,111.75,75.5,36.25,36.25,74.705,76.25,72.775,3.4749999999999943,3.4749999999999943,80.35,97.25,75.0,22.25,22.0,729,2721,50,2671,2671
2016-03-06,104.2,112.5,92.75,19.75,-11.25,108.05,120.0,92.75,27.25,-16.25,94.45,101.25,83.5,17.75,-9.0,98.45,114.0,86.75,27.25,-22.5,949,2521,251,2270,-1951
2016-03-13,87.7,95.25,82.0,13.25,-3.0,90.55,95.25,85.0,10.25,-3.0,82.1,83.75,78.25,5.5,-5.5,84.25,88.75,80.0,8.75,-5.0,166,263,100,163,100
2016-03-20,80.25,83.0,79.0,4.0,3.0,84.25,90.5,80.25,10.25,3.75,76.75,79.0,75.25,3.75,-0.25,79.5,80.0,78.75,1.25,-1.25,194,294,75,219,25
2016-03-27,79.75,84.0,77.25,6.75,-2.5,81.4,84.75,78.0,6.75,-6.0,77.1,78.25,75.75,2.5,-1.25,79.0,84.75,76.25,8.5,-8.5,117,171,37,134,57
2016-04-03,104.15,162.25,72.5,89.75,85.75,121.0,198.75,72.5,126.25,103.5,91.4,131.25,70.0,61.25,60.5,94.2,137.0,70.0,67.0,65.5,8198,23714,77,23637,15953
2016-04-10,140.8,162.5,123.0,39.5,-39.5,149.05,178.75,130.75,48.0,-48.0,129.35,146.75,118.75,28.0,-28.0,135.25,156.75,122.5,34.25,-34.25,4908,14047,1497,12550,-12550
2016-04-17,115.0,125.75,108.75,17.0,-13.75,117.1,125.75,110.0,15.75,-9.75,108.8,115.0,105.0,10.0,-7.25,111.8,115.0,108.75,6.25,-3.0,736,1501,345,1156,-1021
2016-04-24,110.65,117.5,107.5,10.0,-5.0,113.5,117.5,110.25,7.25,-3.75,105.85,108.25,103.5,4.75,-3.5,107.25,109.5,105.25,4.25,-4.0,313,579,205,374,-348
2016-05-01,96.9,106.75,90.25,16.5,-16.25,99.3,106.75,93.75,13.0,-13.0,90.6,100.0,86.0,14.0,-14.0,92.95,100.0,88.25,11.75,-11.75,331,830,140,690,-19
