Date,AMPEStock_Open_average,AMPEStock_Open_max,AMPEStock_Open_min,AMPEStock_Open_volatility,AMPEStock_Open_change,AMPEStock_High_average,AMPEStock_High_max,AMPEStock_High_min,AMPEStock_High_volatility,AMPEStock_High_change,AMPEStock_Low_average,AMPEStock_Low_max,AMPEStock_Low_min,AMPEStock_Low_volatility,AMPEStock_Low_change,AMPEStock_Close_average,AMPEStock_Close_max,AMPEStock_Close_min,AMPEStock_Close_volatility,AMPEStock_Close_change,AMPEStock_Volume_average,AMPEStock_Volume_max,AMPEStock_Volume_min,AMPEStock_Volume_volatility,AMPEStock_Volume_change
2016-01-03,3.0220000000000002,3.45,2.75,0.7000000000000002,-0.7000000000000002,3.162,3.5,2.75,0.75,-0.7000000000000002,2.866,3.28,2.52,0.7599999999999998,-0.7599999999999998,2.94,3.31,2.53,0.7800000000000002,-0.7800000000000002,46920,85829,26071,59758,-5402
2016-01-10,2.298,2.54,2.17,0.3700000000000001,-0.3700000000000001,2.35,2.54,2.18,0.3599999999999999,-0.3599999999999999,2.148,2.22,2.1,0.1200000000000001,-0.1200000000000001,2.2239999999999998,2.38,2.13,0.25,-0.25,40613,68122,19648,48474,-48474
2016-01-17,2.1825,2.38,2.07,0.31000000000000005,0.17999999999999972,2.2875,2.45,2.12,0.33000000000000007,0.2200000000000002,2.0825,2.3,1.99,0.30999999999999983,0.27,2.215,2.44,2.1,0.33999999999999986,0.33000000000000007,56812,82497,34161,48336,-18952
2016-01-24,2.374,2.45,2.33,0.1200000000000001,-0.009999999999999787,2.45,2.65,2.37,0.2799999999999998,-0.27,2.288,2.34,2.25,0.08999999999999986,-0.08999999999999986,2.348,2.4,2.26,0.14000000000000012,-0.020000000000000018,23017,38744,6990,31754,-7262
2016-01-31,2.29,2.33,2.23,0.10000000000000009,-0.07999999999999963,2.33,2.42,2.24,0.17999999999999972,-0.13999999999999968,2.2,2.31,2.1,0.20999999999999996,-0.1599999999999997,2.254,2.38,2.1,0.2799999999999998,-0.2799999999999998,16682,28777,8572,20205,12751
2016-02-07,2.0020000000000002,2.1,1.86,0.24,-0.24,2.02,2.1,1.93,0.17000000000000015,-0.17000000000000015,1.8439999999999999,2.01,1.69,0.31999999999999984,-0.19999999999999973,1.95,2.08,1.9,0.18000000000000016,-0.16000000000000014,29128,39424,23061,16363,-3124
2016-02-14,2.0875,2.23,1.97,0.26,0.1399999999999999,2.1875,2.25,2.05,0.20000000000000018,0.17000000000000037,2.0275,2.11,1.92,0.18999999999999995,0.18999999999999995,2.1475,2.22,2.05,0.17000000000000037,0.17000000000000037,16958,22553,9470,13083,-4450
2016-02-21,2.208,2.28,2.06,0.21999999999999975,0.05999999999999961,2.3,2.4,2.23,0.16999999999999993,0.08999999999999986,2.154,2.21,2.06,0.1499999999999999,0.020000000000000018,2.2359999999999998,2.31,2.11,0.20000000000000018,-0.010000000000000231,20338,43436,8576,34860,21423
2016-02-28,2.176,2.27,2.12,0.1499999999999999,-0.1200000000000001,2.244,2.32,2.16,0.1599999999999997,-0.040000000000000036,2.104,2.15,2.05,0.10000000000000009,-0.08000000000000007,2.14,2.2,2.11,0.0900000000000003,-0.020000000000000018,13756,19577,10509,9068,-8232
2016-03-06,2.116,2.21,2.05,0.16000000000000014,-0.06000000000000005,2.206,2.29,2.14,0.1499999999999999,-0.10999999999999988,2.078,2.14,2.03,0.11000000000000032,-0.06000000000000005,2.114,2.2,2.06,0.14000000000000012,-0.0900000000000003,10526,19276,6153,13123,-13123
