Date,SPDR S&P Global Infrastructure_etf_Open_average,SPDR S&P Global Infrastructure_etf_Open_max,SPDR S&P Global Infrastructure_etf_Open_min,SPDR S&P Global Infrastructure_etf_Open_volatility,SPDR S&P Global Infrastructure_etf_Open_change,SPDR S&P Global Infrastructure_etf_High_average,SPDR S&P Global Infrastructure_etf_High_max,SPDR S&P Global Infrastructure_etf_High_min,SPDR S&P Global Infrastructure_etf_High_volatility,SPDR S&P Global Infrastructure_etf_High_change,SPDR S&P Global Infrastructure_etf_Low_average,SPDR S&P Global Infrastructure_etf_Low_max,SPDR S&P Global Infrastructure_etf_Low_min,SPDR S&P Global Infrastructure_etf_Low_volatility,SPDR S&P Global Infrastructure_etf_Low_change,SPDR S&P Global Infrastructure_etf_Close_average,SPDR S&P Global Infrastructure_etf_Close_max,SPDR S&P Global Infrastructure_etf_Close_min,SPDR S&P Global Infrastructure_etf_Close_volatility,SPDR S&P Global Infrastructure_etf_Close_change
2016-01-03,39.64,39.64,39.64,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-01-10,38.54,38.54,38.54,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2016-01-17,39.55,39.55,39.55,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2016-01-24,40.66,40.66,40.66,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.66,40.66,40.66,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2016-01-31,40.93,40.93,40.93,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.17,41.17,41.17,0.0,0.0
2016-02-07,39.93,39.93,39.93,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.63,39.63,39.63,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2016-02-14,41.1,41.1,41.1,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2016-02-21,41.5,41.5,41.5,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2016-02-28,42.45,42.45,42.45,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2016-03-06,43.44,43.44,43.44,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.59,43.59,43.59,0.0,0.0
2016-03-13,44.38,44.38,44.38,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2016-03-20,43.36,43.36,43.36,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2016-03-27,44.42,44.42,44.42,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2016-04-03,44.26,44.26,44.26,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2016-04-10,45.18,45.18,45.18,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2016-04-17,45.07,45.07,45.07,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2016-04-24,45.78,45.78,45.78,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-05-01,45.46,45.46,45.46,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-05-08,45.7,45.7,45.7,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.22,45.22,45.22,0.0,0.0
