Date,Vanguard FTSE All World ex USEtf_Open_average,Vanguard FTSE All World ex USEtf_Open_max,Vanguard FTSE All World ex USEtf_Open_min,Vanguard FTSE All World ex USEtf_Open_volatility,Vanguard FTSE All World ex USEtf_Open_change,Vanguard FTSE All World ex USEtf_High_average,Vanguard FTSE All World ex USEtf_High_max,Vanguard FTSE All World ex USEtf_High_min,Vanguard FTSE All World ex USEtf_High_volatility,Vanguard FTSE All World ex USEtf_High_change,Vanguard FTSE All World ex USEtf_Low_average,Vanguard FTSE All World ex USEtf_Low_max,Vanguard FTSE All World ex USEtf_Low_min,Vanguard FTSE All World ex USEtf_Low_volatility,Vanguard FTSE All World ex USEtf_Low_change,Vanguard FTSE All World ex USEtf_Close_average,Vanguard FTSE All World ex USEtf_Close_max,Vanguard FTSE All World ex USEtf_Close_min,Vanguard FTSE All World ex USEtf_Close_volatility,Vanguard FTSE All World ex USEtf_Close_change
2016-01-03,41.17,41.17,41.17,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2016-01-10,39.25,39.25,39.25,0.0,0.0,39.42,39.42,39.42,0.0,0.0,38.82,38.82,38.82,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2016-01-17,39.84,39.84,39.84,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.74,39.74,39.74,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2016-01-24,40.4,40.4,40.4,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2016-01-31,40.39,40.39,40.39,0.0,0.0,40.39,40.39,40.39,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2016-02-07,38.26,38.26,38.26,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2016-02-14,39.87,39.87,39.87,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.73,39.73,39.73,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2016-02-21,40.43,40.43,40.43,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.08,40.08,40.08,0.0,0.0
2016-02-28,42.1,42.1,42.1,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2016-03-06,42.65,42.65,42.65,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.65,42.65,42.65,0.0,0.0,43.0,43.0,43.0,0.0,0.0
