Date,PowerShares CleantechEtf_Open_average,PowerShares CleantechEtf_Open_max,PowerShares CleantechEtf_Open_min,PowerShares CleantechEtf_Open_volatility,PowerShares CleantechEtf_Open_change,PowerShares CleantechEtf_High_average,PowerShares CleantechEtf_High_max,PowerShares CleantechEtf_High_min,PowerShares CleantechEtf_High_volatility,PowerShares CleantechEtf_High_change,PowerShares CleantechEtf_Low_average,PowerShares CleantechEtf_Low_max,PowerShares CleantechEtf_Low_min,PowerShares CleantechEtf_Low_volatility,PowerShares CleantechEtf_Low_change,PowerShares CleantechEtf_Close_average,PowerShares CleantechEtf_Close_max,PowerShares CleantechEtf_Close_min,PowerShares CleantechEtf_Close_volatility,PowerShares CleantechEtf_Close_change
2016-01-03,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2016-01-10,25.71,25.71,25.71,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2016-01-17,26.27,26.27,26.27,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2016-01-24,26.76,26.76,26.76,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-01-31,27.01,27.01,27.01,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2016-02-07,25.94,25.94,25.94,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2016-02-14,27.31,27.31,27.31,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2016-02-21,27.87,27.87,27.87,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2016-02-28,28.81,28.81,28.81,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2016-03-06,28.98,28.98,28.98,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-03-13,29.83,29.83,29.83,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2016-03-20,29.15,29.15,29.15,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2016-03-27,29.7,29.7,29.7,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2016-04-03,29.24,29.24,29.24,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2016-04-10,29.7,29.7,29.7,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.59,29.59,29.59,0.0,0.0
