Date,iShares Morningstar Mid-Cap ValueEtf_Open_average,iShares Morningstar Mid-Cap ValueEtf_Open_max,iShares Morningstar Mid-Cap ValueEtf_Open_min,iShares Morningstar Mid-Cap ValueEtf_Open_volatility,iShares Morningstar Mid-Cap ValueEtf_Open_change,iShares Morningstar Mid-Cap ValueEtf_High_average,iShares Morningstar Mid-Cap ValueEtf_High_max,iShares Morningstar Mid-Cap ValueEtf_High_min,iShares Morningstar Mid-Cap ValueEtf_High_volatility,iShares Morningstar Mid-Cap ValueEtf_High_change,iShares Morningstar Mid-Cap ValueEtf_Low_average,iShares Morningstar Mid-Cap ValueEtf_Low_max,iShares Morningstar Mid-Cap ValueEtf_Low_min,iShares Morningstar Mid-Cap ValueEtf_Low_volatility,iShares Morningstar Mid-Cap ValueEtf_Low_change,iShares Morningstar Mid-Cap ValueEtf_Close_average,iShares Morningstar Mid-Cap ValueEtf_Close_max,iShares Morningstar Mid-Cap ValueEtf_Close_min,iShares Morningstar Mid-Cap ValueEtf_Close_volatility,iShares Morningstar Mid-Cap ValueEtf_Close_change
2016-01-03,113.85,113.85,113.85,0.0,0.0,113.85,113.85,113.85,0.0,0.0,111.5,111.5,111.5,0.0,0.0,111.5,111.5,111.5,0.0,0.0
2016-01-10,106.81,106.81,106.81,0.0,0.0,107.96,107.96,107.96,0.0,0.0,106.68,106.68,106.68,0.0,0.0,107.72,107.72,107.72,0.0,0.0
2016-01-17,107.79,107.79,107.79,0.0,0.0,108.54,108.54,108.54,0.0,0.0,107.62,107.62,107.62,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2016-01-24,109.48,109.48,109.48,0.0,0.0,111.32,111.32,111.32,0.0,0.0,109.48,109.48,109.48,0.0,0.0,111.26,111.26,111.26,0.0,0.0
2016-01-31,111.76,111.76,111.76,0.0,0.0,112.46,112.46,112.46,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.28,111.28,111.28,0.0,0.0
2016-02-07,108.03,108.03,108.03,0.0,0.0,109.16,109.16,109.16,0.0,0.0,108.01,108.01,108.01,0.0,0.0,109.16,109.16,109.16,0.0,0.0
2016-02-14,112.49,112.49,112.49,0.0,0.0,112.93,112.93,112.93,0.0,0.0,112.49,112.49,112.49,0.0,0.0,112.7,112.7,112.7,0.0,0.0
2016-02-21,116.06,116.06,116.06,0.0,0.0,116.06,116.06,116.06,0.0,0.0,115.65,115.65,115.65,0.0,0.0,115.65,115.65,115.65,0.0,0.0
2016-02-28,120.5,120.5,120.5,0.0,0.0,121.38,121.38,121.38,0.0,0.0,120.25,120.25,120.25,0.0,0.0,120.29,120.29,120.29,0.0,0.0
2016-03-06,122.67,122.67,122.67,0.0,0.0,122.67,122.67,122.67,0.0,0.0,122.61,122.61,122.61,0.0,0.0,122.61,122.61,122.61,0.0,0.0
2016-03-13,124.79,124.79,124.79,0.0,0.0,125.03,125.03,125.03,0.0,0.0,124.2,124.2,124.2,0.0,0.0,124.4,124.4,124.4,0.0,0.0
2016-03-20,121.5,121.5,121.5,0.0,0.0,121.97,121.97,121.97,0.0,0.0,121.28,121.28,121.28,0.0,0.0,121.93,121.93,121.93,0.0,0.0
2016-03-27,123.14,123.14,123.14,0.0,0.0,123.63,123.63,123.63,0.0,0.0,122.75,122.75,122.75,0.0,0.0,123.58,123.58,123.58,0.0,0.0
2016-04-03,121.65,121.65,121.65,0.0,0.0,122.32,122.32,122.32,0.0,0.0,121.36,121.36,121.36,0.0,0.0,121.36,121.36,121.36,0.0,0.0
2016-04-10,123.47,123.47,123.47,0.0,0.0,124.16,124.16,124.16,0.0,0.0,123.47,123.47,123.47,0.0,0.0,124.01,124.01,124.01,0.0,0.0
2016-04-17,124.69,124.69,124.69,0.0,0.0,125.58,125.58,125.58,0.0,0.0,124.37,124.37,124.37,0.0,0.0,125.42,125.42,125.42,0.0,0.0
2016-04-24,125.7,125.7,125.7,0.0,0.0,125.75,125.75,125.75,0.0,0.0,124.79,124.79,124.79,0.0,0.0,125.48,125.48,125.48,0.0,0.0
2016-05-01,123.29,123.29,123.29,0.0,0.0,123.6,123.6,123.6,0.0,0.0,122.98,122.98,122.98,0.0,0.0,123.6,123.6,123.6,0.0,0.0
2016-05-08,124.01,124.01,124.01,0.0,0.0,124.02,124.02,124.02,0.0,0.0,122.58,122.58,122.58,0.0,0.0,122.82,122.82,122.82,0.0,0.0
2016-05-15,122.97,122.97,122.97,0.0,0.0,123.11,123.11,123.11,0.0,0.0,122.82,122.82,122.82,0.0,0.0,122.94,122.94,122.94,0.0,0.0
2016-05-22,125.9,125.9,125.9,0.0,0.0,126.04,126.04,126.04,0.0,0.0,125.63,125.63,125.63,0.0,0.0,126.04,126.04,126.04,0.0,0.0
2016-05-29,127.13,127.13,127.13,0.0,0.0,127.5,127.5,127.5,0.0,0.0,126.95,126.95,126.95,0.0,0.0,127.5,127.5,127.5,0.0,0.0
