Date,VelocityShares Daily Inverse VIX Medium Term_etf_Open_average,VelocityShares Daily Inverse VIX Medium Term_etf_Open_max,VelocityShares Daily Inverse VIX Medium Term_etf_Open_min,VelocityShares Daily Inverse VIX Medium Term_etf_Open_volatility,VelocityShares Daily Inverse VIX Medium Term_etf_Open_change,VelocityShares Daily Inverse VIX Medium Term_etf_High_average,VelocityShares Daily Inverse VIX Medium Term_etf_High_max,VelocityShares Daily Inverse VIX Medium Term_etf_High_min,VelocityShares Daily Inverse VIX Medium Term_etf_High_volatility,VelocityShares Daily Inverse VIX Medium Term_etf_High_change,VelocityShares Daily Inverse VIX Medium Term_etf_Low_average,VelocityShares Daily Inverse VIX Medium Term_etf_Low_max,VelocityShares Daily Inverse VIX Medium Term_etf_Low_min,VelocityShares Daily Inverse VIX Medium Term_etf_Low_volatility,VelocityShares Daily Inverse VIX Medium Term_etf_Low_change,VelocityShares Daily Inverse VIX Medium Term_etf_Close_average,VelocityShares Daily Inverse VIX Medium Term_etf_Close_max,VelocityShares Daily Inverse VIX Medium Term_etf_Close_min,VelocityShares Daily Inverse VIX Medium Term_etf_Close_volatility,VelocityShares Daily Inverse VIX Medium Term_etf_Close_change
2016-01-03,39.53,39.53,39.53,0.0,0.0,39.61,39.61,39.61,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2016-01-10,35.19,35.19,35.19,0.0,0.0,35.66,35.66,35.66,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2016-01-17,35.67,35.67,35.67,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.43,35.43,35.43,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-01-24,36.71,36.71,36.71,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.7,36.7,36.7,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2016-01-31,35.94,35.94,35.94,0.0,0.0,36.11,36.11,36.11,0.0,0.0,34.78,34.78,34.78,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2016-02-07,33.15,33.15,33.15,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2016-02-14,33.87,33.87,33.87,0.0,0.0,34.72,34.72,34.72,0.0,0.0,33.78,33.78,33.78,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2016-02-21,35.95,35.95,35.95,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2016-02-28,38.27,38.27,38.27,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2016-03-06,37.86,37.86,37.86,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.74,37.74,37.74,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2016-03-13,39.41,39.41,39.41,0.0,0.0,39.59,39.59,39.59,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2016-03-20,37.82,37.82,37.82,0.0,0.0,38.52,38.52,38.52,0.0,0.0,37.71,37.71,37.71,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2016-03-27,40.13,40.13,40.13,0.0,0.0,41.45,41.45,41.45,0.0,0.0,39.97,39.97,39.97,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2016-04-03,39.41,39.41,39.41,0.0,0.0,39.62,39.62,39.62,0.0,0.0,38.87,38.87,38.87,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2016-04-10,39.95,39.95,39.95,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2016-04-17,39.65,39.65,39.65,0.0,0.0,40.23,40.23,40.23,0.0,0.0,39.51,39.51,39.51,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2016-04-24,39.44,39.44,39.44,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2016-05-01,37.92,37.92,37.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,37.92,37.92,37.92,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2016-05-08,39.52,39.52,39.52,0.0,0.0,40.1,40.1,40.1,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2016-05-15,38.81,38.81,38.81,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2016-05-22,40.86,40.86,40.86,0.0,0.0,41.05,41.05,41.05,0.0,0.0,40.64,40.64,40.64,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2016-05-29,41.14,41.14,41.14,0.0,0.0,41.78,41.78,41.78,0.0,0.0,40.49,40.49,40.49,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2016-06-05,39.57,39.57,39.57,0.0,0.0,39.81,39.81,39.81,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2016-06-12,38.49,38.49,38.49,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2016-06-19,38.76,38.76,38.76,0.0,0.0,40.27,40.27,40.27,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2016-06-26,38.85,38.85,38.85,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2016-07-03,39.53,39.53,39.53,0.0,0.0,40.31,40.31,40.31,0.0,0.0,39.5,39.5,39.5,0.0,0.0,40.21,40.21,40.21,0.0,0.0
2016-07-10,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2016-07-17,40.58,40.58,40.58,0.0,0.0,41.3,41.3,41.3,0.0,0.0,40.47,40.47,40.47,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-07-24,41.68,41.68,41.68,0.0,0.0,42.58,42.58,42.58,0.0,0.0,41.67,41.67,41.67,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2016-07-31,42.81,42.81,42.81,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2016-08-07,43.26,43.26,43.26,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2016-08-14,42.68,42.68,42.68,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2016-08-21,42.71,42.71,42.71,0.0,0.0,43.14,43.14,43.14,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2016-08-28,42.92,42.92,42.92,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2016-09-04,42.6,42.6,42.6,0.0,0.0,42.61,42.61,42.61,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2016-09-11,40.66,40.66,40.66,0.0,0.0,41.28,41.28,41.28,0.0,0.0,40.35,40.35,40.35,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2016-09-18,43.32,43.32,43.32,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2016-09-25,43.63,43.63,43.63,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2016-10-02,44.28,44.28,44.28,0.0,0.0,44.32,44.32,44.32,0.0,0.0,43.85,43.85,43.85,0.0,0.0,44.27,44.27,44.27,0.0,0.0
2016-10-09,43.88,43.88,43.88,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2016-10-16,44.29,44.29,44.29,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.91,44.91,44.91,0.0,0.0
2016-10-23,44.83,44.83,44.83,0.0,0.0,45.07,45.07,45.07,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2016-10-30,42.82,42.82,42.82,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2016-11-06,45.24,45.24,45.24,0.0,0.0,45.63,45.63,45.63,0.0,0.0,44.51,44.51,44.51,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2016-11-13,46.23,46.23,46.23,0.0,0.0,46.38,46.38,46.38,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2016-11-20,46.39,46.39,46.39,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2016-11-27,45.63,45.63,45.63,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2016-12-04,46.77,46.77,46.77,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2016-12-11,46.91,46.91,46.91,0.0,0.0,47.28,47.28,47.28,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2016-12-18,47.18,47.18,47.18,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2016-12-25,47.2,47.2,47.2,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2017-01-01,49.59,49.59,49.59,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2017-01-08,50.0,50.0,50.0,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2017-01-15,50.08,50.08,50.08,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2017-01-22,52.95,52.95,52.95,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2017-01-29,53.75,53.75,53.75,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.79,53.79,53.79,0.0,0.0
2017-02-05,53.93,53.93,53.93,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2017-02-12,56.19,56.19,56.19,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2017-02-19,53.06,53.06,53.06,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.98,53.98,53.98,0.0,0.0
2017-02-26,55.31,55.31,55.31,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2017-03-05,56.57,56.57,56.57,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2017-03-12,58.21,58.21,58.21,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2017-03-19,57.13,57.13,57.13,0.0,0.0,57.8,57.8,57.8,0.0,0.0,56.55,56.55,56.55,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2017-03-26,60.71,60.71,60.71,0.0,0.0,61.26,61.26,61.26,0.0,0.0,60.64,60.64,60.64,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2017-04-02,61.25,61.25,61.25,0.0,0.0,61.42,61.42,61.42,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2017-04-09,59.95,59.95,59.95,0.0,0.0,60.49,60.49,60.49,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.31,59.31,59.31,0.0,0.0
2017-04-16,61.21,61.21,61.21,0.0,0.0,61.91,61.91,61.91,0.0,0.0,60.9,60.9,60.9,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2017-04-23,64.14,64.14,64.14,0.0,0.0,64.58,64.58,64.58,0.0,0.0,63.83,63.83,63.83,0.0,0.0,64.58,64.58,64.58,0.0,0.0
