Date,iShares 20+ Year Treasury Bond_etf_Open_average,iShares 20+ Year Treasury Bond_etf_Open_max,iShares 20+ Year Treasury Bond_etf_Open_min,iShares 20+ Year Treasury Bond_etf_Open_volatility,iShares 20+ Year Treasury Bond_etf_Open_change,iShares 20+ Year Treasury Bond_etf_High_average,iShares 20+ Year Treasury Bond_etf_High_max,iShares 20+ Year Treasury Bond_etf_High_min,iShares 20+ Year Treasury Bond_etf_High_volatility,iShares 20+ Year Treasury Bond_etf_High_change,iShares 20+ Year Treasury Bond_etf_Low_average,iShares 20+ Year Treasury Bond_etf_Low_max,iShares 20+ Year Treasury Bond_etf_Low_min,iShares 20+ Year Treasury Bond_etf_Low_volatility,iShares 20+ Year Treasury Bond_etf_Low_change,iShares 20+ Year Treasury Bond_etf_Close_average,iShares 20+ Year Treasury Bond_etf_Close_max,iShares 20+ Year Treasury Bond_etf_Close_min,iShares 20+ Year Treasury Bond_etf_Close_volatility,iShares 20+ Year Treasury Bond_etf_Close_change
2016-01-03,122.43,122.43,122.43,0.0,0.0,123.46,123.46,123.46,0.0,0.0,122.23,122.23,122.23,0.0,0.0,123.36,123.36,123.36,0.0,0.0
2016-01-10,125.4,125.4,125.4,0.0,0.0,125.96,125.96,125.96,0.0,0.0,125.08,125.08,125.08,0.0,0.0,125.75,125.75,125.75,0.0,0.0
2016-01-17,124.91,124.91,124.91,0.0,0.0,125.53,125.53,125.53,0.0,0.0,124.52,124.52,124.52,0.0,0.0,125.34,125.34,125.34,0.0,0.0
2016-01-24,127.41,127.41,127.41,0.0,0.0,127.86,127.86,127.86,0.0,0.0,126.92,126.92,126.92,0.0,0.0,127.3,127.3,127.3,0.0,0.0
2016-01-31,127.89,127.89,127.89,0.0,0.0,129.0,129.0,129.0,0.0,0.0,127.59,127.59,127.59,0.0,0.0,128.72,128.72,128.72,0.0,0.0
2016-02-07,132.64,132.64,132.64,0.0,0.0,133.13,133.13,133.13,0.0,0.0,130.93,130.93,130.93,0.0,0.0,131.5,131.5,131.5,0.0,0.0
2016-02-14,130.94,130.94,130.94,0.0,0.0,131.82,131.82,131.82,0.0,0.0,130.73,130.73,130.73,0.0,0.0,131.01,131.01,131.01,0.0,0.0
2016-02-21,130.31,130.31,130.31,0.0,0.0,130.81,130.81,130.81,0.0,0.0,130.04,130.04,130.04,0.0,0.0,130.41,130.41,130.41,0.0,0.0
2016-02-28,128.75,128.75,128.75,0.0,0.0,129.13,129.13,129.13,0.0,0.0,127.76,127.76,127.76,0.0,0.0,128.6,128.6,128.6,0.0,0.0
2016-03-06,128.82,128.82,128.82,0.0,0.0,128.88,128.88,128.88,0.0,0.0,127.21,127.21,127.21,0.0,0.0,127.36,127.36,127.36,0.0,0.0
2016-03-13,129.04,129.04,129.04,0.0,0.0,129.51,129.51,129.51,0.0,0.0,128.7,128.7,128.7,0.0,0.0,129.06,129.06,129.06,0.0,0.0
2016-03-20,130.58,130.58,130.58,0.0,0.0,130.64,130.64,130.64,0.0,0.0,129.0,129.0,129.0,0.0,0.0,129.54,129.54,129.54,0.0,0.0
2016-03-27,130.98,130.98,130.98,0.0,0.0,131.13,131.13,131.13,0.0,0.0,129.9,129.9,129.9,0.0,0.0,130.68,130.68,130.68,0.0,0.0
2016-04-03,132.17,132.17,132.17,0.0,0.0,132.4,132.4,132.4,0.0,0.0,131.63,131.63,131.63,0.0,0.0,132.01,132.01,132.01,0.0,0.0
2016-04-10,131.29,131.29,131.29,0.0,0.0,132.16,132.16,132.16,0.0,0.0,131.25,131.25,131.25,0.0,0.0,131.88,131.88,131.88,0.0,0.0
2016-04-17,128.85,128.85,128.85,0.0,0.0,128.91,128.91,128.91,0.0,0.0,128.24,128.24,128.24,0.0,0.0,128.36,128.36,128.36,0.0,0.0
2016-04-24,128.45,128.45,128.45,0.0,0.0,129.71,129.71,129.71,0.0,0.0,128.2,128.2,128.2,0.0,0.0,129.38,129.38,129.38,0.0,0.0
2016-05-01,130.85,130.85,130.85,0.0,0.0,130.86,130.86,130.86,0.0,0.0,130.29,130.29,130.29,0.0,0.0,130.45,130.45,130.45,0.0,0.0
2016-05-08,131.48,131.48,131.48,0.0,0.0,132.32,132.32,132.32,0.0,0.0,131.23,131.23,131.23,0.0,0.0,132.28,132.28,132.28,0.0,0.0
2016-05-15,129.65,129.65,129.65,0.0,0.0,130.4,130.4,130.4,0.0,0.0,129.55,129.55,129.55,0.0,0.0,130.15,130.15,130.15,0.0,0.0
2016-05-22,130.07,130.07,130.07,0.0,0.0,130.26,130.26,130.26,0.0,0.0,129.7,129.7,129.7,0.0,0.0,129.85,129.85,129.85,0.0,0.0
2016-05-29,132.86,132.86,132.86,0.0,0.0,133.23,133.23,133.23,0.0,0.0,132.6,132.6,132.6,0.0,0.0,133.23,133.23,133.23,0.0,0.0
2016-06-05,134.79,134.79,134.79,0.0,0.0,135.33,135.33,135.33,0.0,0.0,134.26,134.26,134.26,0.0,0.0,134.78,134.78,134.78,0.0,0.0
2016-06-12,136.2,136.2,136.2,0.0,0.0,136.27,136.27,136.27,0.0,0.0,135.26,135.26,135.26,0.0,0.0,135.61,135.61,135.61,0.0,0.0
2016-06-19,136.61,136.61,136.61,0.0,0.0,136.61,136.61,136.61,0.0,0.0,135.3,135.3,135.3,0.0,0.0,135.78,135.78,135.78,0.0,0.0
2016-06-26,140.81,140.81,140.81,0.0,0.0,140.82,140.82,140.82,0.0,0.0,139.19,139.19,139.19,0.0,0.0,140.57,140.57,140.57,0.0,0.0
2016-07-03,142.92,142.92,142.92,0.0,0.0,143.62,143.62,143.62,0.0,0.0,142.36,142.36,142.36,0.0,0.0,143.6,143.6,143.6,0.0,0.0
2016-07-10,138.89,138.89,138.89,0.0,0.0,139.11,139.11,139.11,0.0,0.0,138.18,138.18,138.18,0.0,0.0,138.39,138.39,138.39,0.0,0.0
2016-07-17,137.93,137.93,137.93,0.0,0.0,139.24,139.24,139.24,0.0,0.0,137.87,137.87,137.87,0.0,0.0,138.8,138.8,138.8,0.0,0.0
2016-07-24,140.45,140.45,140.45,0.0,0.0,141.68,141.68,141.68,0.0,0.0,140.22,140.22,140.22,0.0,0.0,141.56,141.56,141.56,0.0,0.0
2016-07-31,139.05,139.05,139.05,0.0,0.0,139.18,139.18,139.18,0.0,0.0,137.82,137.82,137.82,0.0,0.0,138.0,138.0,138.0,0.0,0.0
2016-08-07,140.41,140.41,140.41,0.0,0.0,140.86,140.86,140.86,0.0,0.0,139.87,139.87,139.87,0.0,0.0,140.08,140.08,140.08,0.0,0.0
2016-08-14,138.64,138.64,138.64,0.0,0.0,139.05,139.05,139.05,0.0,0.0,138.1,138.1,138.1,0.0,0.0,138.71,138.71,138.71,0.0,0.0
2016-08-21,139.73,139.73,139.73,0.0,0.0,140.69,140.69,140.69,0.0,0.0,138.22,138.22,138.22,0.0,0.0,138.36,138.36,138.36,0.0,0.0
2016-08-28,138.96,138.96,138.96,0.0,0.0,139.05,139.05,139.05,0.0,0.0,138.17,138.17,138.17,0.0,0.0,138.63,138.63,138.63,0.0,0.0
2016-09-04,136.07,136.07,136.07,0.0,0.0,136.12,136.12,136.12,0.0,0.0,135.41,135.41,135.41,0.0,0.0,135.52,135.52,135.52,0.0,0.0
