Date,Shares JPX-Nikkei 400_etf_Open_average,Shares JPX-Nikkei 400_etf_Open_max,Shares JPX-Nikkei 400_etf_Open_min,Shares JPX-Nikkei 400_etf_Open_volatility,Shares JPX-Nikkei 400_etf_Open_change,Shares JPX-Nikkei 400_etf_High_average,Shares JPX-Nikkei 400_etf_High_max,Shares JPX-Nikkei 400_etf_High_min,Shares JPX-Nikkei 400_etf_High_volatility,Shares JPX-Nikkei 400_etf_High_change,Shares JPX-Nikkei 400_etf_Low_average,Shares JPX-Nikkei 400_etf_Low_max,Shares JPX-Nikkei 400_etf_Low_min,Shares JPX-Nikkei 400_etf_Low_volatility,Shares JPX-Nikkei 400_etf_Low_change,Shares JPX-Nikkei 400_etf_Close_average,Shares JPX-Nikkei 400_etf_Close_max,Shares JPX-Nikkei 400_etf_Close_min,Shares JPX-Nikkei 400_etf_Close_volatility,Shares JPX-Nikkei 400_etf_Close_change
2016-01-03,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2016-01-10,48.52,48.52,48.52,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2016-01-17,47.5,47.5,47.5,0.0,0.0,49.06,49.06,49.06,0.0,0.0,47.49,47.49,47.49,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2016-01-24,49.06,49.06,49.06,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2016-01-31,47.81,47.81,47.81,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2016-02-07,44.5,44.5,44.5,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2016-02-14,46.79,46.79,46.79,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2016-02-21,48.77,48.77,48.77,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2016-02-28,49.93,49.93,49.93,0.0,0.0,50.38,50.38,50.38,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2016-03-06,49.87,49.87,49.87,0.0,0.0,50.45,50.45,50.45,0.0,0.0,49.86,49.86,49.86,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2016-03-13,50.04,50.04,50.04,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2016-03-20,49.41,49.41,49.41,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2016-03-27,48.36,48.36,48.36,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2016-04-03,49.31,49.31,49.31,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2016-04-10,51.26,51.26,51.26,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.32,51.32,51.32,0.0,0.0
