Date,FORR_stock_Open_average,FORR_stock_Open_max,FORR_stock_Open_min,FORR_stock_Open_volatility,FORR_stock_Open_change,FORR_stock_High_average,FORR_stock_High_max,FORR_stock_High_min,FORR_stock_High_volatility,FORR_stock_High_change,FORR_stock_Low_average,FORR_stock_Low_max,FORR_stock_Low_min,FORR_stock_Low_volatility,FORR_stock_Low_change,FORR_stock_Close_average,FORR_stock_Close_max,FORR_stock_Close_min,FORR_stock_Close_volatility,FORR_stock_Close_change,FORR_stock_Volume_average,FORR_stock_Volume_max,FORR_stock_Volume_min,FORR_stock_Volume_volatility,FORR_stock_Volume_change
2016-01-03,28.072,28.27,27.95,0.3200000000000003,-0.25,28.54,28.74,28.19,0.5499999999999972,-0.5499999999999972,27.695999999999998,28.09,27.33,0.7600000000000016,0.23000000000000043,28.164,28.39,27.9,0.490000000000002,-0.35999999999999943,39491,58004,19983,38021,-9569
2016-01-10,27.912,28.46,27.27,1.1900000000000013,-0.46999999999999886,28.382,28.69,28.27,0.4200000000000017,-0.03999999999999915,27.418,27.76,27.11,0.6500000000000021,-0.5,27.886,28.16,27.28,0.879999999999999,-0.16999999999999815,43376,52546,34447,18099,8496
2016-01-17,27.935,28.38,27.45,0.9299999999999997,0.36999999999999744,28.4375,29.28,28.08,1.2000000000000028,1.1799999999999997,27.5125,27.86,27.05,0.8099999999999987,0.3099999999999987,28.22,29.2,27.77,1.4299999999999997,1.4299999999999997,40242,52282,33449,18833,3322
2016-01-24,29.606,30.15,29.01,1.139999999999997,1.139999999999997,30.714,32.15,29.85,2.299999999999997,1.25,29.462,30.15,28.94,1.2099999999999973,1.2099999999999973,30.052,31.97,29.07,2.8999999999999986,2.8999999999999986,65150,103915,36187,67728,6065
2016-01-31,31.07,31.68,30.33,1.3500000000000014,-1.3500000000000014,31.656,32.06,30.87,1.1900000000000013,-1.1900000000000013,30.588,31.44,30.06,1.3800000000000026,-1.3800000000000026,30.762,31.5,30.26,1.2399999999999984,-1.2399999999999984,35357,49388,22551,26837,9584
2016-02-07,31.284,32.8,29.99,2.8099999999999987,2.0100000000000016,31.7,32.8,30.73,2.0699999999999967,1.2699999999999996,30.214,31.22,29.4,1.8200000000000003,1.0200000000000031,30.88,31.76,30.23,1.5300000000000011,0.25,37800,48335,34281,14054,14054
2016-02-14,31.1675,31.6,30.95,0.6500000000000021,0.5300000000000011,31.72,32.31,31.24,1.0700000000000038,0.8100000000000023,30.872500000000002,31.6,30.35,1.25,1.25,31.395,32.09,30.89,1.2000000000000028,1.2000000000000028,42923,60157,26996,33161,26330
2016-02-21,31.55,32.17,31.19,0.9800000000000004,-0.9800000000000004,31.848333333333333,32.61,31.19,1.4199999999999982,-1.4199999999999982,31.316666666666666,31.67,31.06,0.610000000000003,-0.4800000000000004,31.45,31.73,31.18,0.5500000000000007,-0.5399999999999991,20190,38418,12573,25845,-25845
2016-02-28,31.62,32.2,30.92,1.2800000000000011,1.2800000000000011,32.02,32.45,31.64,0.8100000000000023,0.8100000000000023,31.466,32.05,30.82,1.2299999999999969,1.2299999999999969,31.842,32.3,31.12,1.1799999999999962,1.1799999999999962,40137,63909,26023,37886,-7941
2016-03-06,31.846,32.09,31.41,0.6800000000000033,-0.6800000000000033,32.11,32.28,31.82,0.46000000000000085,-0.3299999999999983,31.509999999999998,31.86,31.28,0.5799999999999983,-0.5799999999999983,31.772,32.15,31.45,0.6999999999999993,-0.6199999999999974,26833,41416,16744,24672,-14000
2016-03-13,31.856,33.0,31.34,1.6600000000000001,1.6600000000000001,32.43,33.11,31.84,1.2699999999999996,1.2699999999999996,31.416,32.23,30.91,1.3199999999999967,1.2399999999999984,32.156,32.83,31.58,1.25,0.990000000000002,42734,69515,21767,47748,37517
2016-03-20,32.6425,33.03,32.39,0.6400000000000006,-0.18999999999999773,33.1125,33.17,33.03,0.14000000000000057,-0.04999999999999716,32.3,32.47,32.15,0.3200000000000003,0.21000000000000085,32.815,33.05,32.5,0.5499999999999972,0.20999999999999375,29786,39112,24659,14453,-5992
