Date,Vanguard Intermediate-Term Corporate BondEtf_Open_average,Vanguard Intermediate-Term Corporate BondEtf_Open_max,Vanguard Intermediate-Term Corporate BondEtf_Open_min,Vanguard Intermediate-Term Corporate BondEtf_Open_volatility,Vanguard Intermediate-Term Corporate BondEtf_Open_change,Vanguard Intermediate-Term Corporate BondEtf_High_average,Vanguard Intermediate-Term Corporate BondEtf_High_max,Vanguard Intermediate-Term Corporate BondEtf_High_min,Vanguard Intermediate-Term Corporate BondEtf_High_volatility,Vanguard Intermediate-Term Corporate BondEtf_High_change,Vanguard Intermediate-Term Corporate BondEtf_Low_average,Vanguard Intermediate-Term Corporate BondEtf_Low_max,Vanguard Intermediate-Term Corporate BondEtf_Low_min,Vanguard Intermediate-Term Corporate BondEtf_Low_volatility,Vanguard Intermediate-Term Corporate BondEtf_Low_change,Vanguard Intermediate-Term Corporate BondEtf_Close_average,Vanguard Intermediate-Term Corporate BondEtf_Close_max,Vanguard Intermediate-Term Corporate BondEtf_Close_min,Vanguard Intermediate-Term Corporate BondEtf_Close_volatility,Vanguard Intermediate-Term Corporate BondEtf_Close_change
2016-01-03,84.49,84.49,84.49,0.0,0.0,84.77,84.77,84.77,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.58,84.58,84.58,0.0,0.0
2016-01-10,84.58,84.58,84.58,0.0,0.0,84.62,84.62,84.62,0.0,0.0,84.29,84.29,84.29,0.0,0.0,84.44,84.44,84.44,0.0,0.0
2016-01-17,84.15,84.15,84.15,0.0,0.0,84.15,84.15,84.15,0.0,0.0,83.9,83.9,83.9,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2016-01-24,84.42,84.42,84.42,0.0,0.0,84.56,84.56,84.56,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.49,84.49,84.49,0.0,0.0
2016-01-31,84.28,84.28,84.28,0.0,0.0,84.5,84.5,84.5,0.0,0.0,84.15,84.15,84.15,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2016-02-07,84.28,84.28,84.28,0.0,0.0,84.39,84.39,84.39,0.0,0.0,84.05,84.05,84.05,0.0,0.0,84.15,84.15,84.15,0.0,0.0
2016-02-14,84.39,84.39,84.39,0.0,0.0,84.52,84.52,84.52,0.0,0.0,84.29,84.29,84.29,0.0,0.0,84.45,84.45,84.45,0.0,0.0
2016-02-21,85.19,85.19,85.19,0.0,0.0,85.19,85.19,85.19,0.0,0.0,85.19,85.19,85.19,0.0,0.0,85.19,85.19,85.19,0.0,0.0
2016-02-28,84.81,84.81,84.81,0.0,0.0,85.05,85.05,85.05,0.0,0.0,84.68,84.68,84.68,0.0,0.0,84.98,84.98,84.98,0.0,0.0
2016-03-06,85.28,85.28,85.28,0.0,0.0,85.31,85.31,85.31,0.0,0.0,85.02,85.02,85.02,0.0,0.0,85.23,85.23,85.23,0.0,0.0
