Date,AIM_stock_Open_average,AIM_stock_Open_max,AIM_stock_Open_min,AIM_stock_Open_volatility,AIM_stock_Open_change,AIM_stock_High_average,AIM_stock_High_max,AIM_stock_High_min,AIM_stock_High_volatility,AIM_stock_High_change,AIM_stock_Low_average,AIM_stock_Low_max,AIM_stock_Low_min,AIM_stock_Low_volatility,AIM_stock_Low_change,AIM_stock_Close_average,AIM_stock_Close_max,AIM_stock_Close_min,AIM_stock_Close_volatility,AIM_stock_Close_change,AIM_stock_Volume_average,AIM_stock_Volume_max,AIM_stock_Volume_min,AIM_stock_Volume_volatility,AIM_stock_Volume_change
2016-01-03,0.95856,0.972,0.93,0.041999999999999926,0.0,1.00296,1.0524,0.96,0.09240000000000004,-0.03960000000000008,0.90696,0.93,0.8556,0.07440000000000002,-0.07319999999999993,0.9463199999999999,0.9612,0.9264,0.03480000000000005,-0.021599999999999953,4639,8442,2367,6075,1990
2016-01-10,0.86352,0.9,0.828,0.07200000000000006,-0.03839999999999999,0.90912,0.9504,0.8664,0.08400000000000007,-0.0024000000000000687,0.8025599999999999,0.8412,0.7812,0.05999999999999994,-0.0504,0.85968,0.8928,0.84,0.05280000000000007,-0.05280000000000007,10241,21961,3513,18448,1867
2016-01-17,0.918,1.02,0.852,0.16800000000000004,0.03600000000000003,1.0005,1.08,0.8844,0.1956000000000001,0.1332000000000001,0.8646,0.9,0.7932,0.1068,0.0948,0.9294,1.0176,0.84,0.1776000000000001,0.1776000000000001,7972,13151,4577,8574,913
2016-01-24,1.0848,1.2,0.972,0.22799999999999998,0.08399999999999985,1.19472,1.2,1.1856,0.014399999999999968,-0.01200000000000001,1.0272000000000001,1.08,0.9612,0.11880000000000002,0.07079999999999997,1.1136,1.1976,1.0236,0.17399999999999993,0.056400000000000006,8173,16078,4768,11310,2205
2016-01-31,1.30656,1.68,1.1340000000000001,0.5459999999999998,0.5459999999999998,1.42224,1.776,1.1724,0.6035999999999999,0.5075999999999998,1.20888,1.44,1.0824,0.3575999999999999,0.3575999999999999,1.3348799999999998,1.68,1.1256,0.5544,0.38639999999999985,9660,22123,1204,20919,8584
2016-02-07,1.37112,1.464,1.32,0.1439999999999999,-0.08400000000000007,1.47288,1.5228,1.4376,0.08519999999999994,0.05879999999999996,1.3248,1.38,1.26,0.11999999999999988,0.11999999999999988,1.37496,1.446,1.284,0.16199999999999992,0.16199999999999992,5476,6873,2427,4446,-1656
2016-02-14,1.5714000000000001,1.704,1.4436,0.26039999999999996,0.26039999999999996,1.6287,1.8,1.5108,0.2892000000000001,0.2892000000000001,1.5279,1.6692,1.3824,0.28679999999999994,0.28679999999999994,1.596,1.764,1.5,0.264,0.264,7766,14429,2825,11604,11604
2016-02-21,2.05464,2.4,1.7532,0.6467999999999998,-0.16679999999999984,2.23872,2.4,2.0376,0.36240000000000006,-0.0264000000000002,1.91832,2.046,1.7424,0.30359999999999987,-0.11760000000000015,2.0428800000000003,2.2332,1.8,0.43320000000000003,-0.24,22518,30418,17218,13200,6140
2016-02-28,1.866,2.004,1.77,0.23399999999999999,0.09000000000000008,1.9452,2.0256,1.8024,0.22319999999999984,0.2016,1.77576,1.8696,1.68,0.1896,0.1200000000000001,1.83072,1.9080000000000001,1.68,0.2280000000000002,0.1200000000000001,6570,11086,5102,5984,-5859
2016-03-06,1.8984,1.956,1.86,0.09599999999999986,0.03600000000000003,1.98816,2.1132,1.9188,0.1943999999999999,0.10320000000000018,1.82856,1.8612,1.8,0.06119999999999992,-0.0011999999999998678,1.88184,1.956,1.818,0.1379999999999999,0.1379999999999999,5452,9254,3217,6037,5351
2016-03-13,1.81704,1.92,1.5612,0.3588,-0.3588,1.848,1.956,1.6044,0.3515999999999999,-0.35040000000000004,1.73736,1.8696,1.5588,0.31079999999999997,-0.3036000000000001,1.79256,1.944,1.5612,0.38280000000000003,-0.34560000000000013,5163,12021,1556,10465,6208
2016-03-20,1.6724999999999999,1.8,1.5876,0.21240000000000014,0.03600000000000003,1.7616,1.8216,1.6644,0.1572,-0.1319999999999999,1.5849,1.6524,1.5419999999999998,0.11040000000000028,-0.045600000000000085,1.659,1.74,1.5419999999999998,0.19800000000000018,-0.19800000000000018,4241,7377,2905,4472,821
