Date,GLRE_stock_Open_average,GLRE_stock_Open_max,GLRE_stock_Open_min,GLRE_stock_Open_volatility,GLRE_stock_Open_change,GLRE_stock_High_average,GLRE_stock_High_max,GLRE_stock_High_min,GLRE_stock_High_volatility,GLRE_stock_High_change,GLRE_stock_Low_average,GLRE_stock_Low_max,GLRE_stock_Low_min,GLRE_stock_Low_volatility,GLRE_stock_Low_change,GLRE_stock_Close_average,GLRE_stock_Close_max,GLRE_stock_Close_min,GLRE_stock_Close_volatility,GLRE_stock_Close_change,GLRE_stock_Volume_average,GLRE_stock_Volume_max,GLRE_stock_Volume_min,GLRE_stock_Volume_volatility,GLRE_stock_Volume_change
2016-01-03,18.524,19.0,18.36,0.6400000000000006,0.08999999999999986,18.87,19.22,18.65,0.5700000000000003,-0.4400000000000013,18.355999999999998,18.56,18.25,0.3099999999999987,0.0,18.622,19.1,18.38,0.7200000000000024,-0.7200000000000024,271943,371267,202224,169043,-169043
2016-01-10,17.622,18.41,16.75,1.6600000000000001,-1.6600000000000001,17.856,18.49,17.14,1.3499999999999979,-1.3499999999999979,17.082,17.66,16.6,1.0599999999999987,-1.0599999999999987,17.39,17.95,17.04,0.9100000000000001,-0.9100000000000001,301727,333683,241493,92190,34476
2016-01-17,17.2575,17.9,16.9,1.0,0.7199999999999989,17.6625,18.34,17.14,1.1999999999999993,0.9499999999999993,16.845,17.83,16.05,1.7799999999999976,1.1499999999999986,17.435,18.31,16.81,1.5,1.5,427408,733704,296165,437539,43990
2016-01-24,18.32,18.5,18.02,0.4800000000000004,0.10000000000000142,18.712,19.45,18.35,1.0999999999999979,1.0999999999999979,18.122,18.37,17.9,0.4700000000000024,0.4700000000000024,18.508,19.42,17.9,1.5200000000000031,1.5200000000000031,289733,434170,184285,249885,162827
2016-01-31,19.302,19.47,19.18,0.28999999999999915,0.14999999999999858,19.631999999999998,20.0,19.31,0.6900000000000013,0.0799999999999983,18.977999999999998,19.33,18.74,0.5899999999999999,0.5399999999999991,19.41,19.6,19.29,0.3100000000000023,0.26000000000000156,256597,330070,160189,169881,-46824
2016-02-07,19.262,19.59,18.9,0.6900000000000013,0.16000000000000014,19.646,19.87,19.53,0.33999999999999986,0.17999999999999972,19.048,19.34,18.89,0.4499999999999993,0.370000000000001,19.348,19.7,19.07,0.629999999999999,0.629999999999999,231039,345005,164339,180666,-180666
2016-02-14,19.87,19.92,19.83,0.09000000000000341,-0.010000000000001563,20.002499999999998,20.07,19.95,0.120000000000001,0.120000000000001,19.625,19.66,19.6,0.05999999999999872,0.05999999999999872,19.9,20.01,19.74,0.2700000000000031,0.2700000000000031,164630,201766,132186,69580,47695
2016-02-21,20.352,21.29,19.91,1.379999999999999,1.1999999999999993,20.646,21.35,20.24,1.110000000000003,1.110000000000003,19.978,20.73,19.6,1.129999999999999,0.9499999999999993,20.49,21.11,20.04,1.0700000000000003,0.9699999999999989,221709,314888,152582,162306,-26724
2016-02-28,21.458000000000002,21.65,21.07,0.5799999999999983,0.46000000000000085,21.77,22.05,21.47,0.5800000000000018,0.33999999999999986,21.282,21.43,21.07,0.35999999999999943,0.35999999999999943,21.544,21.7,21.4,0.3000000000000007,0.23000000000000043,173562,258173,116508,141665,-141665
2016-03-06,21.792,22.0,21.66,0.33999999999999986,0.060000000000002274,22.044,22.13,21.93,0.1999999999999993,0.120000000000001,21.536,21.75,21.41,0.33999999999999986,0.33999999999999986,21.774,21.86,21.54,0.3200000000000003,-0.019999999999999574,154387,223536,76634,146902,90678
