Date,Vanguard Total Bond MarketEtf_Open_average,Vanguard Total Bond MarketEtf_Open_max,Vanguard Total Bond MarketEtf_Open_min,Vanguard Total Bond MarketEtf_Open_volatility,Vanguard Total Bond MarketEtf_Open_change,Vanguard Total Bond MarketEtf_High_average,Vanguard Total Bond MarketEtf_High_max,Vanguard Total Bond MarketEtf_High_min,Vanguard Total Bond MarketEtf_High_volatility,Vanguard Total Bond MarketEtf_High_change,Vanguard Total Bond MarketEtf_Low_average,Vanguard Total Bond MarketEtf_Low_max,Vanguard Total Bond MarketEtf_Low_min,Vanguard Total Bond MarketEtf_Low_volatility,Vanguard Total Bond MarketEtf_Low_change,Vanguard Total Bond MarketEtf_Close_average,Vanguard Total Bond MarketEtf_Close_max,Vanguard Total Bond MarketEtf_Close_min,Vanguard Total Bond MarketEtf_Close_volatility,Vanguard Total Bond MarketEtf_Close_change
2016-01-03,81.14,81.14,81.14,0.0,0.0,81.32,81.32,81.32,0.0,0.0,81.1,81.1,81.1,0.0,0.0,81.29,81.29,81.29,0.0,0.0
2016-01-10,81.5,81.5,81.5,0.0,0.0,81.52,81.52,81.52,0.0,0.0,81.36,81.36,81.36,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2016-01-17,81.32,81.32,81.32,0.0,0.0,81.33,81.33,81.33,0.0,0.0,81.2,81.2,81.2,0.0,0.0,81.31,81.31,81.31,0.0,0.0
2016-01-24,81.76,81.76,81.76,0.0,0.0,81.8,81.8,81.8,0.0,0.0,81.65,81.65,81.65,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2016-01-31,81.7,81.7,81.7,0.0,0.0,81.8,81.8,81.8,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2016-02-07,82.16,82.16,82.16,0.0,0.0,82.2,82.2,82.2,0.0,0.0,81.89,81.89,81.89,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2016-02-14,82.06,82.06,82.06,0.0,0.0,82.15,82.15,82.15,0.0,0.0,82.0,82.0,82.0,0.0,0.0,82.03,82.03,82.03,0.0,0.0
2016-02-21,82.12,82.12,82.12,0.0,0.0,82.21,82.21,82.21,0.0,0.0,82.03,82.03,82.03,0.0,0.0,82.2,82.2,82.2,0.0,0.0
2016-02-28,81.85,81.85,81.85,0.0,0.0,81.87,81.87,81.87,0.0,0.0,81.65,81.65,81.65,0.0,0.0,81.76,81.76,81.76,0.0,0.0
2016-03-06,81.9,81.9,81.9,0.0,0.0,81.9,81.9,81.9,0.0,0.0,81.72,81.72,81.72,0.0,0.0,81.72,81.72,81.72,0.0,0.0
2016-03-13,82.39,82.39,82.39,0.0,0.0,82.46,82.46,82.46,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2016-03-20,82.52,82.52,82.52,0.0,0.0,82.52,82.52,82.52,0.0,0.0,82.21,82.21,82.21,0.0,0.0,82.3,82.3,82.3,0.0,0.0
2016-03-27,82.65,82.65,82.65,0.0,0.0,82.79,82.79,82.79,0.0,0.0,82.53,82.53,82.53,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2016-04-03,83.06,83.06,83.06,0.0,0.0,83.07,83.07,83.07,0.0,0.0,82.97,82.97,82.97,0.0,0.0,83.04,83.04,83.04,0.0,0.0
2016-04-10,82.99,82.99,82.99,0.0,0.0,83.14,83.14,83.14,0.0,0.0,82.96,82.96,82.96,0.0,0.0,83.07,83.07,83.07,0.0,0.0
2016-04-17,82.82,82.82,82.82,0.0,0.0,82.88,82.88,82.88,0.0,0.0,82.71,82.71,82.71,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2016-04-24,82.87,82.87,82.87,0.0,0.0,82.98,82.98,82.98,0.0,0.0,82.82,82.82,82.82,0.0,0.0,82.97,82.97,82.97,0.0,0.0
2016-05-01,83.07,83.07,83.07,0.0,0.0,83.1,83.1,83.1,0.0,0.0,82.97,82.97,82.97,0.0,0.0,83.03,83.03,83.03,0.0,0.0
2016-05-08,83.16,83.16,83.16,0.0,0.0,83.24,83.24,83.24,0.0,0.0,83.08,83.08,83.08,0.0,0.0,83.21,83.21,83.21,0.0,0.0
2016-05-15,82.66,82.66,82.66,0.0,0.0,82.77,82.77,82.77,0.0,0.0,82.62,82.62,82.62,0.0,0.0,82.67,82.67,82.67,0.0,0.0
2016-05-22,82.8,82.8,82.8,0.0,0.0,82.81,82.81,82.81,0.0,0.0,82.65,82.65,82.65,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2016-05-29,83.22,83.22,83.22,0.0,0.0,83.37,83.37,83.37,0.0,0.0,83.17,83.17,83.17,0.0,0.0,83.34,83.34,83.34,0.0,0.0
2016-06-05,83.49,83.49,83.49,0.0,0.0,83.58,83.58,83.58,0.0,0.0,83.43,83.43,83.43,0.0,0.0,83.48,83.48,83.48,0.0,0.0
2016-06-12,83.71,83.71,83.71,0.0,0.0,83.74,83.74,83.74,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.65,83.65,83.65,0.0,0.0
2016-06-19,83.84,83.84,83.84,0.0,0.0,83.92,83.92,83.92,0.0,0.0,83.67,83.67,83.67,0.0,0.0,83.69,83.69,83.69,0.0,0.0
2016-06-26,84.44,84.44,84.44,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.24,84.24,84.24,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2016-07-03,84.8,84.8,84.8,0.0,0.0,84.92,84.92,84.92,0.0,0.0,84.68,84.68,84.68,0.0,0.0,84.89,84.89,84.89,0.0,0.0
2016-07-10,84.26,84.26,84.26,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.0,84.0,84.0,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2016-07-17,84.14,84.14,84.14,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.09,84.09,84.09,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2016-07-24,84.49,84.49,84.49,0.0,0.0,84.64,84.64,84.64,0.0,0.0,84.44,84.44,84.44,0.0,0.0,84.64,84.64,84.64,0.0,0.0
2016-07-31,84.25,84.25,84.25,0.0,0.0,84.25,84.25,84.25,0.0,0.0,83.98,83.98,83.98,0.0,0.0,84.0,84.0,84.0,0.0,0.0
2016-08-07,84.41,84.41,84.41,0.0,0.0,84.47,84.47,84.47,0.0,0.0,84.31,84.31,84.31,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2016-08-14,84.22,84.22,84.22,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.08,84.08,84.08,0.0,0.0,84.2,84.2,84.2,0.0,0.0
2016-08-21,84.38,84.38,84.38,0.0,0.0,84.49,84.49,84.49,0.0,0.0,84.05,84.05,84.05,0.0,0.0,84.05,84.05,84.05,0.0,0.0
2016-08-28,84.13,84.13,84.13,0.0,0.0,84.13,84.13,84.13,0.0,0.0,83.94,83.94,83.94,0.0,0.0,84.04,84.04,84.04,0.0,0.0
2016-09-04,83.71,83.71,83.71,0.0,0.0,83.81,83.81,83.81,0.0,0.0,83.57,83.57,83.57,0.0,0.0,83.61,83.61,83.61,0.0,0.0
2016-09-11,83.65,83.65,83.65,0.0,0.0,83.69,83.69,83.69,0.0,0.0,83.55,83.55,83.55,0.0,0.0,83.65,83.65,83.65,0.0,0.0
2016-09-18,84.03,84.03,84.03,0.0,0.0,84.08,84.08,84.08,0.0,0.0,83.98,83.98,83.98,0.0,0.0,84.0,84.0,84.0,0.0,0.0
2016-09-25,84.25,84.25,84.25,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.02,84.02,84.02,0.0,0.0,84.14,84.14,84.14,0.0,0.0
2016-10-02,83.52,83.52,83.52,0.0,0.0,83.53,83.53,83.53,0.0,0.0,83.31,83.31,83.31,0.0,0.0,83.51,83.51,83.51,0.0,0.0
2016-10-09,83.34,83.34,83.34,0.0,0.0,83.46,83.46,83.46,0.0,0.0,83.26,83.26,83.26,0.0,0.0,83.27,83.27,83.27,0.0,0.0
