Date,ProShares UltraPro S&P500_etf_Open_average,ProShares UltraPro S&P500_etf_Open_max,ProShares UltraPro S&P500_etf_Open_min,ProShares UltraPro S&P500_etf_Open_volatility,ProShares UltraPro S&P500_etf_Open_change,ProShares UltraPro S&P500_etf_High_average,ProShares UltraPro S&P500_etf_High_max,ProShares UltraPro S&P500_etf_High_min,ProShares UltraPro S&P500_etf_High_volatility,ProShares UltraPro S&P500_etf_High_change,ProShares UltraPro S&P500_etf_Low_average,ProShares UltraPro S&P500_etf_Low_max,ProShares UltraPro S&P500_etf_Low_min,ProShares UltraPro S&P500_etf_Low_volatility,ProShares UltraPro S&P500_etf_Low_change,ProShares UltraPro S&P500_etf_Close_average,ProShares UltraPro S&P500_etf_Close_max,ProShares UltraPro S&P500_etf_Close_min,ProShares UltraPro S&P500_etf_Close_volatility,ProShares UltraPro S&P500_etf_Close_change
2016-01-03,18.27,18.27,18.27,0.0,0.0,18.42,18.42,18.42,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2016-01-10,15.9,15.9,15.9,0.0,0.0,16.42,16.42,16.42,0.0,0.0,15.55,15.55,15.55,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2016-01-17,16.64,16.64,16.64,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.84,16.84,16.84,0.0,0.0
2016-01-24,16.67,16.67,16.67,0.0,0.0,17.66,17.66,17.66,0.0,0.0,16.63,16.63,16.63,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2016-01-31,16.85,16.85,16.85,0.0,0.0,16.89,16.89,16.89,0.0,0.0,15.86,15.86,15.86,0.0,0.0,16.05,16.05,16.05,0.0,0.0
2016-02-07,15.26,15.26,15.26,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2016-02-14,16.83,16.83,16.83,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.63,16.63,16.63,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2016-02-21,18.26,18.26,18.26,0.0,0.0,18.28,18.28,18.28,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2016-02-28,19.2,19.2,19.2,0.0,0.0,19.57,19.57,19.57,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2016-03-06,19.52,19.52,19.52,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.96,19.96,19.96,0.0,0.0
2016-03-13,20.67,20.67,20.67,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2016-03-20,20.01,20.01,20.01,0.0,0.0,20.37,20.37,20.37,0.0,0.0,19.95,19.95,19.95,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2016-03-27,20.71,20.71,20.71,0.0,0.0,21.57,21.57,21.57,0.0,0.0,20.61,20.61,20.61,0.0,0.0,21.49,21.49,21.49,0.0,0.0
2016-04-03,20.98,20.98,20.98,0.0,0.0,21.14,21.14,21.14,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2016-04-10,21.8,21.8,21.8,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.71,21.71,21.71,0.0,0.0
2016-04-17,21.96,21.96,21.96,0.0,0.0,22.19,22.19,22.19,0.0,0.0,21.75,21.75,21.75,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2016-04-24,21.37,21.37,21.37,0.0,0.0,21.5,21.5,21.5,0.0,0.0,20.85,20.85,20.85,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2016-05-01,20.54,20.54,20.54,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.48,20.48,20.48,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2016-05-08,21.17,21.17,21.17,0.0,0.0,21.36,21.36,21.36,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2016-05-15,20.76,20.76,20.76,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2016-05-22,22.16,22.16,22.16,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2016-05-29,22.37,22.37,22.37,0.0,0.0,22.52,22.52,22.52,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2016-06-05,22.42,22.42,22.42,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2016-06-12,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2016-06-19,20.47,20.47,20.47,0.0,0.0,21.56,21.56,21.56,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2016-06-26,22.17,22.17,22.17,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.34,22.34,22.34,0.0,0.0
2016-07-03,22.7,22.7,22.7,0.0,0.0,23.3,23.3,23.3,0.0,0.0,22.62,22.62,22.62,0.0,0.0,23.19,23.19,23.19,0.0,0.0
