Date,IQ Hedge Market Neutral TrackerEtf_Open_average,IQ Hedge Market Neutral TrackerEtf_Open_max,IQ Hedge Market Neutral TrackerEtf_Open_min,IQ Hedge Market Neutral TrackerEtf_Open_volatility,IQ Hedge Market Neutral TrackerEtf_Open_change,IQ Hedge Market Neutral TrackerEtf_High_average,IQ Hedge Market Neutral TrackerEtf_High_max,IQ Hedge Market Neutral TrackerEtf_High_min,IQ Hedge Market Neutral TrackerEtf_High_volatility,IQ Hedge Market Neutral TrackerEtf_High_change,IQ Hedge Market Neutral TrackerEtf_Low_average,IQ Hedge Market Neutral TrackerEtf_Low_max,IQ Hedge Market Neutral TrackerEtf_Low_min,IQ Hedge Market Neutral TrackerEtf_Low_volatility,IQ Hedge Market Neutral TrackerEtf_Low_change,IQ Hedge Market Neutral TrackerEtf_Close_average,IQ Hedge Market Neutral TrackerEtf_Close_max,IQ Hedge Market Neutral TrackerEtf_Close_min,IQ Hedge Market Neutral TrackerEtf_Close_volatility,IQ Hedge Market Neutral TrackerEtf_Close_change
2016-01-03,24.94,24.94,24.94,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2016-01-10,24.97,24.97,24.97,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2016-01-17,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2016-01-24,25.05,25.05,25.05,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-01-31,24.98,24.98,24.98,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2016-02-07,24.95,24.95,24.95,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2016-02-14,24.92,24.92,24.92,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2016-02-21,25.04,25.04,25.04,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-02-28,25.02,25.02,25.02,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2016-03-06,25.08,25.08,25.08,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-03-13,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2016-03-20,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0
