Date,SBACStock_Open_average,SBACStock_Open_max,SBACStock_Open_min,SBACStock_Open_volatility,SBACStock_Open_change,SBACStock_High_average,SBACStock_High_max,SBACStock_High_min,SBACStock_High_volatility,SBACStock_High_change,SBACStock_Low_average,SBACStock_Low_max,SBACStock_Low_min,SBACStock_Low_volatility,SBACStock_Low_change,SBACStock_Close_average,SBACStock_Close_max,SBACStock_Close_min,SBACStock_Close_volatility,SBACStock_Close_change,SBACStock_Volume_average,SBACStock_Volume_max,SBACStock_Volume_min,SBACStock_Volume_volatility,SBACStock_Volume_change
2016-01-03,104.816,106.04,102.99,3.0500000000000114,-1.6300000000000097,105.996,107.44,104.61,2.8299999999999983,-1.1700000000000017,103.156,105.44,100.53,4.909999999999997,-2.9099999999999966,104.662,107.15,101.64,5.510000000000005,-4.1200000000000045,866435,1191231,504018,687213,-186248
2016-01-10,100.80799999999999,104.54,96.96,7.5800000000000125,-6.1000000000000085,102.032,104.88,98.37,6.509999999999991,-6.039999999999992,97.012,101.63,89.5,12.129999999999995,-12.129999999999995,98.772,103.87,91.96,11.91000000000001,-11.91000000000001,1569991,3163752,832465,2331287,2331287
2016-01-17,90.1375,93.42,88.9,4.519999999999996,-4.519999999999996,92.1925,94.56,89.55,5.010000000000005,-0.21999999999999886,87.2825,90.27,84.19,6.079999999999998,-1.3699999999999903,90.2225,94.02,87.49,6.530000000000001,3.200000000000003,2718763,2898094,2436817,461277,-172485
2016-01-24,95.618,96.42,93.85,2.5700000000000074,1.9300000000000068,97.75999999999999,99.57,96.33,3.239999999999995,3.019999999999996,94.4,95.77,92.69,3.0799999999999983,2.700000000000003,96.07,99.28,93.71,5.570000000000007,5.570000000000007,1609882,2158953,1061336,1097617,-561605
2016-01-31,96.908,98.58,96.0,2.5799999999999983,-2.289999999999992,97.336,98.7,96.29,2.4099999999999966,-2.4099999999999966,94.292,96.54,91.86,4.680000000000007,-4.680000000000007,95.926,98.14,93.4,4.739999999999995,-4.739999999999995,1628118,2097165,1023731,1073434,49005
2016-02-07,86.78,91.87,84.51,7.359999999999999,-6.0,88.382,91.9,86.2,5.700000000000003,-2.2900000000000063,84.182,85.14,82.8,2.3400000000000034,0.8599999999999994,86.536,88.79,84.96,3.8300000000000125,1.940000000000012,2308805,3507142,1415565,2091577,-2091577
2016-02-14,91.0,91.64,90.1,1.5400000000000063,0.6500000000000057,91.9825,92.8,90.75,2.049999999999997,-2.049999999999997,89.97,90.87,88.95,1.9200000000000017,-0.6199999999999903,90.85,91.66,89.64,2.019999999999996,-0.8900000000000006,1099497,1247821,948782,299039,139324
2016-02-21,93.325,96.36,90.97,5.390000000000001,3.6400000000000006,95.19,97.49,93.36,4.1299999999999955,0.4899999999999949,92.065,94.95,89.11,5.840000000000003,3.9399999999999977,94.55333333333333,96.6,92.76,3.839999999999989,1.5600000000000023,1821059,2953691,1080814,1872877,1306466
2016-02-28,95.37599999999999,96.47,94.0,2.469999999999999,0.9599999999999937,97.248,97.63,96.81,0.8199999999999932,0.269999999999996,94.37,95.39,93.01,2.3799999999999955,1.2099999999999937,96.124,96.82,94.89,1.9299999999999926,1.6899999999999977,1410823,1636077,1067931,568146,-149633
2016-03-06,94.12,96.12,92.22,3.9000000000000057,-2.5900000000000034,95.166,96.54,93.26,3.280000000000001,-1.8700000000000045,92.386,94.01,91.06,2.950000000000003,-1.7199999999999989,93.634,96.46,91.76,4.699999999999989,-1.9099999999999966,1456160,2141309,1134447,1006862,-294543
