Date,CETV_stock_Open_average,CETV_stock_Open_max,CETV_stock_Open_min,CETV_stock_Open_volatility,CETV_stock_Open_change,CETV_stock_High_average,CETV_stock_High_max,CETV_stock_High_min,CETV_stock_High_volatility,CETV_stock_High_change,CETV_stock_Low_average,CETV_stock_Low_max,CETV_stock_Low_min,CETV_stock_Low_volatility,CETV_stock_Low_change,CETV_stock_Close_average,CETV_stock_Close_max,CETV_stock_Close_min,CETV_stock_Close_volatility,CETV_stock_Close_change,CETV_stock_Volume_average,CETV_stock_Volume_max,CETV_stock_Volume_min,CETV_stock_Volume_volatility,CETV_stock_Volume_change
2016-01-03,2.568,2.63,2.51,0.1200000000000001,-0.08999999999999986,2.642,2.68,2.59,0.0900000000000003,0.020000000000000018,2.512,2.54,2.49,0.04999999999999982,-0.04999999999999982,2.57,2.61,2.49,0.11999999999999966,-0.10999999999999988,151575,252374,85044,167330,-28970
2016-01-10,2.552,2.63,2.48,0.1499999999999999,-0.029999999999999805,2.62,2.71,2.51,0.20000000000000018,-0.10000000000000009,2.452,2.57,2.32,0.25,-0.16000000000000014,2.528,2.62,2.38,0.2400000000000002,-0.20999999999999996,130310,158210,100819,57391,-17049
2016-01-17,2.3325,2.43,2.27,0.16000000000000014,-0.1200000000000001,2.4050000000000002,2.48,2.35,0.1299999999999999,-0.06000000000000005,2.2475,2.31,2.17,0.14000000000000012,0.040000000000000036,2.3375,2.41,2.29,0.1200000000000001,0.0900000000000003,142523,165490,118594,46896,39735
2016-01-24,2.384,2.42,2.35,0.06999999999999984,-0.009999999999999787,2.4739999999999998,2.59,2.42,0.16999999999999993,0.1299999999999999,2.318,2.37,2.29,0.08000000000000007,0.06000000000000005,2.404,2.58,2.31,0.27,0.27,143642,204653,121454,83199,77011
2016-01-31,2.514,2.56,2.46,0.10000000000000009,-0.040000000000000036,2.566,2.62,2.53,0.0900000000000003,-0.0900000000000003,2.424,2.45,2.37,0.08000000000000007,-0.08000000000000007,2.468,2.57,2.37,0.19999999999999973,-0.19999999999999973,122045,187827,48376,139451,73356
2016-02-07,2.292,2.37,2.22,0.1499999999999999,-0.1200000000000001,2.356,2.42,2.3,0.1200000000000001,-0.10999999999999988,2.224,2.29,2.2,0.08999999999999986,-0.08000000000000007,2.292,2.4,2.24,0.1599999999999997,-0.10000000000000009,103152,181058,54833,126225,40513
2016-02-14,2.3075,2.37,2.2,0.16999999999999993,-0.13999999999999968,2.3625,2.4,2.29,0.10999999999999988,-0.08999999999999986,2.23,2.27,2.19,0.08000000000000007,-0.050000000000000266,2.3075,2.38,2.27,0.10999999999999988,-0.040000000000000036,165652,199084,129628,69456,69456
2016-02-21,2.4366666666666665,2.52,2.29,0.22999999999999998,0.06999999999999984,2.515,2.6,2.41,0.18999999999999995,-0.08000000000000007,2.3666666666666667,2.51,2.25,0.2599999999999998,0.08999999999999986,2.45,2.51,2.31,0.19999999999999973,0.05999999999999961,193237,310961,74637,236324,-10663
2016-02-28,2.48,2.51,2.44,0.06999999999999984,-0.020000000000000018,2.524,2.55,2.49,0.05999999999999961,0.04999999999999982,2.43,2.47,2.4,0.07000000000000028,0.07000000000000028,2.482,2.52,2.46,0.06000000000000005,0.06000000000000005,142749,236658,91832,144826,-134932
2016-03-06,2.408,2.51,2.3,0.20999999999999996,-0.11999999999999966,2.446,2.53,2.39,0.13999999999999968,-0.13999999999999968,2.294,2.4,2.17,0.22999999999999998,-0.1299999999999999,2.356,2.46,2.29,0.16999999999999993,-0.10000000000000009,183930,255319,91010,164309,28743
2016-03-13,2.418,2.56,2.29,0.27,0.18999999999999995,2.51,2.59,2.43,0.1599999999999997,0.1299999999999999,2.38,2.48,2.29,0.18999999999999995,0.10000000000000009,2.462,2.56,2.32,0.2400000000000002,0.1299999999999999,213432,410696,120905,289791,241930
2016-03-20,2.4625,2.55,2.42,0.1299999999999999,-0.11999999999999966,2.525,2.58,2.48,0.10000000000000009,0.03000000000000025,2.42,2.45,2.4,0.050000000000000266,-0.03000000000000025,2.4725,2.55,2.42,0.1299999999999999,0.07999999999999963,91410,112772,44476,68296,16801
2016-03-27,2.55,2.63,2.5,0.1299999999999999,-0.009999999999999787,2.622,2.67,2.57,0.10000000000000009,-0.03000000000000025,2.5,2.53,2.48,0.04999999999999982,-0.029999999999999805,2.554,2.6,2.52,0.08000000000000007,0.020000000000000018,113263,167472,60009,107463,-98561
