Date,Principal EDGE Active IncomeEtf_Open_average,Principal EDGE Active IncomeEtf_Open_max,Principal EDGE Active IncomeEtf_Open_min,Principal EDGE Active IncomeEtf_Open_volatility,Principal EDGE Active IncomeEtf_Open_change,Principal EDGE Active IncomeEtf_High_average,Principal EDGE Active IncomeEtf_High_max,Principal EDGE Active IncomeEtf_High_min,Principal EDGE Active IncomeEtf_High_volatility,Principal EDGE Active IncomeEtf_High_change,Principal EDGE Active IncomeEtf_Low_average,Principal EDGE Active IncomeEtf_Low_max,Principal EDGE Active IncomeEtf_Low_min,Principal EDGE Active IncomeEtf_Low_volatility,Principal EDGE Active IncomeEtf_Low_change,Principal EDGE Active IncomeEtf_Close_average,Principal EDGE Active IncomeEtf_Close_max,Principal EDGE Active IncomeEtf_Close_min,Principal EDGE Active IncomeEtf_Close_volatility,Principal EDGE Active IncomeEtf_Close_change
2016-01-03,35.84,35.84,35.84,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2016-01-10,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-01-17,34.68,34.68,34.68,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2016-01-24,35.46,35.46,35.46,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2016-01-31,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2016-02-07,33.68,33.68,33.68,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2016-02-14,34.67,34.67,34.67,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2016-02-21,35.28,35.28,35.28,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2016-02-28,36.3,36.3,36.3,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2016-03-06,36.34,36.34,36.34,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.48,36.48,36.48,0.0,0.0
