Date,ProShares Ultra YenEtf_Open_average,ProShares Ultra YenEtf_Open_max,ProShares Ultra YenEtf_Open_min,ProShares Ultra YenEtf_Open_volatility,ProShares Ultra YenEtf_Open_change,ProShares Ultra YenEtf_High_average,ProShares Ultra YenEtf_High_max,ProShares Ultra YenEtf_High_min,ProShares Ultra YenEtf_High_volatility,ProShares Ultra YenEtf_High_change,ProShares Ultra YenEtf_Low_average,ProShares Ultra YenEtf_Low_max,ProShares Ultra YenEtf_Low_min,ProShares Ultra YenEtf_Low_volatility,ProShares Ultra YenEtf_Low_change,ProShares Ultra YenEtf_Close_average,ProShares Ultra YenEtf_Close_max,ProShares Ultra YenEtf_Close_min,ProShares Ultra YenEtf_Close_volatility,ProShares Ultra YenEtf_Close_change
2016-01-03,56.72,56.72,56.72,0.0,0.0,57.26,57.26,57.26,0.0,0.0,56.62,56.62,56.62,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2016-01-10,57.67,57.67,57.67,0.0,0.0,58.01,58.01,58.01,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2016-01-17,56.36,56.36,56.36,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2016-01-24,53.61,53.61,53.61,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2016-01-31,57.47,57.47,57.47,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2016-02-07,61.79,61.79,61.79,0.0,0.0,61.92,61.92,61.92,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2016-02-14,61.8,61.8,61.8,0.0,0.0,62.35,62.35,62.35,0.0,0.0,61.8,61.8,61.8,0.0,0.0,62.15,62.15,62.15,0.0,0.0
2016-02-21,61.18,61.18,61.18,0.0,0.0,61.21,61.21,61.21,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.56,60.56,60.56,0.0,0.0
2016-02-28,61.35,61.35,61.35,0.0,0.0,61.35,61.35,61.35,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2016-03-06,60.91,60.91,60.91,0.0,0.0,61.17,61.17,61.17,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2016-03-13,63.28,63.28,63.28,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.25,63.25,63.25,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2016-03-20,61.86,61.86,61.86,0.0,0.0,61.86,61.86,61.86,0.0,0.0,61.86,61.86,61.86,0.0,0.0,61.86,61.86,61.86,0.0,0.0
2016-03-27,62.08,62.08,62.08,0.0,0.0,62.08,62.08,62.08,0.0,0.0,61.98,61.98,61.98,0.0,0.0,61.98,61.98,61.98,0.0,0.0
2016-04-03,66.38,66.38,66.38,0.0,0.0,67.05,67.05,67.05,0.0,0.0,66.38,66.38,66.38,0.0,0.0,67.05,67.05,67.05,0.0,0.0
2016-04-10,66.01,66.01,66.01,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.01,66.01,66.01,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2016-04-17,63.23,63.23,63.23,0.0,0.0,63.23,63.23,63.23,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2016-04-24,67.97,67.97,67.97,0.0,0.0,68.59,68.59,68.59,0.0,0.0,67.75,67.75,67.75,0.0,0.0,68.59,68.59,68.59,0.0,0.0
2016-05-01,68.62,68.62,68.62,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.3,68.3,68.3,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2016-05-08,65.5,65.5,65.5,0.0,0.0,65.58,65.58,65.58,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.58,65.58,65.58,0.0,0.0
2016-05-15,64.49,64.49,64.49,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2016-05-22,64.49,64.49,64.49,0.0,0.0,64.49,64.49,64.49,0.0,0.0,63.85,63.85,63.85,0.0,0.0,63.85,63.85,63.85,0.0,0.0
2016-05-29,67.5,67.5,67.5,0.0,0.0,68.57,68.57,68.57,0.0,0.0,67.5,67.5,67.5,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2016-06-05,68.42,68.42,68.42,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2016-06-12,71.36,71.36,71.36,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.36,71.36,71.36,0.0,0.0,71.36,71.36,71.36,0.0,0.0
