Date,SPDR S&P Oil & Gas Equipment & Services_etf_Open_average,SPDR S&P Oil & Gas Equipment & Services_etf_Open_max,SPDR S&P Oil & Gas Equipment & Services_etf_Open_min,SPDR S&P Oil & Gas Equipment & Services_etf_Open_volatility,SPDR S&P Oil & Gas Equipment & Services_etf_Open_change,SPDR S&P Oil & Gas Equipment & Services_etf_High_average,SPDR S&P Oil & Gas Equipment & Services_etf_High_max,SPDR S&P Oil & Gas Equipment & Services_etf_High_min,SPDR S&P Oil & Gas Equipment & Services_etf_High_volatility,SPDR S&P Oil & Gas Equipment & Services_etf_High_change,SPDR S&P Oil & Gas Equipment & Services_etf_Low_average,SPDR S&P Oil & Gas Equipment & Services_etf_Low_max,SPDR S&P Oil & Gas Equipment & Services_etf_Low_min,SPDR S&P Oil & Gas Equipment & Services_etf_Low_volatility,SPDR S&P Oil & Gas Equipment & Services_etf_Low_change,SPDR S&P Oil & Gas Equipment & Services_etf_Close_average,SPDR S&P Oil & Gas Equipment & Services_etf_Close_max,SPDR S&P Oil & Gas Equipment & Services_etf_Close_min,SPDR S&P Oil & Gas Equipment & Services_etf_Close_volatility,SPDR S&P Oil & Gas Equipment & Services_etf_Close_change
2016-01-03,15.85,15.85,15.85,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2016-01-10,14.49,14.49,14.49,0.0,0.0,14.49,14.49,14.49,0.0,0.0,13.9,13.9,13.9,0.0,0.0,14.34,14.34,14.34,0.0,0.0
2016-01-17,14.6,14.6,14.6,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.07,14.07,14.07,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2016-01-24,14.92,14.92,14.92,0.0,0.0,15.49,15.49,15.49,0.0,0.0,14.85,14.85,14.85,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2016-01-31,15.06,15.06,15.06,0.0,0.0,15.51,15.51,15.51,0.0,0.0,14.84,14.84,14.84,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2016-02-07,13.32,13.32,13.32,0.0,0.0,13.73,13.73,13.73,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.38,13.38,13.38,0.0,0.0
2016-02-14,14.23,14.23,14.23,0.0,0.0,14.28,14.28,14.28,0.0,0.0,13.8,13.8,13.8,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2016-02-21,14.26,14.26,14.26,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2016-02-28,17.32,17.32,17.32,0.0,0.0,18.5,18.5,18.5,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2016-03-06,17.46,17.46,17.46,0.0,0.0,18.15,18.15,18.15,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.89,17.89,17.89,0.0,0.0
2016-03-13,18.2,18.2,18.2,0.0,0.0,18.44,18.44,18.44,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2016-03-20,16.48,16.48,16.48,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2016-03-27,16.87,16.87,16.87,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2016-04-03,16.68,16.68,16.68,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2016-04-10,17.26,17.26,17.26,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2016-04-17,18.61,18.61,18.61,0.0,0.0,19.44,19.44,19.44,0.0,0.0,18.61,18.61,18.61,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-04-24,19.33,19.33,19.33,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2016-05-01,17.63,17.63,17.63,0.0,0.0,18.51,18.51,18.51,0.0,0.0,17.58,17.58,17.58,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2016-05-08,17.53,17.53,17.53,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2016-05-15,17.28,17.28,17.28,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2016-05-22,17.9,17.9,17.9,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.72,17.72,17.72,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2016-05-29,17.84,17.84,17.84,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2016-06-05,19.69,19.69,19.69,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-06-12,18.74,18.74,18.74,0.0,0.0,19.22,19.22,19.22,0.0,0.0,18.67,18.67,18.67,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2016-06-19,18.56,18.56,18.56,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2016-06-26,18.71,18.71,18.71,0.0,0.0,19.44,19.44,19.44,0.0,0.0,18.71,18.71,18.71,0.0,0.0,19.43,19.43,19.43,0.0,0.0
2016-07-03,18.33,18.33,18.33,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2016-07-10,19.14,19.14,19.14,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2016-07-17,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2016-07-24,17.27,17.27,17.27,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.68,17.68,17.68,0.0,0.0
2016-07-31,17.47,17.47,17.47,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2016-08-07,18.1,18.1,18.1,0.0,0.0,18.17,18.17,18.17,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2016-08-14,18.78,18.78,18.78,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.67,18.67,18.67,0.0,0.0
2016-08-21,18.07,18.07,18.07,0.0,0.0,18.35,18.35,18.35,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.92,17.92,17.92,0.0,0.0
2016-08-28,17.58,17.58,17.58,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.57,17.57,17.57,0.0,0.0
2016-09-04,18.09,18.09,18.09,0.0,0.0,18.23,18.23,18.23,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.38,17.38,17.38,0.0,0.0
2016-09-11,16.69,16.69,16.69,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2016-09-18,17.54,17.54,17.54,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2016-09-25,18.86,18.86,18.86,0.0,0.0,19.18,19.18,19.18,0.0,0.0,18.61,18.61,18.61,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2016-10-02,19.55,19.55,19.55,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.37,19.37,19.37,0.0,0.0
