Date,ProShares UltraShort Nasdaq BiotechnologyEtf_Open_average,ProShares UltraShort Nasdaq BiotechnologyEtf_Open_max,ProShares UltraShort Nasdaq BiotechnologyEtf_Open_min,ProShares UltraShort Nasdaq BiotechnologyEtf_Open_volatility,ProShares UltraShort Nasdaq BiotechnologyEtf_Open_change,ProShares UltraShort Nasdaq BiotechnologyEtf_High_average,ProShares UltraShort Nasdaq BiotechnologyEtf_High_max,ProShares UltraShort Nasdaq BiotechnologyEtf_High_min,ProShares UltraShort Nasdaq BiotechnologyEtf_High_volatility,ProShares UltraShort Nasdaq BiotechnologyEtf_High_change,ProShares UltraShort Nasdaq BiotechnologyEtf_Low_average,ProShares UltraShort Nasdaq BiotechnologyEtf_Low_max,ProShares UltraShort Nasdaq BiotechnologyEtf_Low_min,ProShares UltraShort Nasdaq BiotechnologyEtf_Low_volatility,ProShares UltraShort Nasdaq BiotechnologyEtf_Low_change,ProShares UltraShort Nasdaq BiotechnologyEtf_Close_average,ProShares UltraShort Nasdaq BiotechnologyEtf_Close_max,ProShares UltraShort Nasdaq BiotechnologyEtf_Close_min,ProShares UltraShort Nasdaq BiotechnologyEtf_Close_volatility,ProShares UltraShort Nasdaq BiotechnologyEtf_Close_change
2016-01-03,33.27,33.27,33.27,0.0,0.0,35.8,35.8,35.8,0.0,0.0,33.27,33.27,33.27,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2016-01-10,40.98,40.98,40.98,0.0,0.0,41.18,41.18,41.18,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2016-01-17,38.65,38.65,38.65,0.0,0.0,39.92,39.92,39.92,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.28,38.28,38.28,0.0,0.0
2016-01-24,45.32,45.32,45.32,0.0,0.0,46.22,46.22,46.22,0.0,0.0,43.66,43.66,43.66,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2016-01-31,44.82,44.82,44.82,0.0,0.0,48.68,48.68,48.68,0.0,0.0,44.74,44.74,44.74,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2016-02-07,50.4,50.4,50.4,0.0,0.0,53.18,53.18,53.18,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2016-02-14,46.01,46.01,46.01,0.0,0.0,47.0,47.0,47.0,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2016-02-21,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2016-02-28,43.44,43.44,43.44,0.0,0.0,44.42,44.42,44.42,0.0,0.0,42.4,42.4,42.4,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2016-03-06,45.52,45.52,45.52,0.0,0.0,45.88,45.88,45.88,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2016-03-13,49.03,49.03,49.03,0.0,0.0,49.96,49.96,49.96,0.0,0.0,46.76,46.76,46.76,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-03-20,46.55,46.55,46.55,0.0,0.0,47.72,47.72,47.72,0.0,0.0,44.15,44.15,44.15,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2016-03-27,43.91,43.91,43.91,0.0,0.0,44.58,44.58,44.58,0.0,0.0,40.85,40.85,40.85,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2016-04-03,35.96,35.96,35.96,0.0,0.0,38.48,38.48,38.48,0.0,0.0,35.96,35.96,35.96,0.0,0.0,37.82,37.82,37.82,0.0,0.0
