Date,PowerShares WilderHill Clean EnergyEtf_Open_average,PowerShares WilderHill Clean EnergyEtf_Open_max,PowerShares WilderHill Clean EnergyEtf_Open_min,PowerShares WilderHill Clean EnergyEtf_Open_volatility,PowerShares WilderHill Clean EnergyEtf_Open_change,PowerShares WilderHill Clean EnergyEtf_High_average,PowerShares WilderHill Clean EnergyEtf_High_max,PowerShares WilderHill Clean EnergyEtf_High_min,PowerShares WilderHill Clean EnergyEtf_High_volatility,PowerShares WilderHill Clean EnergyEtf_High_change,PowerShares WilderHill Clean EnergyEtf_Low_average,PowerShares WilderHill Clean EnergyEtf_Low_max,PowerShares WilderHill Clean EnergyEtf_Low_min,PowerShares WilderHill Clean EnergyEtf_Low_volatility,PowerShares WilderHill Clean EnergyEtf_Low_change,PowerShares WilderHill Clean EnergyEtf_Close_average,PowerShares WilderHill Clean EnergyEtf_Close_max,PowerShares WilderHill Clean EnergyEtf_Close_min,PowerShares WilderHill Clean EnergyEtf_Close_volatility,PowerShares WilderHill Clean EnergyEtf_Close_change
2016-01-03,21.35,21.35,21.35,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2016-01-10,19.25,19.25,19.25,0.0,0.0,19.25,19.25,19.25,0.0,0.0,18.55,18.55,18.55,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2016-01-17,19.6,19.6,19.6,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2016-01-24,19.75,19.75,19.75,0.0,0.0,20.25,20.25,20.25,0.0,0.0,19.75,19.75,19.75,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2016-01-31,19.95,19.95,19.95,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2016-02-07,18.05,18.05,18.05,0.0,0.0,18.25,18.25,18.25,0.0,0.0,17.8,17.8,17.8,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2016-02-14,19.0,19.0,19.0,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2016-02-21,19.8,19.8,19.8,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.8,19.8,19.8,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2016-02-28,20.85,20.85,20.85,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2016-03-06,20.6,20.6,20.6,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2016-03-13,21.0,21.0,21.0,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2016-03-20,20.0,20.0,20.0,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.75,19.75,19.75,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-03-27,20.15,20.15,20.15,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2016-04-03,20.0,20.0,20.0,0.0,0.0,20.4,20.4,20.4,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2016-04-10,20.45,20.45,20.45,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2016-04-17,21.15,21.15,21.15,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2016-04-24,20.85,20.85,20.85,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2016-05-01,19.3,19.3,19.3,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2016-05-08,18.5,18.5,18.5,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2016-05-15,18.65,18.65,18.65,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2016-05-22,19.3,19.3,19.3,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2016-05-29,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-06-05,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2016-06-12,18.55,18.55,18.55,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2016-06-19,18.2,18.2,18.2,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2016-06-26,19.1,19.1,19.1,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2016-07-03,19.1,19.1,19.1,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-07-10,19.65,19.65,19.65,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2016-07-17,19.7,19.7,19.7,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2016-07-24,19.5,19.5,19.5,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2016-07-31,19.5,19.5,19.5,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.75,19.75,19.75,0.0,0.0
