Date,iShares International Treasury Bond_etf_Open_average,iShares International Treasury Bond_etf_Open_max,iShares International Treasury Bond_etf_Open_min,iShares International Treasury Bond_etf_Open_volatility,iShares International Treasury Bond_etf_Open_change,iShares International Treasury Bond_etf_High_average,iShares International Treasury Bond_etf_High_max,iShares International Treasury Bond_etf_High_min,iShares International Treasury Bond_etf_High_volatility,iShares International Treasury Bond_etf_High_change,iShares International Treasury Bond_etf_Low_average,iShares International Treasury Bond_etf_Low_max,iShares International Treasury Bond_etf_Low_min,iShares International Treasury Bond_etf_Low_volatility,iShares International Treasury Bond_etf_Low_change,iShares International Treasury Bond_etf_Close_average,iShares International Treasury Bond_etf_Close_max,iShares International Treasury Bond_etf_Close_min,iShares International Treasury Bond_etf_Close_volatility,iShares International Treasury Bond_etf_Close_change
2016-01-03,90.27,90.27,90.27,0.0,0.0,90.54,90.54,90.54,0.0,0.0,89.9,89.9,89.9,0.0,0.0,90.36,90.36,90.36,0.0,0.0
2016-01-10,90.8,90.8,90.8,0.0,0.0,91.0,91.0,91.0,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.45,90.45,90.45,0.0,0.0
2016-01-17,90.26,90.26,90.26,0.0,0.0,90.26,90.26,90.26,0.0,0.0,89.76,89.76,89.76,0.0,0.0,89.77,89.77,89.77,0.0,0.0
2016-01-24,90.79,90.79,90.79,0.0,0.0,90.96,90.96,90.96,0.0,0.0,90.33,90.33,90.33,0.0,0.0,90.71,90.71,90.71,0.0,0.0
2016-01-31,93.06,93.06,93.06,0.0,0.0,93.17,93.17,93.17,0.0,0.0,92.82,92.82,92.82,0.0,0.0,93.13,93.13,93.13,0.0,0.0
2016-02-07,94.25,94.25,94.25,0.0,0.0,94.36,94.36,94.36,0.0,0.0,93.86,93.86,93.86,0.0,0.0,94.17,94.17,94.17,0.0,0.0
2016-02-14,93.71,93.71,93.71,0.0,0.0,94.13,94.13,94.13,0.0,0.0,93.69,93.69,93.69,0.0,0.0,93.91,93.91,93.91,0.0,0.0
2016-02-21,93.61,93.61,93.61,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.17,93.17,93.17,0.0,0.0,93.35,93.35,93.35,0.0,0.0
2016-02-28,93.84,93.84,93.84,0.0,0.0,94.27,94.27,94.27,0.0,0.0,93.66,93.66,93.66,0.0,0.0,93.82,93.82,93.82,0.0,0.0
2016-03-06,94.6,94.6,94.6,0.0,0.0,94.97,94.97,94.97,0.0,0.0,94.6,94.6,94.6,0.0,0.0,94.78,94.78,94.78,0.0,0.0
2016-03-13,96.85,96.85,96.85,0.0,0.0,96.96,96.96,96.96,0.0,0.0,96.66,96.66,96.66,0.0,0.0,96.74,96.74,96.74,0.0,0.0
2016-03-20,96.05,96.05,96.05,0.0,0.0,96.07,96.07,96.07,0.0,0.0,95.62,95.62,95.62,0.0,0.0,95.66,95.66,95.66,0.0,0.0
2016-03-27,97.41,97.41,97.41,0.0,0.0,97.83,97.83,97.83,0.0,0.0,97.01,97.01,97.01,0.0,0.0,97.7,97.7,97.7,0.0,0.0
2016-04-03,98.18,98.18,98.18,0.0,0.0,98.46,98.46,98.46,0.0,0.0,98.12,98.12,98.12,0.0,0.0,98.3,98.3,98.3,0.0,0.0
2016-04-10,97.51,97.51,97.51,0.0,0.0,97.9,97.9,97.9,0.0,0.0,97.51,97.51,97.51,0.0,0.0,97.8,97.8,97.8,0.0,0.0
2016-04-17,96.76,96.76,96.76,0.0,0.0,96.81,96.81,96.81,0.0,0.0,96.38,96.38,96.38,0.0,0.0,96.47,96.47,96.47,0.0,0.0
2016-04-24,98.47,98.47,98.47,0.0,0.0,98.83,98.83,98.83,0.0,0.0,98.37,98.37,98.37,0.0,0.0,98.81,98.81,98.81,0.0,0.0
2016-05-01,98.65,98.65,98.65,0.0,0.0,98.81,98.81,98.81,0.0,0.0,98.34,98.34,98.34,0.0,0.0,98.51,98.51,98.51,0.0,0.0
2016-05-08,97.65,97.65,97.65,0.0,0.0,97.84,97.84,97.84,0.0,0.0,97.32,97.32,97.32,0.0,0.0,97.78,97.78,97.78,0.0,0.0
2016-05-15,96.68,96.68,96.68,0.0,0.0,96.87,96.87,96.87,0.0,0.0,96.44,96.44,96.44,0.0,0.0,96.79,96.79,96.79,0.0,0.0
