Date,CONN_stock_Open_average,CONN_stock_Open_max,CONN_stock_Open_min,CONN_stock_Open_volatility,CONN_stock_Open_change,CONN_stock_High_average,CONN_stock_High_max,CONN_stock_High_min,CONN_stock_High_volatility,CONN_stock_High_change,CONN_stock_Low_average,CONN_stock_Low_max,CONN_stock_Low_min,CONN_stock_Low_volatility,CONN_stock_Low_change,CONN_stock_Close_average,CONN_stock_Close_max,CONN_stock_Close_min,CONN_stock_Close_volatility,CONN_stock_Close_change,CONN_stock_Volume_average,CONN_stock_Volume_max,CONN_stock_Volume_min,CONN_stock_Volume_volatility,CONN_stock_Volume_change
2016-01-03,20.538,22.4,19.05,3.349999999999998,-3.349999999999998,21.216,23.48,19.34,4.140000000000001,-4.140000000000001,19.084,21.5,16.09,5.41,-5.41,19.522000000000002,21.66,16.2,5.460000000000001,-5.460000000000001,1106697,1774578,502085,1272493,1247602
2016-01-10,15.244,16.43,14.46,1.9699999999999989,-1.9699999999999989,15.718,17.05,14.46,2.59,-2.59,14.402,15.19,13.18,2.01,-2.01,14.772,15.37,13.62,1.75,-1.75,938025,1238538,705187,533351,22462
2016-01-17,14.4775,15.49,13.74,1.75,1.4800000000000004,15.25,15.77,14.72,1.049999999999999,0.7900000000000009,14.03,14.51,13.58,0.9299999999999997,0.5299999999999994,14.6575,15.27,14.22,1.049999999999999,0.2699999999999996,887864,1116521,528416,588105,-588105
2016-01-24,13.294,14.29,12.36,1.9299999999999997,-1.9299999999999997,13.576,14.42,12.61,1.8100000000000005,-1.8100000000000005,12.549999999999999,13.03,11.49,1.5399999999999991,-1.5399999999999991,12.874,13.44,12.32,1.1199999999999992,-0.8399999999999999,687003,1163815,416830,746985,261581
2016-01-31,13.21,14.61,12.25,2.3599999999999994,2.3599999999999994,13.876000000000001,14.81,12.99,1.8200000000000003,1.2400000000000002,12.418,13.88,11.53,2.3500000000000014,2.3500000000000014,13.674,14.61,12.86,1.75,0.8200000000000003,1115517,1251469,822405,429064,146243
2016-02-07,13.3,14.37,12.56,1.8099999999999987,-1.6399999999999988,13.908,15.21,12.94,2.2700000000000014,-0.7099999999999991,12.562,13.0,12.16,0.8399999999999999,-0.40000000000000036,13.184,13.9,12.62,1.2800000000000011,-0.39000000000000057,594852,792257,405691,386566,-228217
2016-02-14,16.095,18.47,13.85,4.619999999999999,4.619999999999999,17.9375,19.29,15.03,4.26,3.6800000000000015,15.475,17.45,13.41,4.039999999999999,4.039999999999999,17.12,18.69,14.89,3.8000000000000007,2.8000000000000007,1396549,2276459,572937,1703522,198563
2016-02-21,16.798333333333332,18.2,15.81,2.389999999999999,-1.120000000000001,17.298333333333332,19.01,16.17,2.84,-1.9200000000000017,16.153333333333332,17.8,14.73,3.0700000000000003,-0.7200000000000024,16.893333333333334,18.94,15.69,3.2500000000000018,-1.8500000000000014,1152593,2788958,515967,2272991,221548
2016-02-28,17.698,19.44,16.93,2.5100000000000016,1.990000000000002,18.732,21.3,17.3,4.0,3.8100000000000023,17.35,19.21,16.37,2.84,2.4800000000000004,18.034,19.37,16.97,2.400000000000002,2.400000000000002,1193758,1842062,819819,1022243,320404
2016-03-06,18.938,20.28,17.83,2.450000000000003,-2.1700000000000017,19.364,21.48,17.98,3.5,-3.5,17.573999999999998,18.7,17.18,1.5199999999999996,-1.5,18.4,20.45,17.53,2.919999999999998,-2.6400000000000006,849077,1321795,465278,856517,-856517
