Date,iShares MSCI South Korea CappedEtf_Open_average,iShares MSCI South Korea CappedEtf_Open_max,iShares MSCI South Korea CappedEtf_Open_min,iShares MSCI South Korea CappedEtf_Open_volatility,iShares MSCI South Korea CappedEtf_Open_change,iShares MSCI South Korea CappedEtf_High_average,iShares MSCI South Korea CappedEtf_High_max,iShares MSCI South Korea CappedEtf_High_min,iShares MSCI South Korea CappedEtf_High_volatility,iShares MSCI South Korea CappedEtf_High_change,iShares MSCI South Korea CappedEtf_Low_average,iShares MSCI South Korea CappedEtf_Low_max,iShares MSCI South Korea CappedEtf_Low_min,iShares MSCI South Korea CappedEtf_Low_volatility,iShares MSCI South Korea CappedEtf_Low_change,iShares MSCI South Korea CappedEtf_Close_average,iShares MSCI South Korea CappedEtf_Close_max,iShares MSCI South Korea CappedEtf_Close_min,iShares MSCI South Korea CappedEtf_Close_volatility,iShares MSCI South Korea CappedEtf_Close_change
2016-01-03,47.27,47.27,47.27,0.0,0.0,47.36,47.36,47.36,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2016-01-10,45.46,45.46,45.46,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2016-01-17,47.26,47.26,47.26,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.03,47.03,47.03,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2016-01-24,47.12,47.12,47.12,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2016-01-31,48.03,48.03,48.03,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2016-02-07,46.01,46.01,46.01,0.0,0.0,46.49,46.49,46.49,0.0,0.0,45.89,45.89,45.89,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2016-02-14,46.6,46.6,46.6,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2016-02-21,46.91,46.91,46.91,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2016-02-28,49.09,49.09,49.09,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2016-03-06,50.26,50.26,50.26,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2016-03-13,52.08,52.08,52.08,0.0,0.0,52.27,52.27,52.27,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2016-03-20,51.42,51.42,51.42,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2016-03-27,51.38,51.38,51.38,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.26,51.26,51.26,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2016-04-03,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2016-04-10,53.04,53.04,53.04,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2016-04-17,53.15,53.15,53.15,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2016-04-24,52.46,52.46,52.46,0.0,0.0,52.54,52.54,52.54,0.0,0.0,51.92,51.92,51.92,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2016-05-01,50.32,50.32,50.32,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2016-05-08,49.97,49.97,49.97,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2016-05-15,49.02,49.02,49.02,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2016-05-22,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2016-05-29,51.11,51.11,51.11,0.0,0.0,51.46,51.46,51.46,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2016-06-05,51.98,51.98,51.98,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2016-06-12,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2016-06-19,50.55,50.55,50.55,0.0,0.0,51.14,51.14,51.14,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2016-06-26,52.78,52.78,52.78,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2016-07-03,52.0,52.0,52.0,0.0,0.0,52.47,52.47,52.47,0.0,0.0,51.97,51.97,51.97,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2016-07-10,54.36,54.36,54.36,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2016-07-17,54.14,54.14,54.14,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2016-07-24,55.45,55.45,55.45,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2016-07-31,55.78,55.78,55.78,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2016-08-07,57.31,57.31,57.31,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.1,57.1,57.1,0.0,0.0,57.21,57.21,57.21,0.0,0.0
2016-08-14,57.05,57.05,57.05,0.0,0.0,57.31,57.31,57.31,0.0,0.0,56.82,56.82,56.82,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2016-08-21,56.78,56.78,56.78,0.0,0.0,57.45,57.45,57.45,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2016-08-28,57.16,57.16,57.16,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.92,56.92,56.92,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2016-09-04,57.43,57.43,57.43,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2016-09-11,55.0,55.0,55.0,0.0,0.0,55.28,55.28,55.28,0.0,0.0,54.56,54.56,54.56,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2016-09-18,57.9,57.9,57.9,0.0,0.0,58.01,58.01,58.01,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2016-09-25,57.96,57.96,57.96,0.0,0.0,58.29,58.29,58.29,0.0,0.0,57.74,57.74,57.74,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2016-10-02,58.09,58.09,58.09,0.0,0.0,58.09,58.09,58.09,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2016-10-09,55.92,55.92,55.92,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.36,55.36,55.36,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2016-10-16,55.97,55.97,55.97,0.0,0.0,56.29,56.29,56.29,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2016-10-23,55.42,55.42,55.42,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2016-10-30,54.35,54.35,54.35,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.38,54.38,54.38,0.0,0.0
2016-11-06,52.83,52.83,52.83,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2016-11-13,52.47,52.47,52.47,0.0,0.0,52.53,52.53,52.53,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2016-11-20,52.85,52.85,52.85,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2016-11-27,53.17,53.17,53.17,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2016-12-04,55.1,55.1,55.1,0.0,0.0,55.23,55.23,55.23,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2016-12-11,54.28,54.28,54.28,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2016-12-18,52.79,52.79,52.79,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2016-12-25,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2017-01-01,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2017-01-08,56.23,56.23,56.23,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2017-01-15,56.18,56.18,56.18,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2017-01-22,57.2,57.2,57.2,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.98,56.98,56.98,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2017-01-29,58.78,58.78,58.78,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2017-02-05,57.84,57.84,57.84,0.0,0.0,58.14,58.14,58.14,0.0,0.0,57.77,57.77,57.77,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2017-02-12,57.71,57.71,57.71,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.97,57.97,57.97,0.0,0.0
2017-02-19,58.92,58.92,58.92,0.0,0.0,59.09,59.09,59.09,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2017-02-26,57.68,57.68,57.68,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2017-03-05,58.08,58.08,58.08,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.95,57.95,57.95,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2017-03-12,61.26,61.26,61.26,0.0,0.0,61.41,61.41,61.41,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.29,61.29,61.29,0.0,0.0
2017-03-19,62.17,62.17,62.17,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.47,62.47,62.47,0.0,0.0
2017-03-26,61.96,61.96,61.96,0.0,0.0,62.12,62.12,62.12,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.87,61.87,61.87,0.0,0.0
2017-04-02,60.56,60.56,60.56,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.31,60.31,60.31,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2017-04-09,60.13,60.13,60.13,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.92,59.92,59.92,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2017-04-16,60.85,60.85,60.85,0.0,0.0,61.01,61.01,61.01,0.0,0.0,60.68,60.68,60.68,0.0,0.0,60.96,60.96,60.96,0.0,0.0
2017-04-23,62.0,62.0,62.0,0.0,0.0,62.15,62.15,62.15,0.0,0.0,61.88,61.88,61.88,0.0,0.0,62.1,62.1,62.1,0.0,0.0
2017-04-30,62.9,62.9,62.9,0.0,0.0,63.43,63.43,63.43,0.0,0.0,62.84,62.84,62.84,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2017-05-07,65.77,65.77,65.77,0.0,0.0,65.93,65.93,65.93,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2017-05-14,66.13,66.13,66.13,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.13,66.13,66.13,0.0,0.0,66.77,66.77,66.77,0.0,0.0
2017-05-21,68.22,68.22,68.22,0.0,0.0,68.49,68.49,68.49,0.0,0.0,68.1,68.1,68.1,0.0,0.0,68.44,68.44,68.44,0.0,0.0
2017-05-28,68.55,68.55,68.55,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2017-06-04,68.61,68.61,68.61,0.0,0.0,68.74,68.74,68.74,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2017-06-11,67.25,67.25,67.25,0.0,0.0,67.36,67.36,67.36,0.0,0.0,66.98,66.98,66.98,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2017-06-18,67.65,67.65,67.65,0.0,0.0,68.16,68.16,68.16,0.0,0.0,67.65,67.65,67.65,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2017-06-25,67.93,67.93,67.93,0.0,0.0,68.01,68.01,68.01,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.81,67.81,67.81,0.0,0.0
