Date,BKHYY_stock_Open_average,BKHYY_stock_Open_max,BKHYY_stock_Open_min,BKHYY_stock_Open_volatility,BKHYY_stock_Open_change,BKHYY_stock_High_average,BKHYY_stock_High_max,BKHYY_stock_High_min,BKHYY_stock_High_volatility,BKHYY_stock_High_change,BKHYY_stock_Low_average,BKHYY_stock_Low_max,BKHYY_stock_Low_min,BKHYY_stock_Low_volatility,BKHYY_stock_Low_change,BKHYY_stock_Close_average,BKHYY_stock_Close_max,BKHYY_stock_Close_min,BKHYY_stock_Close_volatility,BKHYY_stock_Close_change,BKHYY_stock_Volume_average,BKHYY_stock_Volume_max,BKHYY_stock_Volume_min,BKHYY_stock_Volume_volatility,BKHYY_stock_Volume_change
2016-01-03,25.116666666666667,25.71,24.81,0.9000000000000021,-0.8800000000000026,25.13,25.71,24.83,0.8800000000000026,-0.8800000000000026,25.05,25.71,24.61,1.1000000000000014,-0.8800000000000026,25.13,25.71,24.83,0.8800000000000026,-0.8800000000000026,1183,2510,422,2088,197
2016-01-10,23.869999999999997,24.0,23.74,0.26000000000000156,-0.26000000000000156,24.095,24.45,23.74,0.7100000000000009,-0.7100000000000009,23.869999999999997,24.0,23.74,0.26000000000000156,-0.26000000000000156,24.095,24.45,23.74,0.7100000000000009,-0.7100000000000009,551,1002,100,902,-902
2016-01-17,23.41,23.41,23.41,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.41,23.41,23.41,0.0,0.0,100,100,100,0,0
2016-01-24,23.036666666666665,23.11,23.0,0.10999999999999943,0.10999999999999943,23.07,23.11,23.0,0.10999999999999943,0.00999999999999801,22.936666666666667,23.11,22.7,0.41000000000000014,0.41000000000000014,23.07,23.11,23.0,0.10999999999999943,0.00999999999999801,3587,10563,100,10463,-10463
2016-01-31,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,100,100,100,0,0
2016-02-07,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0,707,707,707,0,0
2016-02-14,23.3,23.6,23.0,0.6000000000000014,0.6000000000000014,23.52,23.84,23.2,0.6400000000000006,0.6400000000000006,23.3,23.6,23.0,0.6000000000000014,0.6000000000000014,23.52,23.84,23.2,0.6400000000000006,0.6400000000000006,820,1224,417,807,-807
2016-02-21,23.765,23.94,23.59,0.3500000000000014,0.3500000000000014,23.765,23.94,23.59,0.3500000000000014,0.3500000000000014,23.765,23.94,23.59,0.3500000000000014,0.3500000000000014,23.765,23.94,23.59,0.3500000000000014,0.3500000000000014,581,926,237,689,689
2016-02-28,24.3125,24.57,24.0,0.5700000000000003,-0.5700000000000003,24.3125,24.57,24.0,0.5700000000000003,-0.5700000000000003,24.3125,24.57,24.0,0.5700000000000003,-0.5700000000000003,24.3125,24.57,24.0,0.5700000000000003,-0.5700000000000003,245,337,159,178,57
2016-03-06,24.45,24.45,24.45,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.45,24.45,24.45,0.0,0.0,25.1,25.1,25.1,0.0,0.0,1208,1208,1208,0,0
2016-03-13,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,209,209,209,0,0
2016-03-20,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,144,144,144,0,0
2016-03-27,25.48,25.87,25.1,0.7699999999999996,0.4700000000000024,25.48,25.87,25.1,0.7699999999999996,0.4700000000000024,25.2075,25.4,25.03,0.36999999999999744,-0.2699999999999996,25.2075,25.4,25.03,0.36999999999999744,-0.2699999999999996,1248,3818,293,3525,-3348
2016-04-03,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,200,200,200,0,0
2016-04-10,25.85,25.85,25.85,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.97,25.97,25.97,0.0,0.0,6832,6832,6832,0,0
