Date,ProShares UltraShort Real Estate_etf_Open_average,ProShares UltraShort Real Estate_etf_Open_max,ProShares UltraShort Real Estate_etf_Open_min,ProShares UltraShort Real Estate_etf_Open_volatility,ProShares UltraShort Real Estate_etf_Open_change,ProShares UltraShort Real Estate_etf_High_average,ProShares UltraShort Real Estate_etf_High_max,ProShares UltraShort Real Estate_etf_High_min,ProShares UltraShort Real Estate_etf_High_volatility,ProShares UltraShort Real Estate_etf_High_change,ProShares UltraShort Real Estate_etf_Low_average,ProShares UltraShort Real Estate_etf_Low_max,ProShares UltraShort Real Estate_etf_Low_min,ProShares UltraShort Real Estate_etf_Low_volatility,ProShares UltraShort Real Estate_etf_Low_change,ProShares UltraShort Real Estate_etf_Close_average,ProShares UltraShort Real Estate_etf_Close_max,ProShares UltraShort Real Estate_etf_Close_min,ProShares UltraShort Real Estate_etf_Close_volatility,ProShares UltraShort Real Estate_etf_Close_change
2016-01-03,46.1,46.1,46.1,0.0,0.0,47.67,47.67,47.67,0.0,0.0,45.83,45.83,45.83,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2016-01-10,50.55,50.55,50.55,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2016-01-17,50.88,50.88,50.88,0.0,0.0,51.01,51.01,51.01,0.0,0.0,48.81,48.81,48.81,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2016-01-24,49.93,49.93,49.93,0.0,0.0,50.28,50.28,50.28,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2016-01-31,48.71,48.71,48.71,0.0,0.0,50.66,50.66,50.66,0.0,0.0,48.71,48.71,48.71,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2016-02-07,55.94,55.94,55.94,0.0,0.0,55.94,55.94,55.94,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2016-02-14,51.61,51.61,51.61,0.0,0.0,51.61,51.61,51.61,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2016-02-21,47.89,47.89,47.89,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.42,47.42,47.42,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2016-02-28,44.71,44.71,44.71,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2016-03-06,43.94,43.94,43.94,0.0,0.0,44.28,44.28,44.28,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2016-03-13,40.48,40.48,40.48,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.93,40.93,40.93,0.0,0.0
