Date,XEC_stock_Open_average,XEC_stock_Open_max,XEC_stock_Open_min,XEC_stock_Open_volatility,XEC_stock_Open_change,XEC_stock_High_average,XEC_stock_High_max,XEC_stock_High_min,XEC_stock_High_volatility,XEC_stock_High_change,XEC_stock_Low_average,XEC_stock_Low_max,XEC_stock_Low_min,XEC_stock_Low_volatility,XEC_stock_Low_change,XEC_stock_Close_average,XEC_stock_Close_max,XEC_stock_Close_min,XEC_stock_Close_volatility,XEC_stock_Close_change,XEC_stock_Volume_average,XEC_stock_Volume_max,XEC_stock_Volume_min,XEC_stock_Volume_volatility,XEC_stock_Volume_change
2016-01-03,86.64,91.13,82.49,8.64,-6.710000000000008,88.29,92.41,83.5,8.909999999999997,-7.950000000000003,84.636,89.17,80.61,8.560000000000002,-6.8700000000000045,85.96,90.58,81.86,8.719999999999999,-7.680000000000007,1325964,1557512,1109999,447513,57717
2016-01-10,82.124,83.15,81.13,2.0200000000000102,0.5200000000000102,84.054,85.92,82.96,2.960000000000008,1.6400000000000006,78.788,79.59,77.42,2.1700000000000017,-0.9399999999999977,82.036,84.96,80.07,4.890000000000001,3.5799999999999983,1803511,2370091,1122629,1247462,1247462
2016-01-17,81.6325,84.94,77.4,7.539999999999992,-0.14000000000000057,83.5875,87.02,79.89,7.1299999999999955,1.769999999999996,77.625,81.17,72.77,8.400000000000006,1.210000000000008,80.9225,84.37,77.66,6.710000000000008,3.180000000000007,2303720,3013682,1945854,1067828,-208900
2016-01-24,84.218,90.5,77.91,12.590000000000003,6.920000000000002,87.158,93.0,81.5,11.5,8.5,81.246,89.31,74.77,14.540000000000006,13.730000000000004,84.67399999999999,93.0,75.6,17.400000000000006,17.400000000000006,1992502,2395050,1593220,801830,23633
2016-01-31,87.832,90.8,84.29,6.509999999999991,-3.280000000000001,89.64,92.61,86.46,6.150000000000006,-3.3299999999999983,85.294,88.55,83.69,4.859999999999999,-2.3700000000000045,86.944,89.56,84.39,5.170000000000002,-2.3599999999999994,1544598,1748520,1362799,385721,-301131
2016-02-07,82.83,84.03,81.44,2.5900000000000034,1.0300000000000011,85.112,86.57,82.11,4.459999999999994,0.4899999999999949,80.294,81.35,77.62,3.7299999999999898,0.3499999999999943,83.312,85.41,81.16,4.25,-0.7399999999999949,1541061,1916772,1257036,659736,284537
2016-02-14,83.985,86.64,81.26,5.3799999999999955,-5.3799999999999955,86.0975,86.67,85.78,0.8900000000000006,-0.8900000000000006,79.435,82.52,75.01,7.509999999999991,-2.5,84.2875,85.58,82.6,2.980000000000004,1.2999999999999972,2756615,4837849,1969425,2868424,-42861
2016-02-21,85.738,87.4,84.04,3.3599999999999994,-0.8900000000000006,87.39999999999999,88.66,86.21,2.450000000000003,-1.4699999999999989,83.954,86.05,81.08,4.969999999999999,-1.4099999999999966,85.832,87.9,84.53,3.3700000000000045,-2.3200000000000074,1411752,1823408,1105491,717917,-90166
2016-02-28,86.956,89.1,84.75,4.349999999999994,2.8699999999999903,89.37,93.3,86.07,7.230000000000004,6.780000000000001,84.88,87.36,81.8,5.560000000000002,2.1099999999999994,87.718,90.65,84.03,6.6200000000000045,6.6200000000000045,1676146,2276052,1456569,819483,819483
2016-03-06,92.698,94.19,90.48,3.7099999999999937,3.1700000000000017,94.188,95.5,91.93,3.569999999999993,-0.20999999999999375,90.518,93.23,89.04,4.189999999999998,2.950000000000003,93.014,95.47,90.74,4.730000000000004,-1.0,1661389,2238129,1231358,1006771,-560160
2016-03-13,95.798,99.3,92.51,6.789999999999992,6.719999999999999,97.572,100.07,95.1,4.969999999999999,4.969999999999999,94.556,97.08,91.94,5.140000000000001,3.8500000000000085,96.81400000000001,98.62,94.43,4.189999999999998,4.189999999999998,1225791,1715247,832162,883085,883085
