Date,LTBR_stock_Open_average,LTBR_stock_Open_max,LTBR_stock_Open_min,LTBR_stock_Open_volatility,LTBR_stock_Open_change,LTBR_stock_High_average,LTBR_stock_High_max,LTBR_stock_High_min,LTBR_stock_High_volatility,LTBR_stock_High_change,LTBR_stock_Low_average,LTBR_stock_Low_max,LTBR_stock_Low_min,LTBR_stock_Low_volatility,LTBR_stock_Low_change,LTBR_stock_Close_average,LTBR_stock_Close_max,LTBR_stock_Close_min,LTBR_stock_Close_volatility,LTBR_stock_Close_change,LTBR_stock_Volume_average,LTBR_stock_Volume_max,LTBR_stock_Volume_min,LTBR_stock_Volume_volatility,LTBR_stock_Volume_change
2016-01-03,4.888,4.95,4.8,0.15000000000000036,0.0,4.92,5.0,4.8,0.20000000000000018,0.04999999999999982,4.612,4.8,4.35,0.4500000000000002,-0.4500000000000002,4.652,4.8,4.35,0.4500000000000002,-0.4500000000000002,8118,15007,3756,11251,8666
2016-01-10,4.43,4.95,4.15,0.7999999999999998,-0.34999999999999964,4.626,5.15,4.43,0.7200000000000006,-0.16999999999999993,4.12,4.4,3.85,0.5500000000000003,-0.5500000000000003,4.29,4.4,4.15,0.25,-0.10000000000000053,18548,30910,6627,24283,24283
2016-01-17,4.205,5.0,3.55,1.4500000000000002,-0.7999999999999998,4.3,5.0,3.9,1.1,-0.44999999999999973,3.285,3.8,2.57,1.23,-0.3799999999999999,3.575,3.85,2.9,0.9500000000000002,-0.1499999999999999,33632,80027,6851,73176,-11971
2016-01-24,3.63,3.75,3.55,0.20000000000000018,-0.10000000000000009,3.704,3.75,3.65,0.10000000000000009,-0.050000000000000266,3.46,3.55,3.35,0.19999999999999973,-0.1499999999999999,3.542,3.6,3.46,0.14000000000000012,-0.04999999999999982,15065,30132,7230,22902,1889
2016-01-31,3.4699999999999998,3.55,3.25,0.2999999999999998,-0.08999999999999986,3.7239999999999998,4.14,3.55,0.5899999999999999,0.20000000000000018,3.25,3.35,3.1,0.25,0.050000000000000266,3.47,3.59,3.22,0.36999999999999966,-0.04999999999999982,14967,17063,11448,5615,3709
2016-02-07,3.466,3.5,3.45,0.04999999999999982,0.0,3.478,3.5,3.45,0.04999999999999982,0.009999999999999787,3.2439999999999998,3.3,3.11,0.18999999999999995,0.18999999999999995,3.372,3.48,3.25,0.22999999999999998,0.04999999999999982,3043,4868,1243,3625,-3625
2016-02-14,3.4825,3.58,3.35,0.22999999999999998,-0.1499999999999999,3.5625,3.58,3.54,0.040000000000000036,-0.03000000000000025,3.3125,3.4,3.2,0.19999999999999973,-0.19999999999999973,3.4125,3.58,3.2,0.3799999999999999,-0.3799999999999999,9422,24822,2945,21877,20208
2016-02-21,3.356,3.45,3.25,0.20000000000000018,0.20000000000000018,3.468,3.55,3.39,0.1599999999999997,-0.04999999999999982,3.22,3.25,3.15,0.10000000000000009,-0.029999999999999805,3.33,3.45,3.23,0.2200000000000002,-0.2200000000000002,8627,19342,4188,15154,-685
2016-02-28,3.22,3.35,3.15,0.20000000000000018,-0.20000000000000018,3.326,3.38,3.25,0.1299999999999999,-0.1299999999999999,3.1,3.2,2.95,0.25,-0.09999999999999964,3.162,3.25,3.0,0.25,-0.14000000000000012,18621,30745,9471,21274,19980
2016-03-06,3.05,3.25,2.9,0.3500000000000001,0.25,3.132,3.5,3.0,0.5,0.43999999999999995,2.758,3.06,2.55,0.5100000000000002,0.5100000000000002,3.0,3.2,2.85,0.3500000000000001,0.30000000000000027,17263,28675,11601,17074,1409
