Date,Gasoline RBOBCommodity_Open_average,Gasoline RBOBCommodity_Open_max,Gasoline RBOBCommodity_Open_min,Gasoline RBOBCommodity_Open_volatility,Gasoline RBOBCommodity_Open_change,Gasoline RBOBCommodity_High_average,Gasoline RBOBCommodity_High_max,Gasoline RBOBCommodity_High_min,Gasoline RBOBCommodity_High_volatility,Gasoline RBOBCommodity_High_change,Gasoline RBOBCommodity_Low_average,Gasoline RBOBCommodity_Low_max,Gasoline RBOBCommodity_Low_min,Gasoline RBOBCommodity_Low_volatility,Gasoline RBOBCommodity_Low_change,Gasoline RBOBCommodity_Close_average,Gasoline RBOBCommodity_Close_max,Gasoline RBOBCommodity_Close_min,Gasoline RBOBCommodity_Close_volatility,Gasoline RBOBCommodity_Close_change,Gasoline RBOBCommodity_Volume_average,Gasoline RBOBCommodity_Volume_max,Gasoline RBOBCommodity_Volume_min,Gasoline RBOBCommodity_Volume_volatility,Gasoline RBOBCommodity_Volume_change
2016-01-03,1.2193857142857143,1.2919,1.1223,0.16959999999999997,-0.15910000000000002,1.237342857142857,1.3379,1.1249,0.21300000000000008,-0.16759999999999997,1.1826,1.2786,1.1125,0.16609999999999991,-0.16349999999999998,1.1986999999999999,1.2912,1.1168,0.1743999999999999,-0.1743999999999999,46270,89185,0,89185,0
2016-01-10,1.0758833333333333,1.1211,1.0184,0.10270000000000001,-0.10270000000000001,1.0985333333333334,1.1618,1.0186,0.1432,-0.12380000000000013,1.046,1.1009,1.0006,0.10030000000000006,-0.10030000000000006,1.0582333333333334,1.113,1.0092,0.10379999999999989,-0.10379999999999989,50673,74128,0,74128,-58669
2016-01-17,1.0371333333333332,1.1039,1.0095,0.09440000000000004,0.09440000000000004,1.0727166666666668,1.1169,1.04,0.07689999999999997,0.06479999999999997,1.0252166666666667,1.1036,1.0005,0.10309999999999997,0.0965999999999998,1.0509166666666667,1.1149,1.0177,0.09719999999999995,0.08319999999999994,26392,54080,0,54080,0
2016-01-24,1.0655333333333334,1.1231,1.0178,0.10529999999999995,0.040999999999999925,1.1010833333333334,1.1312,1.065,0.06620000000000004,0.031199999999999894,1.0399166666666666,1.1182,0.9924,0.12580000000000013,0.09870000000000001,1.0710666666666666,1.1214,1.03,0.09139999999999993,0.09139999999999993,16609,29437,0,29437,-29437
2016-01-31,1.0390333333333333,1.124,0.9852,0.13880000000000015,-0.13340000000000007,1.0602,1.1311,0.995,0.1361,-0.1361,1.0035833333333333,1.0806,0.9670000000000001,0.11359999999999992,-0.09020000000000006,1.0181666666666667,1.083,0.9904,0.09260000000000002,-0.09260000000000002,56641,72964,0,72964,-63970
2016-02-07,0.9666,1.0354,0.9075,0.12790000000000012,0.04510000000000014,1.0006833333333334,1.0462,0.9666,0.0796,0.04170000000000007,0.9439666666666666,1.0299,0.8975,0.13240000000000007,0.07589999999999997,0.9709166666666667,1.0432,0.8989,0.14429999999999987,0.08699999999999997,52672,68897,0,68897,-58161
2016-02-14,1.0015666666666667,1.043,0.9631,0.07989999999999997,-0.07989999999999997,1.0247666666666666,1.0844,0.9656,0.11880000000000002,-0.0835999999999999,0.96675,1.0225,0.9359999999999999,0.08650000000000002,-0.06369999999999998,0.9830333333333333,1.0307,0.9594,0.07129999999999992,-0.06929999999999992,31450,60493,0,60493,0
2016-02-21,1.0461666666666667,1.2886,0.9612,0.3273999999999999,0.3206,1.0819,1.2895,1.0114,0.2781,0.2645000000000002,1.0252000000000001,1.2849,0.9463,0.3385999999999999,0.32589999999999986,1.0559,1.2855,0.9663,0.31920000000000004,0.28490000000000015,23648,31369,0,31369,-28814
2016-02-28,1.2624666666666666,1.3365,1.0145,0.32200000000000006,0.32200000000000006,1.2865833333333332,1.3434,1.0587,0.28469999999999995,0.28469999999999995,1.2446833333333334,1.3355,1.0023,0.33319999999999994,0.33319999999999994,1.2728833333333334,1.3425,1.0497,0.29279999999999995,0.29279999999999995,37851,57543,0,57543,-7376
2016-03-06,1.4127,1.4694,1.3303,0.1391,0.12060000000000004,1.4475,1.4806,1.4,0.0806,0.05230000000000001,1.3987666666666667,1.4463,1.3303,0.11599999999999988,0.11599999999999988,1.4306833333333333,1.4705,1.3878,0.0827,0.05709999999999993,49897,73581,0,73581,-58996
2016-03-13,1.4281333333333333,1.449,1.4096,0.0394000000000001,-0.019200000000000106,1.4420666666666666,1.46,1.4301,0.029900000000000038,-0.02310000000000012,1.4065333333333334,1.4247,1.3839,0.04080000000000017,0.02069999999999994,1.4232333333333334,1.4383,1.4082,0.030100000000000016,0.0020999999999999908,33355,46037,0,46037,-46037
2016-03-20,1.4686,1.5092,1.4281,0.08110000000000017,0.06889999999999996,1.4928,1.5134,1.4613,0.052100000000000035,0.040999999999999925,1.44448,1.4968,1.4112,0.0855999999999999,0.0855999999999999,1.47566,1.5023,1.4541,0.04820000000000002,0.04339999999999988,27123,36542,0,36542,-32200
2016-03-27,1.44555,1.472,1.4034,0.0686,-0.0686,1.45505,1.4858,1.4061,0.0797000000000001,-0.0797000000000001,1.41675,1.4541,1.3925,0.06159999999999988,-0.06159999999999988,1.43015,1.4680000000000002,1.3946,0.07340000000000013,-0.07340000000000013,24451,63723,0,63723,-28260
