Date,Direxion Daily FTSE China Bull 3x Shares_etf_Open_average,Direxion Daily FTSE China Bull 3x Shares_etf_Open_max,Direxion Daily FTSE China Bull 3x Shares_etf_Open_min,Direxion Daily FTSE China Bull 3x Shares_etf_Open_volatility,Direxion Daily FTSE China Bull 3x Shares_etf_Open_change,Direxion Daily FTSE China Bull 3x Shares_etf_High_average,Direxion Daily FTSE China Bull 3x Shares_etf_High_max,Direxion Daily FTSE China Bull 3x Shares_etf_High_min,Direxion Daily FTSE China Bull 3x Shares_etf_High_volatility,Direxion Daily FTSE China Bull 3x Shares_etf_High_change,Direxion Daily FTSE China Bull 3x Shares_etf_Low_average,Direxion Daily FTSE China Bull 3x Shares_etf_Low_max,Direxion Daily FTSE China Bull 3x Shares_etf_Low_min,Direxion Daily FTSE China Bull 3x Shares_etf_Low_volatility,Direxion Daily FTSE China Bull 3x Shares_etf_Low_change,Direxion Daily FTSE China Bull 3x Shares_etf_Close_average,Direxion Daily FTSE China Bull 3x Shares_etf_Close_max,Direxion Daily FTSE China Bull 3x Shares_etf_Close_min,Direxion Daily FTSE China Bull 3x Shares_etf_Close_volatility,Direxion Daily FTSE China Bull 3x Shares_etf_Close_change
2016-01-03,13.42,13.42,13.42,0.0,0.0,13.45,13.45,13.45,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2016-01-10,10.29,10.29,10.29,0.0,0.0,10.62,10.62,10.62,0.0,0.0,9.88,9.88,9.88,0.0,0.0,10.46,10.46,10.46,0.0,0.0
2016-01-17,11.18,11.18,11.18,0.0,0.0,11.35,11.35,11.35,0.0,0.0,10.98,10.98,10.98,0.0,0.0,11.33,11.33,11.33,0.0,0.0
2016-01-24,11.48,11.48,11.48,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2016-01-31,10.69,10.69,10.69,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.01,10.01,10.01,0.0,0.0,10.16,10.16,10.16,0.0,0.0
2016-02-07,9.04,9.04,9.04,0.0,0.0,9.45,9.45,9.45,0.0,0.0,8.9,8.9,8.9,0.0,0.0,9.43,9.43,9.43,0.0,0.0
2016-02-14,10.8,10.8,10.8,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2016-02-21,11.03,11.03,11.03,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2016-02-28,12.81,12.81,12.81,0.0,0.0,13.64,13.64,13.64,0.0,0.0,12.72,12.72,12.72,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2016-03-06,12.82,12.82,12.82,0.0,0.0,13.29,13.29,13.29,0.0,0.0,12.8,12.8,12.8,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2016-03-13,14.32,14.32,14.32,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.26,14.26,14.26,0.0,0.0
2016-03-20,12.77,12.77,12.77,0.0,0.0,13.08,13.08,13.08,0.0,0.0,12.62,12.62,12.62,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2016-03-27,13.4,13.4,13.4,0.0,0.0,14.26,14.26,14.26,0.0,0.0,13.15,13.15,13.15,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2016-04-03,13.39,13.39,13.39,0.0,0.0,13.45,13.45,13.45,0.0,0.0,12.99,12.99,12.99,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2016-04-10,15.36,15.36,15.36,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.11,15.11,15.11,0.0,0.0
