Date,GPLStock_Open_average,GPLStock_Open_max,GPLStock_Open_min,GPLStock_Open_volatility,GPLStock_Open_change,GPLStock_High_average,GPLStock_High_max,GPLStock_High_min,GPLStock_High_volatility,GPLStock_High_change,GPLStock_Low_average,GPLStock_Low_max,GPLStock_Low_min,GPLStock_Low_volatility,GPLStock_Low_change,GPLStock_Close_average,GPLStock_Close_max,GPLStock_Close_min,GPLStock_Close_volatility,GPLStock_Close_change,GPLStock_Volume_average,GPLStock_Volume_max,GPLStock_Volume_min,GPLStock_Volume_volatility,GPLStock_Volume_change
2016-01-03,0.5142,0.527,0.5,0.027000000000000024,0.006000000000000005,0.5226000000000001,0.527,0.509,0.018000000000000016,0.0020000000000000018,0.495,0.507,0.485,0.02200000000000002,-0.02200000000000002,0.503,0.516,0.49,0.026000000000000023,-0.02100000000000002,26549,42341,15342,26999,25291
2016-01-10,0.4756,0.52,0.431,0.08900000000000002,-0.08900000000000002,0.4834,0.52,0.452,0.068,-0.068,0.4502,0.488,0.41,0.07800000000000001,-0.057999999999999996,0.453,0.49,0.41,0.08000000000000002,-0.052999999999999936,46236,66015,21732,44283,352
2016-01-17,0.42825,0.45,0.415,0.03500000000000003,0.02200000000000002,0.45125000000000004,0.46,0.428,0.03200000000000003,0.03200000000000003,0.41925,0.43,0.41200000000000003,0.01799999999999996,0.01799999999999996,0.44225000000000003,0.46,0.414,0.04600000000000004,0.030000000000000027,42946,69677,17266,52411,20735
2016-01-24,0.4876,0.51,0.45899999999999996,0.051000000000000045,0.051000000000000045,0.5058,0.52,0.47,0.050000000000000044,0.050000000000000044,0.48,0.504,0.45,0.05399999999999999,0.05399999999999999,0.49920000000000003,0.514,0.465,0.04899999999999999,0.04899999999999999,38611,52963,22677,30286,-30286
2016-01-31,0.5468,0.58,0.52,0.05999999999999994,0.05999999999999994,0.562,0.59,0.54,0.04999999999999993,0.04999999999999993,0.532,0.56,0.507,0.05300000000000005,0.039999999999999925,0.5454,0.5770000000000001,0.511,0.06600000000000006,0.04200000000000004,40626,60087,23275,36812,28265
2016-02-07,0.5772,0.605,0.541,0.06399999999999995,0.015000000000000013,0.5978,0.645,0.5539999999999999,0.09100000000000008,0.03500000000000003,0.5554,0.599,0.52,0.07899999999999996,0.050000000000000044,0.5768,0.645,0.531,0.11399999999999999,0.08999999999999997,74685,91406,24150,67256,-1378
2016-02-14,0.641,0.7,0.62,0.07999999999999996,0.07699999999999996,0.6815,0.75,0.636,0.11399999999999999,0.11399999999999999,0.635,0.7,0.6,0.09999999999999998,0.09999999999999998,0.66675,0.7390000000000001,0.61,0.12900000000000011,0.12900000000000011,63594,92859,18379,74480,-30250
2016-02-21,0.754,0.78,0.73,0.050000000000000044,0.040000000000000036,0.766,0.79,0.743,0.04700000000000004,0.02400000000000002,0.7118,0.75,0.68,0.06999999999999995,-0.0009999999999998899,0.7348,0.77,0.701,0.06900000000000006,-0.009000000000000008,106846,156833,64931,91902,32770
2016-02-28,0.7061999999999999,0.78,0.66,0.12,0.08700000000000008,0.7382,0.826,0.7,0.126,0.11599999999999999,0.6886,0.779,0.644,0.135,0.09899999999999998,0.7143999999999999,0.78,0.6779999999999999,0.10200000000000009,0.09200000000000008,67383,109815,44402,65413,62612
2016-03-06,0.8364,0.872,0.78,0.09199999999999997,0.027000000000000024,0.8574,0.888,0.8190000000000001,0.06899999999999995,0.03500000000000003,0.8044,0.852,0.764,0.08799999999999997,0.051000000000000045,0.8338000000000001,0.8740000000000001,0.8,0.07400000000000007,0.05500000000000005,76188,94713,53309,41404,-24512
2016-03-13,0.8754,1.0,0.77,0.22999999999999998,0.134,0.9378000000000001,1.04,0.8490000000000001,0.19099999999999995,0.15000000000000002,0.8542,0.96,0.77,0.18999999999999995,0.1499999999999999,0.9002,0.98,0.82,0.16000000000000003,0.16000000000000003,118779,170474,51017,119457,15964
2016-03-20,0.995,1.03,0.97,0.06000000000000005,0.020000000000000018,1.0350000000000001,1.07,1.02,0.050000000000000044,-0.010000000000000009,0.9722500000000001,1.03,0.932,0.09799999999999998,-0.0029999999999998916,1.00875,1.05,0.965,0.08500000000000008,-0.04500000000000004,116173,173463,64685,108778,-84435
2016-03-27,0.969,1.0,0.89,0.10999999999999999,-0.08999999999999997,1.0064,1.03,0.977,0.05300000000000005,-0.008000000000000007,0.9338,0.975,0.86,0.11499999999999999,-0.09999999999999998,0.9783999999999999,1.01,0.95,0.06000000000000005,-0.008000000000000007,102485,159297,70663,88634,51755
