Date,iShares MSCI Europe FinancialsEtf_Open_average,iShares MSCI Europe FinancialsEtf_Open_max,iShares MSCI Europe FinancialsEtf_Open_min,iShares MSCI Europe FinancialsEtf_Open_volatility,iShares MSCI Europe FinancialsEtf_Open_change,iShares MSCI Europe FinancialsEtf_High_average,iShares MSCI Europe FinancialsEtf_High_max,iShares MSCI Europe FinancialsEtf_High_min,iShares MSCI Europe FinancialsEtf_High_volatility,iShares MSCI Europe FinancialsEtf_High_change,iShares MSCI Europe FinancialsEtf_Low_average,iShares MSCI Europe FinancialsEtf_Low_max,iShares MSCI Europe FinancialsEtf_Low_min,iShares MSCI Europe FinancialsEtf_Low_volatility,iShares MSCI Europe FinancialsEtf_Low_change,iShares MSCI Europe FinancialsEtf_Close_average,iShares MSCI Europe FinancialsEtf_Close_max,iShares MSCI Europe FinancialsEtf_Close_min,iShares MSCI Europe FinancialsEtf_Close_volatility,iShares MSCI Europe FinancialsEtf_Close_change
2016-01-03,19.05,19.05,19.05,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2016-01-10,18.1,18.1,18.1,0.0,0.0,18.26,18.26,18.26,0.0,0.0,17.94,17.94,17.94,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2016-01-17,17.96,17.96,17.96,0.0,0.0,18.12,18.12,18.12,0.0,0.0,17.88,17.88,17.88,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2016-01-24,17.74,17.74,17.74,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.74,17.74,17.74,0.0,0.0,18.03,18.03,18.03,0.0,0.0
2016-01-31,17.51,17.51,17.51,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.22,17.22,17.22,0.0,0.0
2016-02-07,16.3,16.3,16.3,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.54,16.54,16.54,0.0,0.0
2016-02-14,16.75,16.75,16.75,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2016-02-21,17.06,17.06,17.06,0.0,0.0,17.1,17.1,17.1,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2016-02-28,18.04,18.04,18.04,0.0,0.0,18.15,18.15,18.15,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2016-03-06,18.61,18.61,18.61,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2016-03-13,18.63,18.63,18.63,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2016-03-20,17.61,17.61,17.61,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2016-03-27,17.63,17.63,17.63,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2016-04-03,17.32,17.32,17.32,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.28,17.28,17.28,0.0,0.0,17.35,17.35,17.35,0.0,0.0
2016-04-10,18.37,18.37,18.37,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2016-04-17,18.93,18.93,18.93,0.0,0.0,19.05,19.05,19.05,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.01,19.01,19.01,0.0,0.0
2016-04-24,18.97,18.97,18.97,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2016-05-01,17.73,17.73,17.73,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.94,17.94,17.94,0.0,0.0
2016-05-08,17.7,17.7,17.7,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2016-05-15,18.04,18.04,18.04,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2016-05-22,18.99,18.99,18.99,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2016-05-29,18.61,18.61,18.61,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2016-06-05,17.78,17.78,17.78,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.52,17.52,17.52,0.0,0.0
2016-06-12,17.29,17.29,17.29,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2016-06-19,15.64,15.64,15.64,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2016-06-26,15.67,15.67,15.67,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2016-07-03,15.04,15.04,15.04,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2016-07-10,16.0,16.0,16.0,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.93,15.93,15.93,0.0,0.0
