Date,WisdomTree Emerging Markets Local Debt_etf_Open_average,WisdomTree Emerging Markets Local Debt_etf_Open_max,WisdomTree Emerging Markets Local Debt_etf_Open_min,WisdomTree Emerging Markets Local Debt_etf_Open_volatility,WisdomTree Emerging Markets Local Debt_etf_Open_change,WisdomTree Emerging Markets Local Debt_etf_High_average,WisdomTree Emerging Markets Local Debt_etf_High_max,WisdomTree Emerging Markets Local Debt_etf_High_min,WisdomTree Emerging Markets Local Debt_etf_High_volatility,WisdomTree Emerging Markets Local Debt_etf_High_change,WisdomTree Emerging Markets Local Debt_etf_Low_average,WisdomTree Emerging Markets Local Debt_etf_Low_max,WisdomTree Emerging Markets Local Debt_etf_Low_min,WisdomTree Emerging Markets Local Debt_etf_Low_volatility,WisdomTree Emerging Markets Local Debt_etf_Low_change,WisdomTree Emerging Markets Local Debt_etf_Close_average,WisdomTree Emerging Markets Local Debt_etf_Close_max,WisdomTree Emerging Markets Local Debt_etf_Close_min,WisdomTree Emerging Markets Local Debt_etf_Close_volatility,WisdomTree Emerging Markets Local Debt_etf_Close_change
2016-01-03,33.64,33.64,33.64,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.46,33.46,33.46,0.0,0.0
2016-01-10,33.31,33.31,33.31,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2016-01-17,33.34,33.34,33.34,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2016-01-24,33.7,33.7,33.7,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2016-01-31,34.21,34.21,34.21,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2016-02-07,34.01,34.01,34.01,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2016-02-14,34.08,34.08,34.08,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2016-02-21,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2016-02-28,35.12,35.12,35.12,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-03-06,35.84,35.84,35.84,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.84,35.84,35.84,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2016-03-13,36.73,36.73,36.73,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2016-03-20,35.96,35.96,35.96,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2016-03-27,36.96,36.96,36.96,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2016-04-03,36.38,36.38,36.38,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-04-10,37.11,37.11,37.11,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2016-04-17,37.22,37.22,37.22,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2016-04-24,37.72,37.72,37.72,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2016-05-01,36.51,36.51,36.51,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2016-05-08,36.58,36.58,36.58,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2016-05-15,35.89,35.89,35.89,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2016-05-22,35.68,35.68,35.68,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.71,35.71,35.71,0.0,0.0
