Date,HSKA_stock_Open_average,HSKA_stock_Open_max,HSKA_stock_Open_min,HSKA_stock_Open_volatility,HSKA_stock_Open_change,HSKA_stock_High_average,HSKA_stock_High_max,HSKA_stock_High_min,HSKA_stock_High_volatility,HSKA_stock_High_change,HSKA_stock_Low_average,HSKA_stock_Low_max,HSKA_stock_Low_min,HSKA_stock_Low_volatility,HSKA_stock_Low_change,HSKA_stock_Close_average,HSKA_stock_Close_max,HSKA_stock_Close_min,HSKA_stock_Close_volatility,HSKA_stock_Close_change,HSKA_stock_Volume_average,HSKA_stock_Volume_max,HSKA_stock_Volume_min,HSKA_stock_Volume_volatility,HSKA_stock_Volume_change
2016-01-03,37.024,37.91,36.21,1.6999999999999957,-1.3199999999999932,37.406,38.29,36.58,1.7100000000000009,-1.6400000000000006,35.9,36.69,35.3,1.3900000000000006,-1.0899999999999963,36.648,37.47,35.78,1.6899999999999977,-1.1799999999999997,60307,85121,39583,45538,-11240
2016-01-10,35.89,36.77,34.41,2.3600000000000065,-1.8300000000000054,36.296,36.86,35.24,1.6199999999999974,-1.6199999999999974,34.532,35.85,32.87,2.980000000000004,-2.3000000000000043,35.376,36.3,33.99,2.309999999999995,-2.309999999999995,55561,68586,44490,24096,14735
2016-01-17,34.915,35.64,33.98,1.6600000000000037,1.0800000000000054,35.755,36.34,35.11,1.230000000000004,0.730000000000004,33.825,35.06,33.2,1.8599999999999994,1.8599999999999994,35.115,35.77,34.24,1.5300000000000011,1.5300000000000011,73178,115265,27997,87268,-87268
2016-01-24,36.226,37.33,35.17,2.1599999999999966,0.9200000000000017,37.076,37.92,35.94,1.980000000000004,1.980000000000004,35.438,36.49,34.59,1.8999999999999986,1.7600000000000051,36.38,37.36,34.87,2.490000000000002,2.490000000000002,57829,65320,47890,17430,2357
2016-01-31,36.796,37.43,36.38,1.0499999999999972,-0.7999999999999972,37.298,37.49,36.94,0.5500000000000043,-0.5500000000000043,36.076,36.55,35.5,1.0499999999999972,-1.0499999999999972,36.744,36.97,36.47,0.5,-0.4100000000000037,40561,52403,27610,24793,19930
2016-02-07,34.44,36.03,32.5,3.530000000000001,-3.530000000000001,35.306000000000004,37.52,33.34,4.18,-2.75,33.49,35.05,32.03,3.019999999999996,-3.019999999999996,33.82,35.34,32.5,2.8400000000000034,-2.8400000000000034,58120,75226,44089,31137,-20358
2016-02-14,32.1675,32.62,31.27,1.3499999999999979,-1.3499999999999979,32.68,33.03,31.98,1.0500000000000007,-1.0299999999999976,31.4225,32.22,31.03,1.1899999999999977,0.23999999999999844,31.8,32.31,31.25,1.0600000000000023,-0.5,39441,44727,32001,12726,-6809
2016-02-21,32.268,33.36,31.51,1.8499999999999979,1.8499999999999979,33.275999999999996,33.73,32.91,0.8200000000000003,-0.22999999999999687,32.03,32.67,31.46,1.2100000000000009,1.009999999999998,32.586,33.24,31.77,1.4700000000000024,0.9000000000000021,27592,56286,11866,44420,-44420
2016-02-28,32.68,34.96,31.0,3.960000000000001,-1.5300000000000011,33.192,35.34,31.0,4.340000000000003,-2.049999999999997,31.092,32.38,28.61,3.770000000000003,-3.700000000000003,31.976,33.64,30.05,3.59,-2.5100000000000016,105693,225256,34222,191034,166136
2016-03-06,31.68,32.56,30.0,2.5600000000000023,2.3900000000000006,32.944,33.25,32.61,0.6400000000000006,0.1600000000000037,31.064,31.58,30.0,1.5799999999999983,1.5599999999999987,32.196,32.94,31.44,1.4999999999999964,1.4999999999999964,75111,116703,40911,75792,-75792
