Date,Vanguard Growth_etf_Open_average,Vanguard Growth_etf_Open_max,Vanguard Growth_etf_Open_min,Vanguard Growth_etf_Open_volatility,Vanguard Growth_etf_Open_change,Vanguard Growth_etf_High_average,Vanguard Growth_etf_High_max,Vanguard Growth_etf_High_min,Vanguard Growth_etf_High_volatility,Vanguard Growth_etf_High_change,Vanguard Growth_etf_Low_average,Vanguard Growth_etf_Low_max,Vanguard Growth_etf_Low_min,Vanguard Growth_etf_Low_volatility,Vanguard Growth_etf_Low_change,Vanguard Growth_etf_Close_average,Vanguard Growth_etf_Close_max,Vanguard Growth_etf_Close_min,Vanguard Growth_etf_Close_volatility,Vanguard Growth_etf_Close_change
2016-01-03,101.59,101.59,101.59,0.0,0.0,101.81,101.81,101.81,0.0,0.0,99.67,99.67,99.67,0.0,0.0,99.84,99.84,99.84,0.0,0.0
2016-01-10,96.86,96.86,96.86,0.0,0.0,97.83,97.83,97.83,0.0,0.0,96.09,96.09,96.09,0.0,0.0,97.33,97.33,97.33,0.0,0.0
2016-01-17,98.68,98.68,98.68,0.0,0.0,99.51,99.51,99.51,0.0,0.0,98.52,98.52,98.52,0.0,0.0,99.41,99.41,99.41,0.0,0.0
2016-01-24,98.0,98.0,98.0,0.0,0.0,100.02,100.02,100.02,0.0,0.0,97.92,97.92,97.92,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2016-01-31,98.33,98.33,98.33,0.0,0.0,98.33,98.33,98.33,0.0,0.0,95.51,95.51,95.51,0.0,0.0,95.85,95.85,95.85,0.0,0.0
2016-02-07,94.61,94.61,94.61,0.0,0.0,95.23,95.23,95.23,0.0,0.0,93.89,93.89,93.89,0.0,0.0,95.19,95.19,95.19,0.0,0.0
2016-02-14,97.71,97.71,97.71,0.0,0.0,98.48,98.48,98.48,0.0,0.0,97.34,97.34,97.34,0.0,0.0,98.43,98.43,98.43,0.0,0.0
2016-02-21,101.06,101.06,101.06,0.0,0.0,101.1,101.1,101.1,0.0,0.0,100.29,100.29,100.29,0.0,0.0,100.43,100.43,100.43,0.0,0.0
2016-02-28,102.85,102.85,102.85,0.0,0.0,103.44,103.44,103.44,0.0,0.0,102.28,102.28,102.28,0.0,0.0,102.86,102.86,102.86,0.0,0.0
2016-03-06,102.93,102.93,102.93,0.0,0.0,103.9,103.9,103.9,0.0,0.0,102.88,102.88,102.88,0.0,0.0,103.85,103.85,103.85,0.0,0.0
