Date,IBIO_stock_Open_average,IBIO_stock_Open_max,IBIO_stock_Open_min,IBIO_stock_Open_volatility,IBIO_stock_Open_change,IBIO_stock_High_average,IBIO_stock_High_max,IBIO_stock_High_min,IBIO_stock_High_volatility,IBIO_stock_High_change,IBIO_stock_Low_average,IBIO_stock_Low_max,IBIO_stock_Low_min,IBIO_stock_Low_volatility,IBIO_stock_Low_change,IBIO_stock_Close_average,IBIO_stock_Close_max,IBIO_stock_Close_min,IBIO_stock_Close_volatility,IBIO_stock_Close_change,IBIO_stock_Volume_average,IBIO_stock_Volume_max,IBIO_stock_Volume_min,IBIO_stock_Volume_volatility,IBIO_stock_Volume_change
2016-01-03,0.546,0.57,0.52,0.04999999999999993,-0.010000000000000009,0.56,0.58,0.54,0.039999999999999925,-0.039999999999999925,0.528,0.55,0.51,0.040000000000000036,-0.030000000000000027,0.54,0.57,0.51,0.05999999999999994,-0.040000000000000036,12195,18231,6635,11596,-7821
2016-01-10,0.53,0.6,0.49,0.10999999999999999,0.06999999999999995,0.54,0.62,0.49,0.13,0.08999999999999997,0.488,0.56,0.45,0.11000000000000004,0.06000000000000005,0.514,0.56,0.47,0.09000000000000008,0.050000000000000044,47076,118252,5455,112797,112797
2016-01-17,0.5874999999999999,0.59,0.58,0.010000000000000009,0.010000000000000009,0.59,0.59,0.59,0.0,0.0,0.56,0.57,0.54,0.029999999999999916,0.009999999999999898,0.5775,0.59,0.56,0.029999999999999916,0.009999999999999898,25965,42534,8250,34284,-34284
2016-01-24,0.5640000000000001,0.63,0.53,0.09999999999999998,0.06999999999999995,0.5980000000000001,0.67,0.55,0.12,0.10999999999999999,0.538,0.6,0.5,0.09999999999999998,0.09999999999999998,0.5680000000000001,0.62,0.53,0.08999999999999997,0.05999999999999994,24860,66727,2400,64327,31746
2016-01-31,0.62,0.65,0.59,0.06000000000000005,-0.040000000000000036,0.648,0.65,0.64,0.010000000000000009,0.0,0.592,0.61,0.57,0.040000000000000036,0.030000000000000027,0.618,0.64,0.6,0.040000000000000036,0.0,9242,19852,3420,16432,-16377
2016-02-07,0.5640000000000001,0.62,0.54,0.07999999999999996,-0.05999999999999994,0.5700000000000001,0.62,0.55,0.06999999999999995,-0.05999999999999994,0.514,0.54,0.5,0.040000000000000036,0.040000000000000036,0.538,0.55,0.51,0.040000000000000036,-0.010000000000000009,16365,35749,5178,30571,-30571
2016-02-14,0.545,0.56,0.52,0.040000000000000036,0.030000000000000027,0.5675,0.57,0.56,0.009999999999999898,0.0,0.535,0.55,0.52,0.030000000000000027,0.010000000000000009,0.5575,0.57,0.54,0.029999999999999916,-0.020000000000000018,8140,10925,5756,5169,-518
2016-02-21,0.598,0.64,0.55,0.08999999999999997,0.08999999999999997,0.62,0.64,0.58,0.06000000000000005,0.06000000000000005,0.578,0.62,0.54,0.07999999999999996,0.029999999999999916,0.61,0.63,0.57,0.06000000000000005,0.050000000000000044,8166,15190,3205,11985,7736
2016-02-28,0.5780000000000001,0.62,0.56,0.05999999999999994,-0.05999999999999994,0.598,0.62,0.58,0.040000000000000036,-0.040000000000000036,0.554,0.56,0.55,0.010000000000000009,0.0,0.5700000000000001,0.59,0.55,0.039999999999999925,-0.039999999999999925,11439,16307,7443,8864,7853
2016-03-06,0.596,0.62,0.56,0.05999999999999994,0.05999999999999994,0.616,0.63,0.59,0.040000000000000036,0.040000000000000036,0.58,0.61,0.56,0.04999999999999993,0.029999999999999916,0.604,0.62,0.58,0.040000000000000036,0.040000000000000036,13414,22867,6712,16155,3866
