Date,CVIStock_Open_average,CVIStock_Open_max,CVIStock_Open_min,CVIStock_Open_volatility,CVIStock_Open_change,CVIStock_High_average,CVIStock_High_max,CVIStock_High_min,CVIStock_High_volatility,CVIStock_High_change,CVIStock_Low_average,CVIStock_Low_max,CVIStock_Low_min,CVIStock_Low_volatility,CVIStock_Low_change,CVIStock_Close_average,CVIStock_Close_max,CVIStock_Close_min,CVIStock_Close_volatility,CVIStock_Close_change,CVIStock_Volume_average,CVIStock_Volume_max,CVIStock_Volume_min,CVIStock_Volume_volatility,CVIStock_Volume_change
2016-01-03,37.748,38.88,36.74,2.1400000000000006,-1.490000000000002,38.33,38.98,37.67,1.3099999999999952,-1.1299999999999955,37.124,37.97,36.57,1.3999999999999986,-0.8999999999999986,37.682,38.72,36.72,2.0,-1.240000000000002,373049,405034,327025,78009,-57096
2016-01-10,36.644,37.68,35.22,2.460000000000001,-1.0700000000000003,37.404,38.32,35.99,2.3299999999999983,-2.0,35.352000000000004,36.77,34.4,2.3700000000000045,-1.8800000000000026,36.315999999999995,37.3,34.98,2.3200000000000003,-1.8500000000000014,349482,511460,175849,335611,-217164
2016-01-17,34.3125,35.75,33.73,2.020000000000003,-1.7999999999999972,35.3525,37.02,34.17,2.8500000000000014,1.1500000000000057,33.4175,34.05,32.66,1.3900000000000006,-0.3200000000000003,34.7525,36.77,33.73,3.0400000000000063,2.0,547778,680904,364304,316600,254086
2016-01-24,34.87,35.66,33.58,2.0799999999999983,-2.0799999999999983,35.582,36.94,34.76,2.1799999999999997,-1.8599999999999994,33.98,35.36,33.12,2.240000000000002,-2.1700000000000017,34.58,35.39,33.56,1.8299999999999983,-0.3399999999999963,369396,426223,326607,99616,-41493
2016-01-31,32.786,34.23,31.48,2.7499999999999964,-2.7499999999999964,33.222,34.73,31.83,2.8999999999999986,-2.8999999999999986,31.628,33.78,29.79,3.990000000000002,-3.990000000000002,31.924,34.01,29.83,4.18,-4.18,368033,439599,295401,144198,-112508
2016-02-07,27.784,29.28,26.59,2.6900000000000013,-2.6900000000000013,28.148,29.61,27.12,2.4899999999999984,-2.3599999999999994,26.701999999999998,27.7,24.88,2.8200000000000003,-1.3999999999999986,27.258,28.48,25.9,2.580000000000002,-1.879999999999999,480954,551780,361021,190759,-108841
2016-02-14,26.5,27.69,24.11,3.580000000000002,-2.8200000000000003,26.945,28.17,24.57,3.6000000000000014,-2.7300000000000004,25.18,26.81,23.02,3.789999999999999,-3.2699999999999996,25.6725,27.16,23.96,3.1999999999999993,-2.8999999999999986,584199,676864,385755,291109,291109
2016-02-21,23.464,24.35,22.31,2.0400000000000027,-1.1400000000000006,24.058,24.74,23.45,1.2899999999999991,-1.0699999999999967,22.612000000000002,23.93,22.05,1.879999999999999,-1.6699999999999982,23.154,23.99,22.31,1.6799999999999997,-1.6799999999999997,660739,944116,497859,446257,-268898
2016-02-28,23.756,24.68,22.48,2.1999999999999993,2.1999999999999993,24.308,24.87,23.7,1.1700000000000017,1.1700000000000017,23.194,23.63,22.36,1.2699999999999996,1.2300000000000004,23.908,24.56,23.65,0.9100000000000001,0.15000000000000213,521128,829076,258866,570210,-225540
2016-03-06,24.588,25.68,23.77,1.9100000000000001,1.9100000000000001,25.434,26.44,24.8,1.6400000000000006,1.6400000000000006,24.026,24.8,23.52,1.2800000000000011,1.1999999999999993,24.962,26.26,23.56,2.700000000000003,1.4600000000000009,662419,882032,567409,314623,17294
2016-03-13,25.672,26.26,25.05,1.2100000000000009,0.43000000000000327,26.412,26.75,25.3,1.4499999999999993,0.21000000000000085,25.1,25.94,24.03,1.9100000000000001,1.0599999999999987,25.724,26.36,24.84,1.5199999999999996,1.3599999999999994,639771,747842,481596,266246,129764
2016-03-20,26.0825,26.64,25.59,1.0500000000000007,-0.6099999999999994,26.52,26.87,26.2,0.6700000000000017,0.060000000000002274,25.5075,25.74,25.03,0.7099999999999973,-0.5599999999999987,26.225,26.87,25.74,1.1300000000000026,0.13000000000000256,372589,498599,272895,225704,70317
