Date,NSPR_stock_Open_average,NSPR_stock_Open_max,NSPR_stock_Open_min,NSPR_stock_Open_volatility,NSPR_stock_Open_change,NSPR_stock_High_average,NSPR_stock_High_max,NSPR_stock_High_min,NSPR_stock_High_volatility,NSPR_stock_High_change,NSPR_stock_Low_average,NSPR_stock_Low_max,NSPR_stock_Low_min,NSPR_stock_Low_volatility,NSPR_stock_Low_change,NSPR_stock_Close_average,NSPR_stock_Close_max,NSPR_stock_Close_min,NSPR_stock_Close_volatility,NSPR_stock_Close_change,NSPR_stock_Volume_average,NSPR_stock_Volume_max,NSPR_stock_Volume_min,NSPR_stock_Volume_volatility,NSPR_stock_Volume_change
2016-01-03,20.39,22.975,18.5,4.475000000000001,-4.475000000000001,20.9456,23.25,19.725,3.5249999999999986,-2.75,18.9658,22.25,17.75,4.5,-3.75,19.7088,22.441999999999997,17.75,4.691999999999997,-1.9419999999999966,328,587,184,403,-284
2016-01-10,383.8174,645.837,19.5,626.337,601.75,385.925,655.375,20.0,635.375,600.75,364.363,612.5,17.503,594.997,575.688,369.7506,612.5,17.503,594.997,575.0,73,309,3,306,-32
2016-01-17,547.00625,612.5,473.025,139.47500000000002,-139.47500000000002,562.66875,623.175,507.5,115.67499999999995,-115.67499999999995,509.928,586.25,455.875,130.375,-130.375,512.96875,586.25,455.875,130.375,-130.375,7,9,5,4,1
2016-01-24,507.5,568.75,455.0,113.75,43.75,530.635,568.75,498.75,70.0,-63.174999999999955,483.68260000000004,498.75,455.0,43.75,36.22500000000002,501.65500000000003,533.75,485.8,47.94999999999999,-42.52499999999998,2,4,1,3,-1
2016-01-31,496.1252,516.25,483.43800000000005,32.811999999999955,-15.311999999999955,496.4226,516.25,483.43800000000005,32.811999999999955,-15.311999999999955,488.95,516.25,465.06199999999995,51.188000000000045,-33.688000000000045,493.7974,516.25,481.25,35.0,-17.5,15,35,1,34,-5
2016-02-07,466.2,491.75,437.5,54.25,36.75,481.775,497.875,463.75,34.125,28.0,456.75,481.25,428.75,52.5,26.25,466.6374,497.875,428.75,69.125,19.688000000000045,10,26,1,25,15
2016-02-14,439.6875,463.75,420.0,43.75,-43.75,452.375,481.25,420.0,61.25,-50.75,380.84375,428.75,350.875,77.875,-26.25,401.84375,437.5,358.75,78.75,-78.75,8,14,3,11,9
2016-02-21,367.1674,385.087,341.25,43.83699999999999,26.25,381.0798,393.75,367.5,26.25,-26.25,353.605,367.5,341.25,26.25,8.75,370.3874,385.0,355.25,29.75,-21.0,13,32,1,31,-3
2016-02-28,389.25239999999997,435.925,356.125,79.80000000000001,79.80000000000001,413.4024,492.625,377.125,115.5,115.23800000000006,384.965,427.875,351.75,76.125,76.125,403.025,481.25,368.375,112.875,112.875,6,12,1,11,3
2016-03-06,647.325,769.125,525.0,244.125,140.0,696.325,813.75,577.5,236.25,87.5,579.3024,656.25,490.0,166.25,-15.399999999999977,658.0,770.0,577.5,192.5,61.25,8,22,3,19,-4
2016-03-13,574.5076,708.75,506.625,202.125,-99.66300000000001,605.3424,743.837,506.625,237.212,-218.75,533.1378,708.75,446.86300000000006,261.88699999999994,-99.66300000000001,570.5174,726.25,455.087,271.163,-245.0,17,57,2,55,1
2016-03-20,480.6375,507.5,463.663,43.83699999999999,-43.83699999999999,480.9875,507.5,463.75,43.75,-43.75,458.17175,481.163,437.5,43.66300000000001,-43.66300000000001,464.275,481.163,437.5,43.66300000000001,-43.66300000000001,6,12,1,11,3
2016-03-27,454.825,481.25,428.75,52.5,8.75,470.54,481.25,462.875,18.375,-17.67500000000001,437.29,446.25,428.75,17.5,6.649999999999977,448.2276,463.48800000000006,435.4,28.08800000000008,-28.08800000000008,2,6,2,4,0
2016-04-03,444.78,472.5,420.0,52.5,36.92500000000001,461.37,507.5,437.325,70.17500000000001,52.67500000000001,439.075,472.5,420.0,52.5,52.32499999999999,451.5,490.0,428.75,61.25,52.5,18,49,2,47,46
2016-04-10,518.35,529.375,507.5,21.875,6.125,524.055,533.75,515.9,17.850000000000023,-17.850000000000023,490.875,511.875,428.75,83.125,-78.75,497.84000000000003,529.2,437.5,91.70000000000005,-91.70000000000005,24,71,2,69,-54
2016-04-17,451.5,463.75,433.125,30.625,-4.375,463.54,463.75,462.875,0.875,0.0,423.325,437.5,404.075,33.42500000000001,15.925000000000011,444.255,455.0,420.0,35.0,-22.225000000000023,10,17,1,16,0
2016-04-24,453.74,496.125,420.875,75.25,60.19999999999999,481.46,507.325,446.075,61.25,35.0,431.585,437.675,420.875,16.80000000000001,7.875,454.895,476.525,428.75,47.77499999999998,-12.949999999999989,5,11,1,10,4
2016-05-01,455.805,472.5,428.75,43.75,26.25,465.4826,481.25,455.0,26.25,0.0,433.965,437.5,428.75,8.75,8.75,448.8226,463.663,433.125,30.53800000000001,21.875,9,16,1,15,-6
2016-05-08,411.25,455.0,367.5,87.5,-70.0,418.6174,455.0,385.0,70.0,-70.0,392.245,428.75,361.375,67.375,-52.32499999999999,401.3798,431.63699999999994,376.51199999999994,55.125,-52.238000000000056,10,19,2,17,-10
2016-05-15,335.825,369.25,297.5,71.75,4.375,363.825,406.0,304.5,101.5,37.625,305.4274,358.75,281.837,76.91300000000001,-52.5,336.0174,367.5,297.5,70.0,8.663000000000011,20,44,1,43,17
2016-05-22,352.415,385.0,323.75,61.25,33.42500000000001,366.66,385.0,323.75,61.25,30.44999999999999,333.9176,366.538,306.25,60.28800000000001,54.94999999999999,357.875,385.0,315.0,70.0,61.25,7,18,2,16,-13
2016-05-29,391.7595,410.288,373.625,36.66300000000001,7.0,405.45325,419.825,380.625,39.19999999999999,-30.44999999999999,362.81875,402.325,341.68800000000005,60.636999999999944,12.511999999999944,390.38125,415.45,358.575,56.875,-48.30000000000001,10,20,3,17,-6
2016-06-05,373.9576,393.75,352.538,41.21199999999999,19.33699999999999,395.21999999999997,402.325,392.875,9.449999999999989,0.0,359.7126,369.95,350.0,19.94999999999999,14.786999999999978,380.1,393.75,369.95,23.80000000000001,2.4499999999999886,7,15,1,14,9
2016-06-12,351.33,384.825,306.25,78.57499999999999,-73.5,364.49,384.825,340.375,44.44999999999999,-39.375,330.6274,358.75,297.5,61.25,-53.28800000000001,340.3924,376.25,301.962,74.28800000000001,-53.375,38,131,7,124,124
2016-06-19,320.04,341.25,300.125,41.125,26.25,338.2752,376.075,306.075,70.0,23.012,295.75,323.925,271.775,52.150000000000034,-32.72500000000002,317.94,332.5,306.075,26.42500000000001,6.125,36,60,9,51,-7
2016-06-26,309.435,367.5,236.25,131.25,-131.25,317.975,367.5,262.5,105.0,-105.0,282.1176,313.25,212.188,101.06200000000001,-85.137,291.2524,323.75,225.312,98.43799999999999,-98.43799999999999,29,73,1,72,30
2016-07-03,207.922,227.5,199.938,27.562000000000012,-26.25,212.58125,227.5,201.25,26.25,-26.25,188.01575,199.938,175.0,24.937999999999988,-18.375,194.6655,201.25,175.0,26.25,-26.25,137,182,90,92,92
