Date,Guggenheim CurrencyShares Japanese Yen_etf_Open_average,Guggenheim CurrencyShares Japanese Yen_etf_Open_max,Guggenheim CurrencyShares Japanese Yen_etf_Open_min,Guggenheim CurrencyShares Japanese Yen_etf_Open_volatility,Guggenheim CurrencyShares Japanese Yen_etf_Open_change,Guggenheim CurrencyShares Japanese Yen_etf_High_average,Guggenheim CurrencyShares Japanese Yen_etf_High_max,Guggenheim CurrencyShares Japanese Yen_etf_High_min,Guggenheim CurrencyShares Japanese Yen_etf_High_volatility,Guggenheim CurrencyShares Japanese Yen_etf_High_change,Guggenheim CurrencyShares Japanese Yen_etf_Low_average,Guggenheim CurrencyShares Japanese Yen_etf_Low_max,Guggenheim CurrencyShares Japanese Yen_etf_Low_min,Guggenheim CurrencyShares Japanese Yen_etf_Low_volatility,Guggenheim CurrencyShares Japanese Yen_etf_Low_change,Guggenheim CurrencyShares Japanese Yen_etf_Close_average,Guggenheim CurrencyShares Japanese Yen_etf_Close_max,Guggenheim CurrencyShares Japanese Yen_etf_Close_min,Guggenheim CurrencyShares Japanese Yen_etf_Close_volatility,Guggenheim CurrencyShares Japanese Yen_etf_Close_change
2016-01-03,82.07,82.07,82.07,0.0,0.0,82.49,82.49,82.49,0.0,0.0,81.96,81.96,81.96,0.0,0.0,82.47,82.47,82.47,0.0,0.0
2016-01-10,82.93,82.93,82.93,0.0,0.0,83.14,83.14,83.14,0.0,0.0,82.68,82.68,82.68,0.0,0.0,82.8,82.8,82.8,0.0,0.0
2016-01-17,81.84,81.84,81.84,0.0,0.0,81.91,81.91,81.91,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.55,81.55,81.55,0.0,0.0
2016-01-24,79.86,79.86,79.86,0.0,0.0,80.09,80.09,80.09,0.0,0.0,79.59,79.59,79.59,0.0,0.0,80.01,80.01,80.01,0.0,0.0
2016-01-31,82.63,82.63,82.63,0.0,0.0,82.88,82.88,82.88,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.8,82.8,82.8,0.0,0.0
2016-02-07,85.8,85.8,85.8,0.0,0.0,85.98,85.98,85.98,0.0,0.0,85.28,85.28,85.28,0.0,0.0,85.48,85.48,85.48,0.0,0.0
2016-02-14,85.67,85.67,85.67,0.0,0.0,86.19,86.19,86.19,0.0,0.0,85.64,85.64,85.64,0.0,0.0,85.92,85.92,85.92,0.0,0.0
2016-02-21,85.25,85.25,85.25,0.0,0.0,85.3,85.3,85.3,0.0,0.0,84.96,84.96,84.96,0.0,0.0,84.99,84.99,84.99,0.0,0.0
2016-02-28,85.21,85.21,85.21,0.0,0.0,85.56,85.56,85.56,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.94,84.94,84.94,0.0,0.0
2016-03-06,85.2,85.2,85.2,0.0,0.0,85.41,85.41,85.41,0.0,0.0,85.06,85.06,85.06,0.0,0.0,85.09,85.09,85.09,0.0,0.0
2016-03-13,86.83,86.83,86.83,0.0,0.0,86.96,86.96,86.96,0.0,0.0,86.63,86.63,86.63,0.0,0.0,86.68,86.68,86.68,0.0,0.0
2016-03-20,86.06,86.06,86.06,0.0,0.0,86.13,86.13,86.13,0.0,0.0,85.78,85.78,85.78,0.0,0.0,85.81,85.81,85.81,0.0,0.0
2016-03-27,86.33,86.33,86.33,0.0,0.0,86.74,86.74,86.74,0.0,0.0,86.11,86.11,86.11,0.0,0.0,86.67,86.67,86.67,0.0,0.0
2016-04-03,88.99,88.99,88.99,0.0,0.0,89.49,89.49,89.49,0.0,0.0,88.96,88.96,88.96,0.0,0.0,89.44,89.44,89.44,0.0,0.0
2016-04-10,88.79,88.79,88.79,0.0,0.0,89.09,89.09,89.09,0.0,0.0,88.79,88.79,88.79,0.0,0.0,89.03,89.03,89.03,0.0,0.0
2016-04-17,86.95,86.95,86.95,0.0,0.0,87.01,87.01,87.01,0.0,0.0,86.56,86.56,86.56,0.0,0.0,86.73,86.73,86.73,0.0,0.0
2016-04-24,90.19,90.19,90.19,0.0,0.0,91.05,91.05,91.05,0.0,0.0,90.09,90.09,90.09,0.0,0.0,90.93,90.93,90.93,0.0,0.0
2016-05-01,90.67,90.67,90.67,0.0,0.0,90.81,90.81,90.81,0.0,0.0,90.26,90.26,90.26,0.0,0.0,90.34,90.34,90.34,0.0,0.0
2016-05-08,88.62,88.62,88.62,0.0,0.0,89.11,89.11,89.11,0.0,0.0,88.36,88.36,88.36,0.0,0.0,89.11,89.11,89.11,0.0,0.0
2016-05-15,87.68,87.68,87.68,0.0,0.0,87.88,87.88,87.88,0.0,0.0,87.49,87.49,87.49,0.0,0.0,87.76,87.76,87.76,0.0,0.0
2016-05-22,88.16,88.16,88.16,0.0,0.0,88.2,88.2,88.2,0.0,0.0,87.58,87.58,87.58,0.0,0.0,87.65,87.65,87.65,0.0,0.0
2016-05-29,90.06,90.06,90.06,0.0,0.0,90.75,90.75,90.75,0.0,0.0,90.06,90.06,90.06,0.0,0.0,90.75,90.75,90.75,0.0,0.0
2016-06-05,90.53,90.53,90.53,0.0,0.0,90.71,90.71,90.71,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.6,90.6,90.6,0.0,0.0
2016-06-12,92.79,92.79,92.79,0.0,0.0,92.84,92.84,92.84,0.0,0.0,92.7,92.7,92.7,0.0,0.0,92.83,92.83,92.83,0.0,0.0
2016-06-19,94.66,94.66,94.66,0.0,0.0,94.71,94.71,94.71,0.0,0.0,94.3,94.3,94.3,0.0,0.0,94.57,94.57,94.57,0.0,0.0
2016-06-26,94.2,94.2,94.2,0.0,0.0,94.36,94.36,94.36,0.0,0.0,94.1,94.1,94.1,0.0,0.0,94.24,94.24,94.24,0.0,0.0
2016-07-03,96.19,96.19,96.19,0.0,0.0,96.29,96.29,96.29,0.0,0.0,95.93,95.93,95.93,0.0,0.0,96.26,96.26,96.26,0.0,0.0
2016-07-10,91.2,91.2,91.2,0.0,0.0,91.85,91.85,91.85,0.0,0.0,91.2,91.2,91.2,0.0,0.0,91.62,91.62,91.62,0.0,0.0
