Date,ELSE_stock_Open_average,ELSE_stock_Open_max,ELSE_stock_Open_min,ELSE_stock_Open_volatility,ELSE_stock_Open_change,ELSE_stock_High_average,ELSE_stock_High_max,ELSE_stock_High_min,ELSE_stock_High_volatility,ELSE_stock_High_change,ELSE_stock_Low_average,ELSE_stock_Low_max,ELSE_stock_Low_min,ELSE_stock_Low_volatility,ELSE_stock_Low_change,ELSE_stock_Close_average,ELSE_stock_Close_max,ELSE_stock_Close_min,ELSE_stock_Close_volatility,ELSE_stock_Close_change,ELSE_stock_Volume_average,ELSE_stock_Volume_max,ELSE_stock_Volume_min,ELSE_stock_Volume_volatility,ELSE_stock_Volume_change
2016-01-03,3.685,3.74,3.58,0.16000000000000014,0.1499999999999999,3.74,3.75,3.73,0.020000000000000018,-0.020000000000000018,3.6550000000000002,3.74,3.46,0.28000000000000025,0.27,3.6675,3.74,3.46,0.28000000000000025,0.27,6846,22086,0,22086,-22066
2016-01-10,3.6550000000000002,3.72,3.52,0.20000000000000018,-0.16000000000000014,3.66,3.72,3.54,0.18000000000000016,-0.14000000000000012,3.565,3.67,3.51,0.16000000000000014,-0.040000000000000036,3.5925000000000002,3.67,3.54,0.1299999999999999,-0.020000000000000018,795,1363,204,1159,1159
2016-01-17,3.465,3.68,3.36,0.3200000000000003,-0.050000000000000266,3.6325000000000003,3.73,3.36,0.3700000000000001,-0.3600000000000003,3.4525,3.68,3.36,0.3200000000000003,-0.050000000000000266,3.495,3.7,3.36,0.3400000000000003,-0.050000000000000266,2831,7341,112,7229,-2610
2016-01-24,3.4850000000000003,3.61,3.43,0.17999999999999972,0.040000000000000036,3.4850000000000003,3.61,3.43,0.17999999999999972,0.040000000000000036,3.4825,3.61,3.42,0.18999999999999995,0.040000000000000036,3.4825,3.61,3.42,0.18999999999999995,0.040000000000000036,469,1566,0,1566,-49
2016-01-31,3.5220000000000002,3.62,3.43,0.18999999999999995,0.07999999999999963,3.548,3.62,3.43,0.18999999999999995,0.13999999999999968,3.5140000000000002,3.62,3.43,0.18999999999999995,0.07999999999999963,3.54,3.62,3.43,0.18999999999999995,0.13999999999999968,538,960,23,937,741
2016-02-07,3.454,3.7,3.3,0.40000000000000036,-0.30000000000000027,3.454,3.7,3.3,0.40000000000000036,-0.30000000000000027,3.404,3.7,3.3,0.40000000000000036,-0.3900000000000001,3.404,3.7,3.3,0.40000000000000036,-0.3900000000000001,3905,18029,0,18029,300
2016-02-14,3.4074999999999998,3.46,3.34,0.1200000000000001,-0.03000000000000025,3.4275,3.46,3.4,0.06000000000000005,-0.03000000000000025,3.38,3.46,3.33,0.1299999999999999,0.050000000000000266,3.4025,3.46,3.34,0.1200000000000001,0.050000000000000266,431,700,25,675,195
2016-02-21,3.43,3.48,3.4,0.08000000000000007,0.06999999999999984,3.43,3.48,3.4,0.08000000000000007,0.06999999999999984,3.43,3.48,3.4,0.08000000000000007,0.06999999999999984,3.43,3.48,3.4,0.08000000000000007,0.06999999999999984,338,800,1,799,-213
2016-02-28,3.4050000000000002,3.48,3.33,0.1499999999999999,-0.08000000000000007,3.415,3.48,3.37,0.10999999999999988,-0.08000000000000007,3.365,3.48,3.17,0.31000000000000005,-0.08000000000000007,3.38,3.48,3.23,0.25,-0.08000000000000007,5778,21417,0,21417,1597
2016-03-06,3.352,3.4,3.28,0.1200000000000001,0.1200000000000001,3.358,3.41,3.29,0.1200000000000001,0.10999999999999988,3.316,3.4,3.26,0.14000000000000012,0.1299999999999999,3.318,3.4,3.26,0.14000000000000012,0.1299999999999999,1089,1850,315,1535,-1517
