Date,EXPE_stock_Open_average,EXPE_stock_Open_max,EXPE_stock_Open_min,EXPE_stock_Open_volatility,EXPE_stock_Open_change,EXPE_stock_High_average,EXPE_stock_High_max,EXPE_stock_High_min,EXPE_stock_High_volatility,EXPE_stock_High_change,EXPE_stock_Low_average,EXPE_stock_Low_max,EXPE_stock_Low_min,EXPE_stock_Low_volatility,EXPE_stock_Low_change,EXPE_stock_Close_average,EXPE_stock_Close_max,EXPE_stock_Close_min,EXPE_stock_Close_volatility,EXPE_stock_Close_change,EXPE_stock_Volume_average,EXPE_stock_Volume_max,EXPE_stock_Volume_min,EXPE_stock_Volume_volatility,EXPE_stock_Volume_change
2016-01-03,118.628,121.26,116.06,5.200000000000003,-5.200000000000003,119.714,122.13,116.5,5.6299999999999955,-5.5,115.842,119.06,111.25,7.810000000000002,-7.810000000000002,117.19800000000001,120.8,111.41,9.39,-9.39,2675132,3723842,2008848,1714994,-607620
2016-01-10,109.38,112.44,103.56,8.879999999999995,-8.549999999999997,110.464,113.12,104.02,9.100000000000009,-8.760000000000005,105.432,110.15,99.56,10.590000000000003,-9.689999999999998,107.98,111.9,102.76,9.14,-8.439999999999998,3013271,4698636,1847121,2851515,2520695
2016-01-17,105.7375,108.0,103.75,4.25,3.1899999999999977,107.8775,109.24,106.77,2.469999999999999,2.469999999999999,103.845,106.04,100.07,5.970000000000013,1.960000000000008,106.28,107.12,105.32,1.8000000000000114,1.8000000000000114,2588567,3304083,1630098,1673985,-1673985
2016-01-24,102.992,106.88,99.22,7.659999999999997,-7.659999999999997,104.11,107.86,101.27,6.590000000000003,-6.590000000000003,100.338,104.98,97.22,7.760000000000005,-6.8500000000000085,101.88,105.21,98.69,6.519999999999996,-4.1699999999999875,2438500,3269688,1852687,1417001,204012
2016-01-31,99.098,101.44,95.97,5.469999999999999,-1.0900000000000034,100.624,102.93,99.08,3.8500000000000085,-3.8200000000000074,94.976,98.71,91.91,6.799999999999997,-6.799999999999997,98.12,102.15,93.54,8.61,-8.61,3397070,5815090,2331051,3484039,3126065
2016-02-07,95.958,104.71,90.25,14.459999999999994,13.33999999999999,98.868,106.21,92.27,13.939999999999998,13.939999999999998,93.382,99.37,88.4,10.969999999999999,10.969999999999999,96.828,103.37,91.53,11.840000000000003,10.719999999999999,6250973,11008859,4471170,6537689,38078
2016-02-14,107.09,110.01,103.35,6.660000000000011,3.690000000000012,109.59,112.62,105.45,7.170000000000002,3.3100000000000023,105.265,107.7,101.14,6.560000000000002,3.799999999999997,108.115,110.88,105.44,5.439999999999998,3.230000000000004,3490224,4596244,1992657,2603587,-1991523
2016-02-21,105.45833333333333,106.6,103.16,3.4399999999999977,-1.0700000000000074,106.52833333333334,108.24,105.26,2.9799999999999898,-2.719999999999999,103.65833333333333,105.62,100.47,5.150000000000006,-0.13000000000000966,105.265,106.96,104.16,2.799999999999997,-1.4699999999999989,2108493,2812021,1355230,1456791,-1238513
2016-02-28,106.472,108.89,104.19,4.700000000000003,4.700000000000003,108.314,109.22,106.19,3.030000000000001,2.9000000000000057,104.98,107.14,102.85,4.290000000000006,3.1299999999999955,107.214,108.53,104.11,4.420000000000002,4.420000000000002,1946861,2283313,1677315,605998,-167282
2016-03-06,107.35,110.55,104.94,5.609999999999999,3.019999999999996,109.384,115.01,106.23,8.780000000000001,7.140000000000001,105.81,110.24,103.35,6.890000000000001,5.449999999999989,108.05,114.93,104.86,10.070000000000007,9.540000000000006,2819207,3803089,1891805,1911284,1410759
2016-03-13,114.336,116.2,111.9,4.299999999999997,-1.519999999999996,116.036,118.64,111.9,6.739999999999995,-6.739999999999995,111.946,114.86,109.0,5.859999999999999,-4.420000000000002,113.726,116.39,110.19,6.200000000000003,-6.200000000000003,3524958,4239700,2505350,1734350,83448
2016-03-20,108.92750000000001,110.14,108.09,2.049999999999997,-2.0,109.8075,111.52,108.38,3.1400000000000006,-3.1400000000000006,107.7875,108.42,106.5,1.9200000000000017,-1.9200000000000017,109.12,110.88,107.69,3.1899999999999977,-3.1899999999999977,2234435,2584761,1642723,942038,-70202
2016-03-27,107.494,108.24,106.45,1.789999999999992,-1.2399999999999949,108.448,109.19,107.96,1.230000000000004,0.7600000000000051,106.106,107.51,104.96,2.5500000000000114,0.7199999999999989,107.532,108.2,106.6,1.6000000000000085,1.6000000000000085,2313510,2783538,1386426,1397112,167830
2016-04-03,105.32,108.32,104.1,4.219999999999999,-4.219999999999999,106.08800000000001,108.62,104.1,4.52000000000001,-4.52000000000001,103.256,104.22,102.42,1.7999999999999972,-1.2399999999999949,104.294,105.74,102.97,2.769999999999996,-2.1700000000000017,2771920,3831404,2143624,1687780,-1177295
2016-04-10,105.606,109.06,102.05,7.010000000000005,5.980000000000004,106.98,109.5,104.11,5.390000000000001,5.1200000000000045,104.804,107.81,101.84,5.969999999999999,5.969999999999999,106.286,109.16,101.96,7.200000000000003,7.200000000000003,2240934,3084223,1677545,1406678,568716
2016-04-17,108.52199999999999,109.16,107.71,1.4500000000000028,-1.0900000000000034,109.524,111.25,108.72,2.530000000000001,-2.530000000000001,107.03999999999999,109.16,105.99,3.1700000000000017,-3.1700000000000017,108.546,111.03,107.51,3.519999999999996,-3.519999999999996,2193014,3681061,1373089,2307972,-307201
2016-04-24,108.85000000000001,116.84,106.03,10.810000000000002,9.689999999999998,110.228,118.0,106.91,11.090000000000003,10.5,107.482,113.77,105.36,8.409999999999997,8.079999999999998,108.72,115.77,106.43,9.33999999999999,9.33999999999999,4145259,8366199,1301612,7064587,6646884
2016-05-01,114.144,115.76,112.0,3.760000000000005,-3.760000000000005,115.42,116.99,113.33,3.6599999999999966,-3.6599999999999966,113.032,114.4,111.55,2.8500000000000085,-2.3200000000000074,114.462,116.52,112.55,3.969999999999999,-3.3599999999999994,2691909,3588130,1813528,1774602,-1774602
