Date,ProShares Ultra VIX Short-Term Futures_etf_Open_average,ProShares Ultra VIX Short-Term Futures_etf_Open_max,ProShares Ultra VIX Short-Term Futures_etf_Open_min,ProShares Ultra VIX Short-Term Futures_etf_Open_volatility,ProShares Ultra VIX Short-Term Futures_etf_Open_change,ProShares Ultra VIX Short-Term Futures_etf_High_average,ProShares Ultra VIX Short-Term Futures_etf_High_max,ProShares Ultra VIX Short-Term Futures_etf_High_min,ProShares Ultra VIX Short-Term Futures_etf_High_volatility,ProShares Ultra VIX Short-Term Futures_etf_High_change,ProShares Ultra VIX Short-Term Futures_etf_Low_average,ProShares Ultra VIX Short-Term Futures_etf_Low_max,ProShares Ultra VIX Short-Term Futures_etf_Low_min,ProShares Ultra VIX Short-Term Futures_etf_Low_volatility,ProShares Ultra VIX Short-Term Futures_etf_Low_change,ProShares Ultra VIX Short-Term Futures_etf_Close_average,ProShares Ultra VIX Short-Term Futures_etf_Close_max,ProShares Ultra VIX Short-Term Futures_etf_Close_min,ProShares Ultra VIX Short-Term Futures_etf_Close_volatility,ProShares Ultra VIX Short-Term Futures_etf_Close_change
2016-01-03,17920.0,17920.0,17920.0,0.0,0.0,21985.0,21985.0,21985.0,0.0,0.0,17515.0,17515.0,17515.0,0.0,0.0,21407.5,21407.5,21407.5,0.0,0.0
2016-01-10,24600.0,24600.0,24600.0,0.0,0.0,25695.0,25695.0,25695.0,0.0,0.0,22900.0,22900.0,22900.0,0.0,0.0,24075.0,24075.0,24075.0,0.0,0.0
2016-01-17,22825.0,22825.0,22825.0,0.0,0.0,23340.0,23340.0,23340.0,0.0,0.0,20875.0,20875.0,20875.0,0.0,0.0,20928.5,20928.5,20928.5,0.0,0.0
2016-01-24,20675.0,20675.0,20675.0,0.0,0.0,20910.0,20910.0,20910.0,0.0,0.0,19115.0,19115.0,19115.0,0.0,0.0,19235.0,19235.0,19235.0,0.0,0.0
2016-01-31,21080.0,21080.0,21080.0,0.0,0.0,23550.0,23550.0,23550.0,0.0,0.0,21030.0,21030.0,21030.0,0.0,0.0,22800.0,22800.0,22800.0,0.0,0.0
2016-02-07,27330.0,27330.0,27330.0,0.0,0.0,28655.0,28655.0,28655.0,0.0,0.0,26480.0,26480.0,26480.0,0.0,0.0,26630.4,26630.4,26630.4,0.0,0.0
2016-02-14,22915.0,22915.0,22915.0,0.0,0.0,23305.0,23305.0,23305.0,0.0,0.0,20922.0,20922.0,20922.0,0.0,0.0,20975.0,20975.0,20975.0,0.0,0.0
2016-02-21,18195.0,18195.0,18195.0,0.0,0.0,19675.0,19675.0,19675.0,0.0,0.0,18000.0,18000.0,18000.0,0.0,0.0,19305.0,19305.0,19305.0,0.0,0.0
2016-02-28,14310.0,14310.0,14310.0,0.0,0.0,15460.0,15460.0,15460.0,0.0,0.0,14155.0,14155.0,14155.0,0.0,0.0,15125.0,15125.0,15125.0,0.0,0.0
2016-03-06,14575.0,14575.0,14575.0,0.0,0.0,14740.0,14740.0,14740.0,0.0,0.0,13775.0,13775.0,13775.0,0.0,0.0,13810.0,13810.0,13810.0,0.0,0.0
