Date,IAF_stock_Open_average,IAF_stock_Open_max,IAF_stock_Open_min,IAF_stock_Open_volatility,IAF_stock_Open_change,IAF_stock_High_average,IAF_stock_High_max,IAF_stock_High_min,IAF_stock_High_volatility,IAF_stock_High_change,IAF_stock_Low_average,IAF_stock_Low_max,IAF_stock_Low_min,IAF_stock_Low_volatility,IAF_stock_Low_change,IAF_stock_Close_average,IAF_stock_Close_max,IAF_stock_Close_min,IAF_stock_Close_volatility,IAF_stock_Close_change,IAF_stock_Volume_average,IAF_stock_Volume_max,IAF_stock_Volume_min,IAF_stock_Volume_volatility,IAF_stock_Volume_change
2016-01-03,5.16,5.29,5.05,0.2400000000000002,-0.1900000000000004,5.186,5.33,5.05,0.28000000000000025,-0.28000000000000025,5.094,5.27,4.87,0.39999999999999947,-0.3700000000000001,5.168,5.33,4.98,0.34999999999999964,-0.34999999999999964,15461,20732,7723,13009,-162
2016-01-10,4.97,5.07,4.8,0.27000000000000046,-0.20000000000000018,4.98,5.09,4.82,0.2699999999999996,-0.17999999999999972,4.902,4.95,4.77,0.1800000000000006,-0.15000000000000036,4.928,4.99,4.77,0.22000000000000064,-0.1800000000000006,22451,38858,9554,29304,-19372
2016-01-17,4.795,4.88,4.76,0.1200000000000001,0.11000000000000032,4.8375,4.91,4.77,0.14000000000000057,0.04999999999999982,4.76,4.88,4.65,0.22999999999999954,0.11000000000000032,4.8125,4.89,4.71,0.17999999999999972,0.04999999999999982,18523,34741,1954,32787,-21595
2016-01-24,4.966,5.07,4.89,0.1800000000000006,0.1800000000000006,5.0,5.09,4.91,0.17999999999999972,0.17999999999999972,4.958,5.06,4.88,0.17999999999999972,0.17999999999999972,4.986,5.07,4.91,0.16000000000000014,0.16000000000000014,8662,16827,3825,13002,-7543
2016-01-31,5.054,5.13,4.99,0.13999999999999968,0.09999999999999964,5.084,5.16,5.01,0.15000000000000036,0.03000000000000025,5.016,5.1,4.95,0.14999999999999947,0.009999999999999787,5.052,5.16,4.96,0.20000000000000018,-0.040000000000000036,8055,10488,4443,6045,-3657
2016-02-07,4.884,4.98,4.8,0.1800000000000006,-0.1800000000000006,4.91,4.99,4.84,0.15000000000000036,-0.1299999999999999,4.848,4.95,4.78,0.16999999999999993,-0.16999999999999993,4.876,4.95,4.81,0.14000000000000057,-0.10000000000000053,8319,15118,1033,14085,-5685
2016-02-14,5.077500000000001,5.11,5.03,0.08000000000000007,0.05000000000000071,5.077500000000001,5.11,5.03,0.08000000000000007,0.05000000000000071,5.0,5.05,4.94,0.10999999999999943,0.0699999999999994,5.029999999999999,5.09,4.97,0.1200000000000001,0.08999999999999986,8863,13728,6123,7605,-7605
2016-02-21,5.112,5.2,5.05,0.15000000000000036,0.0,5.142,5.21,5.08,0.1299999999999999,-0.07000000000000028,5.09,5.15,5.05,0.10000000000000053,-0.05999999999999961,5.112,5.18,5.07,0.10999999999999943,-0.10999999999999943,5540,8025,2890,5135,-4644
2016-02-28,5.254,5.49,5.04,0.4500000000000002,0.4500000000000002,5.34,5.59,5.11,0.47999999999999954,0.47999999999999954,5.252,5.48,5.04,0.4400000000000004,0.4400000000000004,5.32,5.59,5.04,0.5499999999999998,0.5499999999999998,6744,9922,2811,7111,-1845
2016-03-06,5.588,5.62,5.55,0.07000000000000028,0.040000000000000036,5.628,5.73,5.55,0.1800000000000006,0.1200000000000001,5.548,5.6,5.5,0.09999999999999964,0.09999999999999964,5.604,5.73,5.53,0.20000000000000018,0.15000000000000036,10646,18793,5743,13050,-13050
