Date,BRKaStock_Open_average,BRKaStock_Open_max,BRKaStock_Open_min,BRKaStock_Open_volatility,BRKaStock_Open_change,BRKaStock_High_average,BRKaStock_High_max,BRKaStock_High_min,BRKaStock_High_volatility,BRKaStock_High_change,BRKaStock_Low_average,BRKaStock_Low_max,BRKaStock_Low_min,BRKaStock_Low_volatility,BRKaStock_Low_change,BRKaStock_Close_average,BRKaStock_Close_max,BRKaStock_Close_min,BRKaStock_Close_volatility,BRKaStock_Close_change,BRKaStock_Volume_average,BRKaStock_Volume_max,BRKaStock_Volume_min,BRKaStock_Volume_volatility,BRKaStock_Volume_change
2016-01-03,195258.0,196300.0,194299.0,2001.0,650.0,196830.8,197880.0,196000.0,1880.0,-760.0,194055.0,195000.0,193275.0,1725.0,-25.0,196038.0,197415.0,193900.0,3515.0,-2395.0,706,1140,425,715,-424
2016-01-10,192162.0,194140.0,188520.0,5620.0,-5620.0,193817.8,194810.0,191200.0,3610.0,-3610.0,190003.0,191700.0,187655.0,4045.0,-3805.0,191962.0,194000.0,190000.0,4000.0,-3060.0,408,586,306,280,280
2016-01-17,190006.75,191901.0,188501.0,3400.0,896.0,191476.75,192938.0,189959.0,2979.0,-678.0,188897.5,191000.0,187100.0,3900.0,-1010.0,190255.25,191700.0,188470.0,3230.0,-304.0,300,455,198,257,-116
2016-01-24,189353.0,190020.0,187510.0,2510.0,20.0,191526.0,194650.0,190000.0,4650.0,4650.0,187985.2,190020.0,186900.0,3120.0,3120.0,189678.4,194360.0,187001.0,7359.0,7359.0,289,465,177,288,288
2016-01-31,191697.6,194000.0,189502.0,4498.0,-2615.0,192778.0,195190.0,190620.0,4570.0,-3310.0,189528.6,191900.0,186921.0,4979.0,-2380.0,191508.4,194759.0,189861.0,4898.0,-3939.0,356,453,196,257,-141
2016-02-07,189974.2,192861.0,187865.0,4996.0,1180.0,192867.8,194700.0,190200.0,4500.0,1559.0,189208.2,190471.0,187405.0,3066.0,1800.0,191681.8,193999.0,190000.0,3999.0,2744.0,486,600,310,290,235
2016-02-14,195701.5,196450.0,194741.0,1709.0,535.0,197067.75,199001.0,195540.0,3461.0,2120.0,194729.75,196025.0,193106.0,2919.0,2620.0,195675.75,197310.0,193465.0,3845.0,3845.0,302,410,133,277,-178
2016-02-21,197865.0,199000.0,195755.0,3245.0,0.0,198879.8,200000.0,197400.0,2600.0,200.0,196486.6,198000.0,194200.0,3800.0,369.0,197750.4,198899.0,196502.0,2397.0,-460.0,283,442,141,301,181
2016-02-28,204389.8,206200.0,200100.0,6100.0,6100.0,205829.4,207945.0,203192.0,4753.0,4753.0,203575.6,205700.0,200000.0,5700.0,5700.0,205500.0,207945.0,202555.0,5390.0,5390.0,699,1111,393,718,233
2016-03-06,208768.2,209990.0,207500.0,2490.0,2490.0,209695.2,211600.0,208700.0,2900.0,2850.0,207914.0,209490.0,206620.0,2870.0,2870.0,209291.8,211600.0,207989.0,3611.0,3100.0,593,676,514,162,-114
2016-03-13,211282.0,214250.0,209720.0,4530.0,2250.0,212602.0,214560.0,211000.0,3560.0,2310.0,210313.8,212481.0,209173.0,3308.0,2631.0,211700.0,213600.0,210200.0,3400.0,3030.0,305,403,207,196,66
2016-03-20,212407.5,213330.0,210200.0,3130.0,-3130.0,213214.5,214538.0,210980.0,3558.0,-3020.0,211636.25,212860.0,209525.0,3335.0,-3335.0,212150.0,213400.0,210530.0,2870.0,-2770.0,218,257,179,78,-41
2016-03-27,212775.0,214345.0,211120.0,3225.0,730.0,214264.2,215950.0,212619.0,3331.0,3331.0,211483.8,213588.0,209641.0,3947.0,-1149.0,213630.0,215740.0,212125.0,3615.0,3615.0,234,326,145,181,151
2016-04-03,212992.4,215560.0,211302.0,4258.0,-3260.0,213505.8,215600.0,211911.0,3689.0,-2456.0,211836.0,214360.0,210670.0,3690.0,-3110.0,212699.0,215060.0,211400.0,3660.0,-3355.0,187,223,143,80,-77
2016-04-10,214280.0,216250.0,212250.0,4000.0,3740.0,215081.6,216250.0,213180.0,3070.0,2900.0,213477.2,215310.0,211652.0,3658.0,2810.0,214440.0,216130.0,211660.0,4470.0,3450.0,219,340,109,231,75
2016-04-17,217243.0,219120.0,214350.0,4770.0,3050.0,218948.8,219600.0,216650.0,2950.0,2850.0,216739.0,218060.0,214350.0,3710.0,3050.0,218215.2,219038.0,216650.0,2388.0,2388.0,241,321,162,159,-34
2016-04-24,219435.8,220330.0,218679.0,1651.0,-21.0,220567.6,221985.0,219393.0,2592.0,357.0,218674.2,219980.0,216860.0,3120.0,-1470.0,219833.6,221430.0,219000.0,2430.0,-278.0,240,440,124,316,87
2016-05-01,217328.0,219800.0,215390.0,4410.0,-3790.0,218287.0,220640.0,216550.0,4090.0,-3395.0,216099.6,218730.0,215103.0,3627.0,-3595.0,217400.2,220252.0,215880.0,4372.0,-3252.0,198,251,174,77,-26
2016-05-08,215566.0,217100.0,214550.0,2550.0,-2030.0,216367.0,217280.0,215200.0,2080.0,-1380.0,213409.0,214700.0,211750.0,2950.0,-1200.0,214574.6,216975.0,212140.0,4835.0,-2290.0,214,277,158,119,63
2016-05-15,211580.0,212780.0,210155.0,2625.0,-95.0,212876.0,213680.0,212070.0,1610.0,530.0,210624.0,211905.0,209600.0,2305.0,-95.0,211887.6,212833.0,210695.0,2138.0,303.0,260,318,174,144,-39
2016-05-22,214582.0,215750.0,213050.0,2700.0,2330.0,215558.0,217300.0,213050.0,4250.0,2330.0,213773.0,215565.0,211650.0,3915.0,2640.0,214589.6,216185.0,212210.0,3975.0,2093.0,220,324,153,171,1
2016-05-29,212712.0,215900.0,211100.0,4800.0,-4200.0,213615.0,216070.0,212240.0,3830.0,-3830.0,211044.5,211695.0,210210.0,1485.0,-1485.0,212006.25,212360.0,211615.0,745.0,-80.0,212,253,170,83,-52
2016-06-05,212622.2,213286.0,211800.0,1486.0,-405.0,213696.4,214000.0,213460.0,540.0,-250.0,212123.0,212620.0,211800.0,820.0,-405.0,212884.4,213500.0,212210.0,1290.0,-258.0,149,253,106,147,-129
2016-06-12,211679.0,212405.0,210100.0,2305.0,50.0,212947.0,213925.0,212250.0,1675.0,-1575.0,210328.0,211450.0,208610.0,2840.0,-800.0,211554.0,213000.0,210050.0,2950.0,-250.0,313,467,222,245,55
2016-06-19,213857.2,217021.0,210505.0,6516.0,-2695.0,215667.2,218850.0,212730.0,6120.0,-1666.0,213446.6,216983.0,209500.0,7483.0,-3000.0,214603.6,218850.0,209852.0,8998.0,-2778.0,401,895,199,696,696
2016-06-26,212057.2,216421.0,208860.0,7561.0,7561.0,213336.0,217210.0,208860.0,8350.0,8350.0,210308.8,215600.0,205074.0,10526.0,10526.0,212863.6,216975.0,208000.0,8975.0,8298.0,407,581,232,349,-212
2016-07-03,213836.5,214710.0,212010.0,2700.0,-120.0,214805.0,215550.0,213950.0,1600.0,280.0,212521.25,214035.0,211500.0,2535.0,1385.0,213450.25,214720.0,212501.0,2219.0,1760.0,242,295,191,104,51
2016-07-10,217610.0,219280.0,216140.0,3140.0,2875.0,218439.0,219940.0,216405.0,3535.0,2995.0,216780.0,218280.0,215200.0,3080.0,2460.0,217880.8,218990.0,215824.0,3166.0,3166.0,224,324,125,199,-49
2016-07-17,218744.6,220003.0,216760.0,3243.0,-2240.0,219366.4,220360.0,217158.0,3202.0,-2842.0,217745.0,219000.0,215920.0,3080.0,-3080.0,218494.4,220265.0,216315.0,3950.0,-3095.0,286,506,154,352,-213
2016-07-24,216452.0,217600.0,215800.0,1800.0,-1800.0,217130.2,217600.0,216750.0,850.0,-850.0,215592.2,215901.0,215250.0,651.0,280.0,216273.0,216660.0,216000.0,660.0,-5.0,102,129,86,43,40
2016-07-31,215841.0,216540.0,215350.0,1190.0,-570.0,216385.0,218150.0,215620.0,2530.0,1360.0,214954.0,215800.0,214400.0,1400.0,370.0,215800.0,218010.0,214830.0,3180.0,2050.0,219,571,84,487,487
2016-08-07,219673.0,220740.0,218000.0,2740.0,2630.0,220892.0,222030.0,218500.0,3530.0,3250.0,218932.0,220630.0,216460.0,4170.0,4170.0,220509.0,221890.0,218300.0,3590.0,3450.0,503,774,281,493,-168
2016-08-14,222179.6,223850.0,220920.0,2930.0,1477.0,223034.0,224000.0,221995.0,2005.0,1225.0,221446.0,222855.0,220750.0,2105.0,1150.0,222586.0,223890.0,220805.0,3085.0,1045.0,345,481,255,226,25
2016-08-21,222880.0,223020.0,222700.0,320.0,180.0,223362.2,223870.0,223050.0,820.0,580.0,222046.0,222850.0,220890.0,1960.0,-1080.0,222761.8,223500.0,222040.0,1460.0,-406.0,269,493,100,393,393
2016-08-28,224754.0,225970.0,222800.0,3170.0,3170.0,225771.0,226490.0,224450.0,2040.0,2040.0,223632.0,225040.0,222800.0,2240.0,2240.0,225082.0,226050.0,223400.0,2650.0,2650.0,224,365,99,266,-266
