Date,NWPX_stock_Open_average,NWPX_stock_Open_max,NWPX_stock_Open_min,NWPX_stock_Open_volatility,NWPX_stock_Open_change,NWPX_stock_High_average,NWPX_stock_High_max,NWPX_stock_High_min,NWPX_stock_High_volatility,NWPX_stock_High_change,NWPX_stock_Low_average,NWPX_stock_Low_max,NWPX_stock_Low_min,NWPX_stock_Low_volatility,NWPX_stock_Low_change,NWPX_stock_Close_average,NWPX_stock_Close_max,NWPX_stock_Close_min,NWPX_stock_Close_volatility,NWPX_stock_Close_change,NWPX_stock_Volume_average,NWPX_stock_Volume_max,NWPX_stock_Volume_min,NWPX_stock_Volume_volatility,NWPX_stock_Volume_change
2016-01-03,10.796,11.09,9.99,1.0999999999999996,-1.0700000000000003,11.042,11.33,10.19,1.1400000000000006,-1.1400000000000006,10.374,11.06,9.19,1.870000000000001,-1.7300000000000004,10.494,11.18,9.23,1.9499999999999993,-1.8899999999999988,122280,151319,76974,74345,6118
2016-01-10,8.71,9.3,8.38,0.9199999999999999,-0.8200000000000003,9.038,9.46,8.78,0.6800000000000015,-0.6800000000000015,8.256,8.34,8.12,0.22000000000000064,-0.19000000000000128,8.59,8.73,8.37,0.3600000000000012,0.20000000000000107,120133,175881,80545,95336,-95336
2016-01-17,8.86,9.32,8.34,0.9800000000000004,0.4900000000000002,9.305,9.64,8.93,0.7100000000000009,0.7100000000000009,8.6,9.02,8.17,0.8499999999999996,0.7400000000000002,8.975000000000001,9.32,8.48,0.8399999999999999,0.8399999999999999,65639,85001,38627,46374,-21553
2016-01-24,9.14,9.26,9.01,0.25,-0.17999999999999972,9.444,9.64,9.24,0.40000000000000036,0.33999999999999986,8.924,9.08,8.74,0.33999999999999986,0.22000000000000064,9.168000000000001,9.57,8.96,0.6099999999999994,0.6099999999999994,50358,77619,26934,50685,35122
2016-01-31,9.32,9.68,9.12,0.5600000000000005,0.1999999999999993,9.526,9.92,9.13,0.7899999999999991,0.3200000000000003,8.99,9.26,8.74,0.5199999999999996,0.20999999999999908,9.262,9.51,9.08,0.4299999999999997,-0.019999999999999574,37748,62725,23831,38894,5809
2016-02-07,8.304,9.16,7.83,1.33,-1.33,8.584,9.23,8.0,1.2300000000000004,-0.41999999999999993,7.936,8.51,7.46,1.0499999999999998,-0.6799999999999997,8.228,8.68,7.74,0.9399999999999995,0.08999999999999986,60000,104030,36831,67199,64628
2016-02-14,8.9825,9.12,8.78,0.33999999999999986,0.20000000000000107,9.475,9.82,9.06,0.7599999999999998,0.34999999999999964,8.675,9.05,8.19,0.8600000000000012,-0.47000000000000064,9.115,9.26,9.01,0.25,0.25,106417,163559,34359,129200,86243
2016-02-21,9.556,10.02,9.14,0.879999999999999,0.7400000000000002,10.018,10.31,9.58,0.7300000000000004,0.46000000000000085,9.362,9.99,9.06,0.9299999999999997,0.9100000000000001,9.799999999999999,10.26,9.35,0.9100000000000001,0.8100000000000005,45591,62331,32225,30106,14415
2016-02-28,9.524000000000001,10.45,8.66,1.7899999999999991,-1.2300000000000004,9.806,10.51,9.01,1.5,-0.9599999999999991,9.24,10.22,8.45,1.7700000000000014,-1.370000000000001,9.502,10.43,8.71,1.7199999999999989,-1.2200000000000006,119059,251134,28512,222622,96941
2016-03-06,9.064,9.36,8.9,0.4599999999999991,-0.10999999999999943,9.302,9.74,9.0,0.7400000000000002,-0.7400000000000002,8.844,9.02,8.65,0.3699999999999992,-0.3699999999999992,8.994,9.49,8.69,0.8000000000000007,-0.8000000000000007,74015,109442,45889,63553,-30721
2016-03-13,9.094,10.04,8.7,1.3399999999999999,1.1899999999999995,9.494,10.29,8.97,1.3199999999999985,1.1899999999999995,8.84,9.6,8.52,1.08,1.08,9.282,9.94,8.73,1.209999999999999,0.9000000000000004,96666,152216,38967,113249,40026
2016-03-20,9.68,10.1,9.06,1.0399999999999991,-0.7199999999999989,9.9225,10.2,9.14,1.0599999999999987,-1.0599999999999987,9.3925,9.79,8.89,0.8999999999999986,-0.8499999999999996,9.5525,10.1,9.04,1.0600000000000005,-1.0600000000000005,55478,77028,30567,46461,26961
2016-03-27,8.964,9.15,8.77,0.3800000000000008,0.11000000000000121,9.184,9.38,9.03,0.3500000000000014,0.009999999999999787,8.792,8.89,8.63,0.2599999999999998,0.14000000000000057,8.972,9.22,8.86,0.3600000000000012,0.13000000000000078,47742,70173,26014,44159,-24867
2016-04-03,8.794,9.0,8.48,0.5199999999999996,0.08999999999999986,9.028,9.19,8.95,0.2400000000000002,0.1899999999999995,8.524,8.86,8.37,0.4900000000000002,0.4299999999999997,8.852,9.05,8.56,0.4900000000000002,0.4900000000000002,57119,70694,38884,31810,-20632
2016-04-10,8.918,9.11,8.75,0.35999999999999943,-0.35999999999999943,9.155999999999999,9.29,9.02,0.2699999999999996,-0.2699999999999996,8.722,8.84,8.68,0.16000000000000014,-0.14000000000000057,8.914,9.04,8.8,0.23999999999999844,0.10000000000000142,44973,57136,24215,32921,-22117
2016-04-17,9.426,9.97,8.9,1.0700000000000003,0.7099999999999991,9.766,10.12,9.28,0.8399999999999999,0.7599999999999998,9.256,9.61,8.81,0.7999999999999989,0.7999999999999989,9.632,9.99,9.18,0.8100000000000005,0.7699999999999996,47009,79554,22943,56611,-2037
2016-04-24,10.094000000000001,10.56,9.47,1.0899999999999999,0.6699999999999999,10.63,11.27,9.89,1.379999999999999,1.2199999999999989,9.958,10.56,9.36,1.200000000000001,1.200000000000001,10.326,10.8,9.46,1.3399999999999999,1.3299999999999983,52092,77138,36772,40366,17254
2016-05-01,10.06,10.81,9.28,1.5300000000000011,-1.5300000000000011,10.574,11.03,9.87,1.1600000000000001,-1.120000000000001,9.676,10.33,9.09,1.2400000000000002,-1.1300000000000008,9.95,10.5,9.34,1.1600000000000001,-0.7100000000000009,75129,129770,43200,86570,32756
2016-05-08,9.542,9.98,9.09,0.8900000000000006,-0.47000000000000064,9.796,10.05,9.26,0.7900000000000009,-0.5299999999999994,9.334,9.61,8.93,0.6799999999999997,-0.45000000000000107,9.49,10.02,9.01,1.0099999999999998,-0.5899999999999999,47210,74103,27151,46952,-23002
2016-05-15,8.856,8.93,8.74,0.1899999999999995,-0.129999999999999,9.062,9.28,8.86,0.41999999999999993,-0.07000000000000028,8.778,8.93,8.54,0.39000000000000057,-0.129999999999999,8.895999999999999,9.04,8.76,0.27999999999999936,-0.129999999999999,44828,77448,23256,54192,-12756
2016-05-22,8.93,9.04,8.84,0.1999999999999993,-0.15000000000000036,9.12,9.2,8.98,0.21999999999999886,0.11999999999999922,8.806000000000001,8.9,8.71,0.1899999999999995,-0.009999999999999787,8.9,9.05,8.82,0.23000000000000043,0.21000000000000085,29542,47361,20120,27241,27241
2016-05-29,9.3525,9.59,9.03,0.5600000000000005,0.5400000000000009,9.605,9.7,9.4,0.29999999999999893,0.2400000000000002,9.2575,9.42,9.03,0.39000000000000057,0.39000000000000057,9.530000000000001,9.66,9.3,0.35999999999999943,0.27999999999999936,29683,38042,19545,18497,-3975
2016-06-05,9.946,10.37,9.57,0.7999999999999989,0.16000000000000014,10.202,10.64,9.73,0.9100000000000001,-0.2699999999999996,9.706,9.89,9.39,0.5,-0.17999999999999972,9.95,10.42,9.44,0.9800000000000004,-0.46000000000000085,56416,74888,41944,32944,24640
2016-06-12,9.308,9.45,9.18,0.2699999999999996,0.10999999999999943,9.578,9.91,9.29,0.620000000000001,0.5299999999999994,9.152,9.35,9.01,0.33999999999999986,0.33999999999999986,9.456,9.85,9.14,0.7099999999999991,0.5199999999999996,191340,406015,83006,323009,302318
2016-06-19,9.956,10.07,9.7,0.370000000000001,-0.2400000000000002,10.298,10.59,10.02,0.5700000000000003,0.09999999999999964,9.714,9.85,9.42,0.4299999999999997,-0.1999999999999993,10.144,10.52,9.88,0.6399999999999988,0.46999999999999886,296382,1129954,73898,1056056,1010642
2016-06-26,10.626,10.85,10.32,0.5299999999999994,0.5299999999999994,10.956,11.2,10.79,0.41000000000000014,0.3199999999999985,10.432,10.81,10.2,0.6100000000000012,0.5600000000000005,10.672,10.99,10.47,0.5199999999999996,0.5099999999999998,78320,142194,46581,95613,-95613
2016-07-03,10.752500000000001,10.98,10.56,0.41999999999999993,-0.34999999999999964,10.92,11.03,10.81,0.21999999999999886,0.049999999999998934,10.4975,10.56,10.4,0.16000000000000014,0.08000000000000007,10.73,10.87,10.59,0.27999999999999936,0.02999999999999936,46002,52041,36535,15506,15506
2016-07-10,11.086,11.3,10.9,0.40000000000000036,0.33000000000000007,11.306,11.4,11.07,0.33000000000000007,0.27999999999999936,11.0,11.19,10.89,0.29999999999999893,0.049999999999998934,11.116,11.25,10.94,0.3100000000000005,0.22000000000000064,56955,122787,15686,107101,-23780
2016-07-17,11.138,11.33,10.97,0.35999999999999943,-0.20999999999999908,11.336,11.44,11.11,0.33000000000000007,-0.33000000000000007,10.958,11.06,10.88,0.17999999999999972,-0.009999999999999787,11.138,11.4,11.03,0.370000000000001,-0.370000000000001,36749,55462,29461,26001,6758
2016-07-24,11.308,11.67,11.0,0.6699999999999999,0.34999999999999964,11.486,11.7,11.21,0.48999999999999844,0.15999999999999837,11.06,11.26,10.77,0.4900000000000002,0.28000000000000114,11.356,11.58,11.17,0.41000000000000014,0.13000000000000078,37296,59507,24322,35185,8704
2016-07-31,11.488,11.92,11.18,0.7400000000000002,0.6099999999999994,11.74,12.05,11.22,0.8300000000000001,0.8300000000000001,11.134,11.74,10.35,1.3900000000000006,0.5099999999999998,11.612,12.05,11.1,0.9500000000000011,0.9100000000000001,65310,135709,34188,101521,17675
2016-08-07,11.72,12.05,11.5,0.5500000000000007,-0.5500000000000007,11.872,12.34,11.57,0.7699999999999996,-0.7699999999999996,11.546,11.81,11.31,0.5,-0.5,11.606,11.83,11.41,0.41999999999999993,-0.41999999999999993,36751,56879,26372,30507,7884
2016-08-14,11.61,11.73,11.32,0.41000000000000014,0.33999999999999986,11.812,11.96,11.59,0.370000000000001,0.370000000000001,11.506,11.67,11.31,0.35999999999999943,0.1899999999999995,11.724,11.91,11.58,0.33000000000000007,0.33000000000000007,31444,47872,16542,31330,-17671
2016-08-21,11.734,12.0,11.49,0.5099999999999998,-0.29999999999999893,11.86,12.02,11.61,0.41000000000000014,-0.41000000000000014,11.576,11.83,11.3,0.5299999999999994,-0.47999999999999865,11.656,11.91,11.41,0.5,-0.4599999999999991,21044,43135,9476,33659,23701
2016-08-28,11.748,11.99,11.36,0.6300000000000008,0.4900000000000002,11.964,12.3,11.74,0.5600000000000005,-0.05000000000000071,11.594,11.83,11.36,0.47000000000000064,0.2900000000000009,11.776,11.95,11.58,0.3699999999999992,-0.17999999999999972,36481,129030,6972,122058,-122058
2016-09-04,11.7375,11.8,11.64,0.16000000000000014,0.040000000000000924,11.8575,11.93,11.81,0.11999999999999922,0.03999999999999915,11.68,11.73,11.62,0.11000000000000121,0.0,11.7825,11.83,11.69,0.14000000000000057,-0.009999999999999787,26066,54056,11876,42180,-11582
2016-09-11,11.808,11.84,11.8,0.03999999999999915,0.0,11.879999999999999,12.0,11.84,0.16000000000000014,0.16000000000000014,11.722,11.78,11.67,0.10999999999999943,0.0600000000000005,11.85,11.97,11.8,0.16999999999999993,0.16000000000000014,30877,41925,21573,20352,16493
2016-09-18,11.81,11.99,11.72,0.2699999999999996,-0.16000000000000014,11.846,12.0,11.72,0.27999999999999936,-0.09999999999999964,11.586,11.72,11.47,0.25,0.02000000000000135,11.686,11.76,11.55,0.20999999999999908,0.0,33029,59145,19950,39195,-640
2016-09-25,11.774,12.29,11.52,0.7699999999999996,0.28000000000000114,11.991999999999999,12.37,11.6,0.7699999999999996,0.3200000000000003,11.568,11.83,11.25,0.5800000000000001,0.28999999999999915,11.808,12.33,11.52,0.8100000000000005,0.2900000000000009,25511,48661,10028,38633,-7135
