Date,Guggenheim Invest China Real Estate_etf_Open_average,Guggenheim Invest China Real Estate_etf_Open_max,Guggenheim Invest China Real Estate_etf_Open_min,Guggenheim Invest China Real Estate_etf_Open_volatility,Guggenheim Invest China Real Estate_etf_Open_change,Guggenheim Invest China Real Estate_etf_High_average,Guggenheim Invest China Real Estate_etf_High_max,Guggenheim Invest China Real Estate_etf_High_min,Guggenheim Invest China Real Estate_etf_High_volatility,Guggenheim Invest China Real Estate_etf_High_change,Guggenheim Invest China Real Estate_etf_Low_average,Guggenheim Invest China Real Estate_etf_Low_max,Guggenheim Invest China Real Estate_etf_Low_min,Guggenheim Invest China Real Estate_etf_Low_volatility,Guggenheim Invest China Real Estate_etf_Low_change,Guggenheim Invest China Real Estate_etf_Close_average,Guggenheim Invest China Real Estate_etf_Close_max,Guggenheim Invest China Real Estate_etf_Close_min,Guggenheim Invest China Real Estate_etf_Close_volatility,Guggenheim Invest China Real Estate_etf_Close_change
2016-01-03,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2016-01-10,17.2,17.2,17.2,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2016-01-17,16.7,16.7,16.7,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2016-01-24,17.11,17.11,17.11,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2016-01-31,16.67,16.67,16.67,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2016-02-07,16.23,16.23,16.23,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2016-02-14,17.06,17.06,17.06,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.03,17.03,17.03,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2016-02-21,17.08,17.08,17.08,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2016-02-28,18.55,18.55,18.55,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2016-03-06,18.5,18.5,18.5,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2016-03-13,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2016-03-20,18.42,18.42,18.42,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2016-03-27,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2016-04-03,18.82,18.82,18.82,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2016-04-10,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2016-04-17,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2016-04-24,19.27,19.27,19.27,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.26,19.26,19.26,0.0,0.0
2016-05-01,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2016-05-08,18.04,18.04,18.04,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0
