Date,LPTH_stock_Open_average,LPTH_stock_Open_max,LPTH_stock_Open_min,LPTH_stock_Open_volatility,LPTH_stock_Open_change,LPTH_stock_High_average,LPTH_stock_High_max,LPTH_stock_High_min,LPTH_stock_High_volatility,LPTH_stock_High_change,LPTH_stock_Low_average,LPTH_stock_Low_max,LPTH_stock_Low_min,LPTH_stock_Low_volatility,LPTH_stock_Low_change,LPTH_stock_Close_average,LPTH_stock_Close_max,LPTH_stock_Close_min,LPTH_stock_Close_volatility,LPTH_stock_Close_change,LPTH_stock_Volume_average,LPTH_stock_Volume_max,LPTH_stock_Volume_min,LPTH_stock_Volume_volatility,LPTH_stock_Volume_change
2016-01-03,3.112,3.22,2.83,0.3900000000000001,0.33999999999999986,3.2814,3.48,3.17,0.31000000000000005,-0.008000000000000007,2.868,3.1,2.6,0.5,0.19999999999999973,3.084,3.2,2.81,0.3900000000000001,-0.31000000000000005,1413891,2676959,723751,1953208,-879292
2016-01-10,3.206,3.51,2.84,0.6699999999999999,-0.43000000000000016,3.4226,3.79,3.16,0.6299999999999999,-0.02300000000000013,2.886,3.18,2.65,0.5300000000000002,-0.22999999999999998,3.142,3.44,2.86,0.5800000000000001,0.08000000000000007,1429504,2484681,776530,1708151,-115235
2016-01-17,3.2925,3.35,3.25,0.10000000000000009,-0.10000000000000009,3.3225,3.35,3.27,0.08000000000000007,-0.08000000000000007,3.06,3.16,2.95,0.20999999999999996,-0.10999999999999988,3.2075,3.29,3.06,0.22999999999999998,-0.22999999999999998,629530,917477,242074,675403,-111936
2016-01-24,2.782,3.19,2.44,0.75,-0.6000000000000001,2.988,3.43,2.52,0.9100000000000001,-0.5100000000000002,2.592,2.92,2.29,0.6299999999999999,-0.5,2.784,3.15,2.43,0.7199999999999998,-0.22999999999999998,996116,1316478,716021,600457,293951
2016-01-31,3.028,3.31,2.72,0.5899999999999999,-0.1599999999999997,3.1919999999999997,3.33,2.9,0.43000000000000016,-0.3799999999999999,2.842,3.03,2.46,0.5699999999999998,-0.31000000000000005,3.05,3.25,2.71,0.54,-0.3599999999999999,647064,780279,472854,307425,29213
2016-02-07,2.56,2.67,2.42,0.25,-0.040000000000000036,2.666,2.71,2.57,0.14000000000000012,0.010000000000000231,2.43,2.5,2.35,0.1499999999999999,-0.1200000000000001,2.524,2.62,2.41,0.20999999999999996,-0.16999999999999993,298939,386019,170614,215405,77773
2016-02-14,2.2475,2.37,2.13,0.2400000000000002,-0.16999999999999993,2.34675,2.458,2.29,0.16800000000000015,-0.16800000000000015,2.16725,2.26,2.11,0.1499999999999999,-0.08999999999999986,2.215,2.27,2.16,0.10999999999999988,-0.06000000000000005,289101,416673,126321,290352,-171605
2016-02-21,2.2016666666666667,2.24,2.15,0.0900000000000003,0.010000000000000231,2.2466666666666666,2.31,2.17,0.14000000000000012,-0.03999999999999959,2.1413333333333333,2.24,2.02,0.2200000000000002,0.06000000000000005,2.21,2.26,2.17,0.08999999999999986,-0.009999999999999787,154028,200801,93794,107007,-333
2016-02-28,2.11,2.3,2.0,0.2999999999999998,-0.2799999999999998,2.1568,2.32,2.044,0.2759999999999998,-0.2759999999999998,2.0054,2.15,1.9,0.25,-0.25,2.038,2.15,1.92,0.22999999999999998,-0.22999999999999998,176594,263885,95840,168045,13727
2016-03-06,2.018,2.11,1.9,0.20999999999999996,0.20999999999999996,2.08,2.11,2.0,0.10999999999999988,0.10999999999999988,1.95,2.02,1.81,0.20999999999999996,0.20999999999999996,2.048,2.1,2.0,0.10000000000000009,0.06999999999999984,115592,194369,53729,140640,-140640
2016-03-13,2.056,2.1,2.0,0.10000000000000009,0.03000000000000025,2.132,2.3,2.08,0.21999999999999975,0.20999999999999996,2.002,2.05,1.93,0.11999999999999988,0.029999999999999805,2.104,2.2,2.07,0.13000000000000034,0.11000000000000032,164878,529004,46886,482118,459419
