Date,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Open_average,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Open_max,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Open_min,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Open_volatility,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Open_change,Direxion Daily FTSE CHINA Bear 3x Shares_etf_High_average,Direxion Daily FTSE CHINA Bear 3x Shares_etf_High_max,Direxion Daily FTSE CHINA Bear 3x Shares_etf_High_min,Direxion Daily FTSE CHINA Bear 3x Shares_etf_High_volatility,Direxion Daily FTSE CHINA Bear 3x Shares_etf_High_change,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Low_average,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Low_max,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Low_min,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Low_volatility,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Low_change,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Close_average,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Close_max,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Close_min,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Close_volatility,Direxion Daily FTSE CHINA Bear 3x Shares_etf_Close_change
2016-01-03,318.62,318.62,318.62,0.0,0.0,338.73,338.73,338.73,0.0,0.0,317.2,317.2,317.2,0.0,0.0,337.52,337.52,337.52,0.0,0.0
2016-01-10,401.85,401.85,401.85,0.0,0.0,414.12,414.12,414.12,0.0,0.0,392.55,392.55,392.55,0.0,0.0,395.98,395.98,395.98,0.0,0.0
2016-01-17,360.75,360.75,360.75,0.0,0.0,369.3,369.3,369.3,0.0,0.0,355.3,355.3,355.3,0.0,0.0,355.3,355.3,355.3,0.0,0.0
2016-01-24,359.65,359.65,359.65,0.0,0.0,359.65,359.65,359.65,0.0,0.0,333.95,333.95,333.95,0.0,0.0,335.5,335.5,335.5,0.0,0.0
2016-01-31,365.7,365.7,365.7,0.0,0.0,387.9,387.9,387.9,0.0,0.0,364.65,364.65,364.65,0.0,0.0,382.27,382.27,382.27,0.0,0.0
2016-02-07,427.93,427.93,427.93,0.0,0.0,433.32,433.32,433.32,0.0,0.0,405.0,405.0,405.0,0.0,0.0,405.88,405.88,405.88,0.0,0.0
2016-02-14,348.02,348.02,348.02,0.0,0.0,352.95,352.95,352.95,0.0,0.0,341.9,341.9,341.9,0.0,0.0,348.35,348.35,348.35,0.0,0.0
2016-02-21,335.95,335.95,335.95,0.0,0.0,347.5,347.5,347.5,0.0,0.0,334.7,334.7,334.7,0.0,0.0,346.98,346.98,346.98,0.0,0.0
2016-02-28,283.9,283.9,283.9,0.0,0.0,285.43,285.43,285.43,0.0,0.0,264.15,264.15,264.15,0.0,0.0,267.5,267.5,267.5,0.0,0.0
2016-03-06,279.15,279.15,279.15,0.0,0.0,279.15,279.15,279.15,0.0,0.0,266.54,266.54,266.54,0.0,0.0,267.23,267.23,267.23,0.0,0.0
