Date,VanEck Vectors High Income Infrastructure MLP_etf_Open_average,VanEck Vectors High Income Infrastructure MLP_etf_Open_max,VanEck Vectors High Income Infrastructure MLP_etf_Open_min,VanEck Vectors High Income Infrastructure MLP_etf_Open_volatility,VanEck Vectors High Income Infrastructure MLP_etf_Open_change,VanEck Vectors High Income Infrastructure MLP_etf_High_average,VanEck Vectors High Income Infrastructure MLP_etf_High_max,VanEck Vectors High Income Infrastructure MLP_etf_High_min,VanEck Vectors High Income Infrastructure MLP_etf_High_volatility,VanEck Vectors High Income Infrastructure MLP_etf_High_change,VanEck Vectors High Income Infrastructure MLP_etf_Low_average,VanEck Vectors High Income Infrastructure MLP_etf_Low_max,VanEck Vectors High Income Infrastructure MLP_etf_Low_min,VanEck Vectors High Income Infrastructure MLP_etf_Low_volatility,VanEck Vectors High Income Infrastructure MLP_etf_Low_change,VanEck Vectors High Income Infrastructure MLP_etf_Close_average,VanEck Vectors High Income Infrastructure MLP_etf_Close_max,VanEck Vectors High Income Infrastructure MLP_etf_Close_min,VanEck Vectors High Income Infrastructure MLP_etf_Close_volatility,VanEck Vectors High Income Infrastructure MLP_etf_Close_change
2016-01-03,11.19,11.19,11.19,0.0,0.0,11.57,11.57,11.57,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.57,11.57,11.57,0.0,0.0
2016-01-10,10.08,10.08,10.08,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-01-17,10.16,10.16,10.16,0.0,0.0,10.43,10.43,10.43,0.0,0.0,9.96,9.96,9.96,0.0,0.0,10.3,10.3,10.3,0.0,0.0
2016-01-24,10.75,10.75,10.75,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.66,10.66,10.66,0.0,0.0
2016-01-31,10.58,10.58,10.58,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.36,10.36,10.36,0.0,0.0
2016-02-07,8.66,8.66,8.66,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2016-02-14,9.67,9.67,9.67,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2016-02-21,10.12,10.12,10.12,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.01,10.01,10.01,0.0,0.0,10.02,10.02,10.02,0.0,0.0
2016-02-28,11.14,11.14,11.14,0.0,0.0,11.17,11.17,11.17,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.98,10.98,10.98,0.0,0.0
2016-03-06,10.96,10.96,10.96,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.93,10.93,10.93,0.0,0.0
2016-03-13,11.94,11.94,11.94,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.73,11.73,11.73,0.0,0.0
2016-03-20,10.82,10.82,10.82,0.0,0.0,11.14,11.14,11.14,0.0,0.0,10.82,10.82,10.82,0.0,0.0,11.03,11.03,11.03,0.0,0.0
2016-03-27,11.4,11.4,11.4,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.22,11.22,11.22,0.0,0.0
2016-04-03,11.61,11.61,11.61,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.5,11.5,11.5,0.0,0.0
2016-04-10,11.9,11.9,11.9,0.0,0.0,12.05,12.05,12.05,0.0,0.0,11.9,11.9,11.9,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2016-04-17,13.47,13.47,13.47,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2016-04-24,13.8,13.8,13.8,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.49,13.49,13.49,0.0,0.0
2016-05-01,13.55,13.55,13.55,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.63,13.63,13.63,0.0,0.0
