Date,SPDR MFS Systematic Value EquityEtf_Open_average,SPDR MFS Systematic Value EquityEtf_Open_max,SPDR MFS Systematic Value EquityEtf_Open_min,SPDR MFS Systematic Value EquityEtf_Open_volatility,SPDR MFS Systematic Value EquityEtf_Open_change,SPDR MFS Systematic Value EquityEtf_High_average,SPDR MFS Systematic Value EquityEtf_High_max,SPDR MFS Systematic Value EquityEtf_High_min,SPDR MFS Systematic Value EquityEtf_High_volatility,SPDR MFS Systematic Value EquityEtf_High_change,SPDR MFS Systematic Value EquityEtf_Low_average,SPDR MFS Systematic Value EquityEtf_Low_max,SPDR MFS Systematic Value EquityEtf_Low_min,SPDR MFS Systematic Value EquityEtf_Low_volatility,SPDR MFS Systematic Value EquityEtf_Low_change,SPDR MFS Systematic Value EquityEtf_Close_average,SPDR MFS Systematic Value EquityEtf_Close_max,SPDR MFS Systematic Value EquityEtf_Close_min,SPDR MFS Systematic Value EquityEtf_Close_volatility,SPDR MFS Systematic Value EquityEtf_Close_change
2016-01-03,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2016-01-10,48.34,48.34,48.34,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2016-01-17,47.67,47.67,47.67,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2016-01-24,47.63,47.63,47.63,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2016-01-31,46.47,46.47,46.47,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2016-02-07,45.48,45.48,45.48,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.48,45.48,45.48,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2016-02-14,47.58,47.58,47.58,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2016-02-21,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2016-02-28,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2016-03-06,51.09,51.09,51.09,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2016-03-13,51.62,51.62,51.62,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2016-03-20,51.5,51.5,51.5,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2016-03-27,51.72,51.72,51.72,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2016-04-03,50.34,50.34,50.34,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2016-04-10,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2016-04-17,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2016-04-24,52.72,52.72,52.72,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2016-05-01,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2016-05-08,51.81,51.81,51.81,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2016-05-15,51.39,51.39,51.39,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2016-05-22,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2016-05-29,52.27,52.27,52.27,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2016-06-05,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2016-06-12,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2016-06-19,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2016-06-26,51.26,51.26,51.26,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2016-07-03,51.57,51.57,51.57,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2016-07-10,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2016-07-17,53.31,53.31,53.31,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2016-07-24,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2016-07-31,53.98,53.98,53.98,0.0,0.0,53.98,53.98,53.98,0.0,0.0,53.98,53.98,53.98,0.0,0.0,53.98,53.98,53.98,0.0,0.0
2016-08-07,54.03,54.03,54.03,0.0,0.0,54.03,54.03,54.03,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2016-08-14,54.16,54.16,54.16,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2016-08-21,54.74,54.74,54.74,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2016-08-28,54.69,54.69,54.69,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2016-09-04,54.64,54.64,54.64,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2016-09-11,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2016-09-18,55.23,55.23,55.23,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2016-09-25,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2016-10-02,53.87,53.87,53.87,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2016-10-09,54.16,54.16,54.16,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2016-10-16,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2016-10-23,53.05,53.05,53.05,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2016-10-30,53.97,53.97,53.97,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.02,54.02,54.02,0.0,0.0
2016-11-06,55.55,55.55,55.55,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2016-11-13,56.74,56.74,56.74,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.4,56.4,56.4,0.0,0.0
