Date,First Trust Switzerland AlphaDEX_etf_Open_average,First Trust Switzerland AlphaDEX_etf_Open_max,First Trust Switzerland AlphaDEX_etf_Open_min,First Trust Switzerland AlphaDEX_etf_Open_volatility,First Trust Switzerland AlphaDEX_etf_Open_change,First Trust Switzerland AlphaDEX_etf_High_average,First Trust Switzerland AlphaDEX_etf_High_max,First Trust Switzerland AlphaDEX_etf_High_min,First Trust Switzerland AlphaDEX_etf_High_volatility,First Trust Switzerland AlphaDEX_etf_High_change,First Trust Switzerland AlphaDEX_etf_Low_average,First Trust Switzerland AlphaDEX_etf_Low_max,First Trust Switzerland AlphaDEX_etf_Low_min,First Trust Switzerland AlphaDEX_etf_Low_volatility,First Trust Switzerland AlphaDEX_etf_Low_change,First Trust Switzerland AlphaDEX_etf_Close_average,First Trust Switzerland AlphaDEX_etf_Close_max,First Trust Switzerland AlphaDEX_etf_Close_min,First Trust Switzerland AlphaDEX_etf_Close_volatility,First Trust Switzerland AlphaDEX_etf_Close_change
2016-01-03,37.76,37.76,37.76,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2016-01-10,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2016-01-17,36.32,36.32,36.32,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.42,36.42,36.42,0.0,0.0
2016-01-24,37.0,37.0,37.0,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2016-01-31,37.04,37.04,37.04,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2016-02-07,35.25,35.25,35.25,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2016-02-14,36.79,36.79,36.79,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2016-02-21,37.32,37.32,37.32,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2016-02-28,38.74,38.74,38.74,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2016-03-06,39.2,39.2,39.2,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2016-03-13,39.67,39.67,39.67,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2016-03-20,38.95,38.95,38.95,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2016-03-27,39.8,39.8,39.8,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2016-04-03,40.3,40.3,40.3,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2016-04-10,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2016-04-17,40.47,40.47,40.47,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2016-04-24,40.69,40.69,40.69,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2016-05-01,39.85,39.85,39.85,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2016-05-08,40.08,40.08,40.08,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-05-15,39.75,39.75,39.75,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2016-05-22,40.39,40.39,40.39,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2016-05-29,40.85,40.85,40.85,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2016-06-05,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2016-06-12,39.28,39.28,39.28,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2016-06-19,38.27,38.27,38.27,0.0,0.0,38.62,38.62,38.62,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0
